result_id,type,description,value,unit,artifact,script,source_data,specification,causal_status
KEY_AFFECTED_2013,key_number,Affected marriages below 16 in 2013,1093,marriages,outputs/tables/REGISTRY_SECONDARY_OUTCOMES_BRAZIL.csv,src/19_export_results.R,IBGE SIDRA table 4406,descriptive corroboration,"descriptive, not causal"
KEY_AFFECTED_2024,key_number,Affected marriages below 16 in 2024,193,marriages,outputs/tables/REGISTRY_SECONDARY_OUTCOMES_BRAZIL.csv,src/19_export_results.R,IBGE SIDRA table 4406,descriptive corroboration,"descriptive, not causal"
KEY_DDD_EB,key_number,DDD gradient per pre-period SD,9.89386325125392,percent gradient,outputs/tables/REGISTRY_EXPOSURE_DDD.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked complementary DDD,"gradient, not national average effect"
KEY_DELAY_AGE16,key_number,Age-16 mechanism contrast,0.608529261346313,percent,outputs/tables/REGISTRY_AGE_SPECIFIC_EFFECTS.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,mechanism contrast; not independent treatment
KEY_DELAY_AGE17,key_number,Age-17 mechanism contrast,3.32093771342104,percent,outputs/tables/REGISTRY_AGE_SPECIFIC_EFFECTS.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,mechanism contrast; not independent treatment
KEY_RECAPTURE,key_number,Aggregate recapture,174.803048167526,ratio,outputs/tables/REGISTRY_AGGREGATE_RECAPTURE.csv,src/14_analyze_delay_exposure.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked mechanism estimand,unstable aggregate accounting object
KEY_REGISTRY_AVOIDED_EVENTS,key_number,Predicted events avoided,2.1019016293473,persons,outputs/tables/REGISTRY_PRIMARY_EFFECT.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked primary,primary causal contrast; assumption-sensitive
KEY_REGISTRY_FORECAST_BEST,key_number,Lowest-RMSE global-linear target deviation,1.99748971523761,percent,outputs/tables/REGISTRY_TREND_SENSITIVITY_MODELS.csv,src/24_analyze_registry_trend_sensitivity.R,IBGE SIDRA table 4406; national age-15 versus ages-17--19 rate gap,frozen post-result sensitivity; calibration gate failed,model diagnostic; point estimate only; not a causal bound
KEY_REGISTRY_FORECAST_ENSEMBLE,key_number,Frozen inverse-RMSE-squared ensemble target deviation,3.01135989463215,percent,outputs/tables/REGISTRY_TREND_SENSITIVITY_SUMMARY.csv,src/24_analyze_registry_trend_sensitivity.R,IBGE SIDRA table 4406; national age-15 versus ages-17--19 rate gap,frozen post-result sensitivity; calibration gate failed,model diagnostic; point estimate only; not a causal bound
KEY_REGISTRY_FORECAST_ENVELOPE_HI,key_number,All-model point-envelope upper endpoint,12.84039573944,percent,outputs/tables/REGISTRY_TREND_SENSITIVITY_SUMMARY.csv,src/24_analyze_registry_trend_sensitivity.R,IBGE SIDRA table 4406; national age-15 versus ages-17--19 rate gap,frozen post-result sensitivity; calibration gate failed,model diagnostic; point estimate only; not a causal bound
KEY_REGISTRY_FORECAST_ENVELOPE_LO,key_number,All-model point-envelope lower endpoint,-33.6831945851231,percent,outputs/tables/REGISTRY_TREND_SENSITIVITY_SUMMARY.csv,src/24_analyze_registry_trend_sensitivity.R,IBGE SIDRA table 4406; national age-15 versus ages-17--19 rate gap,frozen post-result sensitivity; calibration gate failed,model diagnostic; point estimate only; not a causal bound
KEY_REGISTRY_MDE,key_number,Registry MDE at 80% power,19.300180856943,decline percent,outputs/tables/POWER_AND_MDE.csv,src/13_analyze_registry.R,IBGE SIDRA table 4406; PNADC quarterly denominators,locked power diagnostic,precision diagnostic
