source,product_class,year,periods,n_rows,geography_units,geography_level,age_support,sex_coverage,weighted_population,event_count,unweighted_union_count,usable_for,notes,year
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2012,quarters present: 1;2;3;4,28300,27,UF label only; UPA and stratum removed,13-19 years,Feminino,11936161.6195053,,1691,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2013,quarters present: 1;2;3;4,28914,27,UF label only; UPA and stratum removed,13-19 years,Feminino,12016770.4627171,,1738,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2014,quarters present: 1;2;3;4,28533,27,UF label only; UPA and stratum removed,13-19 years,Feminino,11811568.6965722,,1676,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2015,quarters present: 1;2;3;4,27647,27,UF label only; UPA and stratum removed,13-19 years,Feminino,11618082.8867894,,1608,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2016,quarters present: 1;2;3;4,26596,27,UF label only; UPA and stratum removed,13-19 years,Feminino,11453799.0149248,,1548,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2017,quarters present: 1;2;3;4,25948,27,UF label only; UPA and stratum removed,13-19 years,Feminino,11320970.8214125,,1373,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2018,quarters present: 1;2;3;4,24781,27,UF label only; UPA and stratum removed,13-19 years,Feminino,11150017.4344798,,1214,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2019,quarters present: 1;2;3;4,23874,27,UF label only; UPA and stratum removed,13-19 years,Feminino,10927337.5900021,,1052,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2022,quarters present: 1;2;3;4,18633,27,UF label only; UPA and stratum removed,13-19 years,Feminino,10331197.4524917,,632,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_didc_cache,PNAD Continua annual by first visit (inferred from V1032 provenance),2023,quarters present: 1;2;3;4,18633,27,UF label only; UPA and stratum removed,13-19 years,Feminino,10269318.5242512,,601,annual female population point estimates and spouse-of-head lower-bound union prevalence; no design-based SE,2020-2021 deliberately absent; household pairing impossible,
pnadc_official_first_visit,PNADC annual by first visit,2012,four interview quarters accumulated into annual first-visit sample,49367,27,UF; design identifiers retained,14-19 completed years,male and female,20611249,,2238,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2013,four interview quarters accumulated into annual first-visit sample,50385,27,UF; design identifiers retained,14-19 completed years,male and female,20571529.0000025,,2370,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2014,four interview quarters accumulated into annual first-visit sample,50753,27,UF; design identifiers retained,14-19 completed years,male and female,20490702.0000047,,2397,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2015,four interview quarters accumulated into annual first-visit sample,49050,27,UF; design identifiers retained,14-19 completed years,male and female,20333338.0000032,,2301,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2016,four interview quarters accumulated into annual first-visit sample,47847,27,UF; design identifiers retained,14-19 completed years,male and female,20108417.0000045,,2199,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2017,four interview quarters accumulated into annual first-visit sample,46493,27,UF; design identifiers retained,14-19 completed years,male and female,19830311.000009,,2058,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2018,four interview quarters accumulated into annual first-visit sample,44081,27,UF; design identifiers retained,14-19 completed years,male and female,19515109.0000024,,1862,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2019,four interview quarters accumulated into annual first-visit sample,42356,27,UF; design identifiers retained,14-19 completed years,male and female,19196157.0000279,,1738,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2022,four interview quarters accumulated into annual first-visit sample,33242,27,UF; design identifiers retained,14-19 completed years,male and female,18295015.0001476,,1215,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2023,four interview quarters accumulated into annual first-visit sample,33132,27,UF; design identifiers retained,14-19 completed years,male and female,18041689.0000165,,1221,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_first_visit,PNADC annual by first visit,2024,four interview quarters accumulated into annual first-visit sample,32523,27,UF; design identifiers retained,14-19 completed years,male and female,17793378.0000205,,1150,age-sex denominators and union outcomes with design-based variance,V1032 annual calibrated weight; 2020-2021 absent from official first-visit product,
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2013,"Q1,Q2,Q3,Q4",249581,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,20590895.0000006,,10542,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2014,"Q1,Q2,Q3,Q4",250938,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,20499995.7500152,,10680,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2015,"Q1,Q2,Q3,Q4",243806,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,20331963.5000103,,10298,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2016,"Q1,Q2,Q3,Q4",239219,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,20101535.7500096,,9381,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2017,"Q1,Q2,Q3,Q4",231214,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,19822798.250016,,9135,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2018,"Q1,Q2,Q3,Q4",218552,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,19505682.7500164,,8195,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2019,"Q1,Q2,Q3,Q4",210720,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,19176249.0000433,,7514,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2020,"Q1,Q2,Q3,Q4",143876,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,18866223.7501828,,3878,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2021,"Q1,Q2,Q3,Q4",143792,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,18569064.0014412,,3843,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2022,"Q1,Q2,Q3,Q4",172246,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,18299233.0003208,,5479,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2023,"Q1,Q2,Q3,Q4",165292,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,18052645.0004754,,5237,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_official_quarterly,PNADC quarterly repeated cross-sections,2024,"Q1,Q2,Q3,Q4",163391,27,UF raw; region/Brazil design-based analytical union cells,14-19 completed years,male and female,17811958.5000794,,5181,quarterly age-sex denominators and union prevalence with Taylor variance,"V1028 quarterly calibrated weight; population shown is mean across quarters, not their sum",
pnadc_total_population,"PNADC annual by first visit, all ages",2012,annual,446445,27,UF/region/Brazil,all ages,"male, female, combined",197071707.000001,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2013,annual,461033,27,UF/region/Brazil,all ages,"male, female, combined",198616270.00001,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2014,annual,465038,27,UF/region/Brazil,all ages,"male, female, combined",200188924.00004,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2015,annual,459273,27,UF/region/Brazil,all ages,"male, female, combined",201769596.000029,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2016,annual,459718,27,UF/region/Brazil,all ages,"male, female, combined",203226466.000055,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2017,annual,457992,27,UF/region/Brazil,all ages,"male, female, combined",204554859.000087,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2018,annual,452654,27,UF/region/Brazil,all ages,"male, female, combined",205859886.000029,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2019,annual,443790,27,UF/region/Brazil,all ages,"male, female, combined",207217255.000271,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2022,annual,376821,27,UF/region/Brazil,all ages,"male, female, combined",210147281.003177,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2023,annual,383049,27,UF/region/Brazil,all ages,"male, female, combined",210971818.000379,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
pnadc_total_population,"PNADC annual by first visit, all ages",2024,annual,381815,27,UF/region/Brazil,all ages,"male, female, combined",211852978.000524,,,aggregate civil-marriage-rate denominator,No person-level all-age output retained,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2003,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,748981,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2004,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,806968,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2005,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,835846,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2006,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,889828,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2007,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,916006,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2008,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,959901,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2009,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,935116,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2010,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,977624,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2011,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1026736,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2012,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1038320,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2013,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1048777,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2014,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1101586,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2015,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1131734,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2016,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1090181,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2017,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1064489,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2018,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1043947,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2019,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,1015620,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2020,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,750746,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2021,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,923300,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_complete_tables_cache,Registry Civil aggregate cells; opposite-sex marriages,2022,annual registration year,89029,5237,place of registration (name); UF supported,<15;15;16;17;18;19;5-year groups;65+;unknown for both spouses,male and female spouses in opposite-sex marriages,,959019,,"annual numerators, joint-age affected marriages, delay/bunching; not a population rate without denominator",Age is years completed at registration; location is cartorio; cod_mun is unusable,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2013,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=212; missing values=4,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2014,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=210; missing values=6,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2015,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=212; missing values=4,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2016,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=209; missing values=7,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2017,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=208; missing values=8,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2018,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=205; missing values=11,
registry_sidra_local_extracts,SIDRA table 4406 UF aggregate; second-spouse selected ages,2019,annual; month fixed at Total,216,27,UF,8 age codes; 216 labeled rows,second spouse in male-female marriages,,,,validation and selected second-spouse numerators,numeric values=196; missing values=20,
