uf,alias,filing_year,records,plausible_year,probe_date,query_sha256
AC,tjac,2016,2,TRUE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,2607,3,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,2608,2,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,2609,18,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,2610,38,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,2611,27,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,2612,3,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AM,tjam,2601,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AM,tjam,2607,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AM,tjam,2610,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AM,tjam,2611,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AM,tjam,2612,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AP,tjap,2611,4,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2600,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2602,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2603,2,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2606,4,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2608,4,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2609,29,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2610,74,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2611,162,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,2612,38,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
CE,tjce,2608,3,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
CE,tjce,2609,8,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
CE,tjce,2610,17,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
CE,tjce,2611,13,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
CE,tjce,2612,2,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
DF,tjdft,2612,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
ES,tjes,2608,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
ES,tjes,2609,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
ES,tjes,2610,4,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
ES,tjes,2611,7,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2605,2,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2606,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2607,2,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2608,5,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2609,8,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2610,8,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2611,12,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,2612,14,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
MA,tjma,2609,1,FALSE,2026-09-02,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
