uf,alias,endpoint,probe_date,status,error,class_code,total_public_records,filing_date_exists,filing_date_missing,filing_date_plausible,filing_date_before_1900,filing_date_after_snapshot,filing_date_outside_plausible,pre_2013_2018,transition_2019,post_2020_2024,after_2024_to_snapshot,public_level_0,other_sigilo_levels,distinct_municipalities,has_procedencia_219,has_improcedencia_220,has_procedencia_parcial_221,has_any_merit_flag,degree_buckets,query_sha256
AC,tjac,https://api-publica.datajud.cnj.jus.br/api_publica_tjac/_search,2026-09-02,ok,,143,2,2,0,2,0,0,0,2,0,0,0,2,0,2,1,0,0,1,G1:2,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AL,tjal,https://api-publica.datajud.cnj.jus.br/api_publica_tjal/_search,2026-09-02,ok,,143,91,91,0,0,0,91,91,0,0,0,0,91,0,17,35,1,1,37,G1:91,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AM,tjam,https://api-publica.datajud.cnj.jus.br/api_publica_tjam/_search,2026-09-02,ok,,143,5,5,0,0,0,5,5,0,0,0,0,5,0,5,0,0,0,0,G1:5,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
AP,tjap,https://api-publica.datajud.cnj.jus.br/api_publica_tjap/_search,2026-09-02,ok,,143,4,4,0,0,0,4,4,0,0,0,0,4,0,1,3,0,0,3,G1:4,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
BA,tjba,https://api-publica.datajud.cnj.jus.br/api_publica_tjba/_search,2026-09-02,ok,,143,315,315,0,0,0,315,315,0,0,0,0,315,0,101,51,5,4,60,G1:315,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
CE,tjce,https://api-publica.datajud.cnj.jus.br/api_publica_tjce/_search,2026-09-02,ok,,143,43,43,0,0,0,43,43,0,0,0,0,43,0,20,15,2,0,17,G1:43,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
DF,tjdft,https://api-publica.datajud.cnj.jus.br/api_publica_tjdft/_search,2026-09-02,ok,,143,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,G1:1,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
ES,tjes,https://api-publica.datajud.cnj.jus.br/api_publica_tjes/_search,2026-09-02,ok,,143,13,13,0,0,0,13,13,0,0,0,0,13,0,12,5,0,0,5,G1:11;JE:2,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
GO,tjgo,https://api-publica.datajud.cnj.jus.br/api_publica_tjgo/_search,2026-09-02,ok,,143,52,52,0,0,0,52,52,0,0,0,0,52,0,31,10,1,7,18,G1:52,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
MA,tjma,https://api-publica.datajud.cnj.jus.br/api_publica_tjma/_search,2026-09-02,ok,,143,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,G1:1,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
MG,tjmg,https://api-publica.datajud.cnj.jus.br/api_publica_tjmg/_search,2026-09-02,ok,,143,1493,1493,0,0,0,1493,1493,0,0,0,0,1493,0,247,365,57,9,430,G1:1493,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
MS,tjms,https://api-publica.datajud.cnj.jus.br/api_publica_tjms/_search,2026-09-02,ok,,143,44,44,0,0,0,44,44,0,0,0,0,44,0,17,11,2,0,13,G1:44,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
MT,tjmt,https://api-publica.datajud.cnj.jus.br/api_publica_tjmt/_search,2026-09-02,ok,,143,3,3,0,0,0,3,3,0,0,0,0,3,0,0,1,0,0,1,G1:3,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
PA,tjpa,https://api-publica.datajud.cnj.jus.br/api_publica_tjpa/_search,2026-09-02,ok,,143,73,73,0,0,0,73,73,0,0,0,0,73,0,30,20,1,0,21,G1:73,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
PB,tjpb,https://api-publica.datajud.cnj.jus.br/api_publica_tjpb/_search,2026-09-02,ok,,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
PE,tjpe,https://api-publica.datajud.cnj.jus.br/api_publica_tjpe/_search,2026-09-02,ok,,143,307,307,0,88,0,219,219,30,13,39,0,307,0,57,82,11,4,97,G1:307,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
PI,tjpi,https://api-publica.datajud.cnj.jus.br/api_publica_tjpi/_search,2026-09-02,ok,,143,53,53,0,0,0,53,53,0,0,0,0,53,0,21,20,0,0,20,G1:53,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
PR,tjpr,https://api-publica.datajud.cnj.jus.br/api_publica_tjpr/_search,2026-09-02,ok,,143,65,65,0,0,0,65,65,0,0,0,0,65,0,37,22,1,0,23,G1:65,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
RJ,tjrj,https://api-publica.datajud.cnj.jus.br/api_publica_tjrj/_search,2026-09-02,ok,,143,791,791,0,80,0,711,711,19,7,48,2,791,0,51,230,21,12,263,G1:791,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
RN,tjrn,https://api-publica.datajud.cnj.jus.br/api_publica_tjrn/_search,2026-09-02,ok,,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
RO,tjro,https://api-publica.datajud.cnj.jus.br/api_publica_tjro/_search,2026-09-02,ok,,143,5,5,0,0,0,5,5,0,0,0,0,5,0,4,2,0,0,2,G1:5,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
RR,tjrr,https://api-publica.datajud.cnj.jus.br/api_publica_tjrr/_search,2026-09-02,ok,,143,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,G1:1,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
RS,tjrs,https://api-publica.datajud.cnj.jus.br/api_publica_tjrs/_search,2026-09-02,ok,,143,8,8,0,0,0,8,8,0,0,0,0,8,0,7,2,0,0,2,G1:8,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
SC,tjsc,https://api-publica.datajud.cnj.jus.br/api_publica_tjsc/_search,2026-09-02,ok,,143,4,4,0,0,0,4,4,0,0,0,0,4,0,4,1,0,1,2,G1:4,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
SE,tjse,https://api-publica.datajud.cnj.jus.br/api_publica_tjse/_search,2026-09-02,ok,,143,82,82,0,0,0,82,82,0,0,0,0,82,0,26,48,0,0,48,G1:82,a9d24da6afe736c814e56c91302603ff611ebff3037c74164dd078922d369399
