package,version,library
data.table,1.18.2.1,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
digest,0.6.39,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
readxl,1.5.0,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
DBI,1.3.0,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
duckdb,1.5.2,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
jsonlite,2.0.0,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
arrow,23.0.1.1,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
yaml,2.3.12,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
survey,4.5,/home/darciogm1/projetos/child_marr/Darcio/library
fixest,0.13.2,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
sandwich,3.1.1,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
lmtest,0.9.40,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
ggplot2,4.0.3,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
scales,1.4.0,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
patchwork,1.3.2,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
xtable,1.8.4,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
tidyselect,1.2.1,/home/darciogm1/R/x86_64-pc-linux-gnu-library/4.5
