path,sheet,row_number,row_text
notes/data_structure.xlsx,Plan1,2,PNAD Contínua Trimestral | 2012-2026 | Ano
notes/data_structure.xlsx,Plan1,4,PNAD Contínua Trimestral | 2012-2026 | Estrato
notes/data_structure.xlsx,Plan1,5,PNAD Contínua Trimestral | 2012-2026 | posest | Domínios de projeção geográficos
notes/data_structure.xlsx,Plan1,6,PNAD Contínua Trimestral | 2012-2026 | posest_sxi | Domínios de projeção por sexo e idade
notes/data_structure.xlsx,Plan1,7,"PNAD Contínua Trimestral | 2012-2026 | RM_RIDE | Região Metropolitana e Região Administrativa Integrada
de Desenvolvimento"
notes/data_structure.xlsx,Plan1,8,PNAD Contínua Trimestral | 2012-2026 | Trimestre
notes/data_structure.xlsx,Plan1,9,PNAD Contínua Trimestral | 2012-2026 | UF
notes/data_structure.xlsx,Plan1,10,PNAD Contínua Trimestral | 2012-2026 | UPA | Unidade Primária de Amostragem (UPA)
notes/data_structure.xlsx,Plan1,11,PNAD Contínua Trimestral | 2012-2026 | V1008 | Número de seleção do domicílio
notes/data_structure.xlsx,Plan1,12,PNAD Contínua Trimestral | 2012-2026 | V1014 | Painel
notes/data_structure.xlsx,Plan1,13,PNAD Contínua Trimestral | 2012-2026 | V1022 | Situação do domicílio
notes/data_structure.xlsx,Plan1,14,PNAD Contínua Trimestral | 2012-2026 | V1023 | Tipo de área
notes/data_structure.xlsx,Plan1,16,PNAD Contínua Trimestral | 2012-2026 | V1031 | Peso do domicílio e das pessoas
notes/data_structure.xlsx,Plan1,17,PNAD Contínua Trimestral | 2012-2026 | V1032 | Peso do domicílio e das pessoas
notes/data_structure.xlsx,Plan1,18,PNAD Contínua Trimestral | 2012-2026 | V1034 | Projeção da população por sexo e idade
notes/data_structure.xlsx,Plan1,19,PNAD Contínua Trimestral | 2012-2026 | V2001 | Número de pessoas no domicílio
notes/data_structure.xlsx,Plan1,20,PNAD Contínua Trimestral | 2012-2026 | V2003 | Número de ordem
notes/data_structure.xlsx,Plan1,21,PNAD Contínua Trimestral | 2012-2026 | V2005 | Condição no domicílio
notes/data_structure.xlsx,Plan1,22,PNAD Contínua Trimestral | 2012-2026 | V2007 | Sexo
notes/data_structure.xlsx,Plan1,23,PNAD Contínua Trimestral | 2012-2026 | V2008 | Dia de nascimento
notes/data_structure.xlsx,Plan1,24,PNAD Contínua Trimestral | 2012-2026 | V20081 | Mês de nascimento
notes/data_structure.xlsx,Plan1,25,PNAD Contínua Trimestral | 2012-2026 | V20082 | Ano de nascimento
notes/data_structure.xlsx,Plan1,26,PNAD Contínua Trimestral | 2012-2026 | V2009 | Idade do morador na data de referência
notes/data_structure.xlsx,Plan1,27,PNAD Contínua Trimestral | 2012-2026 | V2010 | Cor ou raça
notes/data_structure.xlsx,Plan1,29,"PNAD Contínua Trimestral | 2015-2026 | V5001A | No mês de ... (mês de referência), ... recebeu rendimentos de Benefício Assistencial de Prestação Continuada – BPC-LOAS?"
notes/data_structure.xlsx,Plan1,30,"PNAD Contínua Trimestral | 2015-2026 | V5002A | No mês de ... (mês de referência), ... recebeu rendimentos de Programa Auxílio Brasil (Antigo Bolsa Família)?"
notes/data_structure.xlsx,Plan1,31,"PNAD Contínua Trimestral | 2015-2026 | V5003A | No mês de ... (mês de referência), ... recebeu rendimentos de outros programas sociais do governo?"
notes/data_structure.xlsx,Plan1,32,PNAD Contínua Trimestral | 2012-2026 | VD2002 | Condição no domicílio
