path,sha256,sheet,rows,columns,status,note
notes/data_structure.xlsx,fc6c00b8d4ed71d1ded307f6f9025a6d2f14ac2d46d8f212d0fc7e5dc646c878,Plan1,181,4,read,
notes/data dictionary/dicionario_PNADC_microdados_2022_visita1_20231129.xls,63f4173be4da301c4b45f6e76ff156bd4d86d0acb2105a54d0c4dc3403502256,dicionário pnad contínua ,1328,8,read,
notes/data dictionary/dicionario_PNADC_microdados_2025_visita1_20260508.xls,a608033bdb65cc078cc931eb564e44a0048ae802632636fee8d82dec65df6286,dicionário pnad contínua ,1302,8,read,
notes/data dictionary/dicionario_PNS_microdados_2019_23062023.xls,4c5fbac4b422cd85c3a6819e3f0d1cf6d83965bba4150a42f65b5d5e03412efd,dicionário pns,5224,7,read,
notes/data dictionary/Dicionario-de-variaveis_PNS-2013.xlsx,776c12751ed66e1dbbc7ff5ee64a135078de5ee2b3bc9122cd3963444e3ef256,PNS 2013,4096,4,read,
notes/data dictionary/PNAD_Continua_2016_Rendimento_de_Todas_as_Fontes.xls,b142ea294be0a60254fab80df3d8469822cfc7d4978b8d39921629c17bedeed9,Sumário,91,3,read,
notes/data dictionary/PNAD_Continua_2016_Rendimento_de_Todas_as_Fontes.xls,b142ea294be0a60254fab80df3d8469822cfc7d4978b8d39921629c17bedeed9,Plano Tabular Rendimento,34161,254,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,PNAD Contínua,16,1,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,Sumário,43,3,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,1 - Introdução,3,1,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,2 - Notas técnicas,117,19,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,3 - Glossário,97,2,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,Tabelas e gráficos,4,1,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,4 - Tabela 1,48,15,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,5 - Gráfico 1,35,1,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,6 - Tabela 2,48,15,read,
notes/data dictionary/pnadc_201501_mensal_atualizado_em_08052015.xls,eeb5a3a8493ee0c5c26cd3123400d015d5a3817789665f76c18563b6214529d4,7 - Gráfico 2,35,1,read,
