column_name,column_type,null,key,default,extra,table
uf_cod,VARCHAR,YES,,,,rc_panel
uf_nome,VARCHAR,YES,,,,rc_panel
ano,INTEGER,YES,,,,rc_panel
idade_m,VARCHAR,YES,,,,rc_panel
n_total_row,INTEGER,YES,,,,rc_panel
uf,VARCHAR,YES,,,,rc_panel
is_minor_w,BOOLEAN,YES,,,,rc_panel
below_16,INTEGER,YES,,,,rc_panel
pos_lei2019,INTEGER,YES,,,,rc_panel
nivel_territorial_cod,VARCHAR,YES,,,,rc_raw
nivel_territorial,VARCHAR,YES,,,,rc_raw
unidade_medida_cod,VARCHAR,YES,,,,rc_raw
unidade_medida,VARCHAR,YES,,,,rc_raw
valor,DOUBLE,YES,,,,rc_raw
uf_cod,VARCHAR,YES,,,,rc_raw
uf_nome,VARCHAR,YES,,,,rc_raw
variavel_cod,VARCHAR,YES,,,,rc_raw
variavel,VARCHAR,YES,,,,rc_raw
ano_cod,VARCHAR,YES,,,,rc_raw
ano,VARCHAR,YES,,,,rc_raw
idade_conjuge2_cod,VARCHAR,YES,,,,rc_raw
idade_conjuge2,VARCHAR,YES,,,,rc_raw
mes_registro_cod,VARCHAR,YES,,,,rc_raw
mes_registro,VARCHAR,YES,,,,rc_raw
estado_civil_conjuge1_cod,VARCHAR,YES,,,,rc_raw
estado_civil_conjuge1,VARCHAR,YES,,,,rc_raw
estado_civil_conjuge2_cod,VARCHAR,YES,,,,rc_raw
estado_civil_conjuge2,VARCHAR,YES,,,,rc_raw
idade_conjuge1_cod,VARCHAR,YES,,,,rc_raw
idade_conjuge1,VARCHAR,YES,,,,rc_raw
