figure_id,stem,png_exists,pdf_exists
FIGURE_01,FIGURE_01_REGISTRY_RAW_RATES_BY_AGE,TRUE,TRUE
FIGURE_02,FIGURE_02_AGE15_VS_PRIMARY_CONTROLS,TRUE,TRUE
FIGURE_03,FIGURE_03_REGISTRY_EVENT_STUDY,TRUE,TRUE
FIGURE_04,FIGURE_04_REGISTRY_EVENT_STUDIES_AGES_15_16_17,TRUE,TRUE
FIGURE_05,FIGURE_05_REGISTRY_AGE_DISTRIBUTION_BUNCHING,TRUE,TRUE
FIGURE_06,FIGURE_06_REGISTRY_EXPOSURE_DDD,TRUE,TRUE
FIGURE_07,FIGURE_07_PNADC_UNION_RAW_PREVALENCE,TRUE,TRUE
FIGURE_08,FIGURE_08_PNADC_UNION_EVENT_STUDY,TRUE,TRUE
FIGURE_09,FIGURE_09_PLACEBOS,TRUE,TRUE
FIGURE_10,FIGURE_10_SECONDARY_REGISTRY_OUTCOMES,TRUE,TRUE
