year,n_rows,denominator_min,denominator_max,exact_rate_identity_share,suitability
2003,89029,496,122581,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2004,89029,575,127915,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2005,89029,551,131968,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2006,89029,633,135332,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2007,89029,612,138293,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2008,89029,848,141877,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2009,89029,961,135310,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2010,89029,574,135515,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2011,89029,833,137057,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2012,89029,1011,136574,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2013,89029,864,134661,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2014,89029,967,139968,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2015,89029,1058,141967,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2016,89029,1000,134237,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2017,89029,944,127563,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2018,89029,846,119956,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2019,89029,891,112696,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2020,89029,598,82192,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2021,89029,912,97930,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
2022,89029,1064,98909,1,"blocked as population incidence: n_casamentos_2029 is a marriage count, not population at risk"
