year,relative_path,official_url,compressed_bytes,member_name,uncompressed_bytes,expansion_ratio,sha256,zip_valid,acquired_or_checked_at
2012,Darcio/data/raw_external/pnadc_visita1/PNADC_2012_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2012_visita1_20250822.zip,178524153,PNADC_2012_visita1.txt,1628184915,9.12025004818256,7d4c4181a748ff22843e5770b0ee258cec96b103501ef72f2171889a3a0e717a,TRUE,2026-09-02T02:19:40-0300
2013,Darcio/data/raw_external/pnadc_visita1/PNADC_2013_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2013_visita1_20250822.zip,186478508,PNADC_2013_visita1.txt,1681387351,9.01652082608898,296e91d5c1b90f9c78e8456ace3d2bb3da8f0423b55d9e8e537ea75d3fb91368,TRUE,2026-09-02T02:19:42-0300
2014,Darcio/data/raw_external/pnadc_visita1/PNADC_2014_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2014_visita1_20250822.zip,190866242,PNADC_2014_visita1.txt,1695993586,8.88577030819311,4a957297a15aa78fe8870bece10ac0f749579a72e9c5a9b470adade13c2f1a6f,TRUE,2026-09-02T02:19:43-0300
2015,Darcio/data/raw_external/pnadc_visita1/PNADC_2015_visita1_20251210.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2015_visita1_20251210.zip,192673292,PNADC_2015_visita1.txt,1739266851,9.02702617963262,9fd8b486c85ddadb011648532d228f3f312c62d17ae69f6a67d88e1534ccfbca,TRUE,2026-09-02T02:19:44-0300
2016,Darcio/data/raw_external/pnadc_visita1/PNADC_2016_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2016_visita1_20250822.zip,194763211,PNADC_2016_visita1.txt,1700496882,8.73109902670479,35a47d415791e8890ef4a3d693717583264e246f8f1c416c5c00a0d3a8aedc6a,TRUE,2026-09-02T02:19:45-0300
2017,Darcio/data/raw_external/pnadc_visita1/PNADC_2017_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2017_visita1_20250822.zip,195016328,PNADC_2017_visita1.txt,1695486384,8.69407398543572,c28940666fb73b1e05d57a9724efc9bf4ebf74d93347955ba37878826141c429,TRUE,2026-09-02T02:19:47-0300
2018,Darcio/data/raw_external/pnadc_visita1/PNADC_2018_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2018_visita1_20250822.zip,195176028,PNADC_2018_visita1.txt,1676630416,8.59035012230088,a585aff5c42239522b10be5c083202ddd0ed18d6c3818efcadf132cce6b2cd7e,TRUE,2026-09-02T02:19:48-0300
2019,Darcio/data/raw_external/pnadc_visita1/PNADC_2019_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2019_visita1_20250822.zip,193339990,PNADC_2019_visita1.txt,1645129530,8.50899769882061,f2350f5bd6799f2403c4a0b18b2efb3525594a60250b7ae189a892e87cad4d2e,TRUE,2026-09-02T02:19:49-0300
2022,Darcio/data/raw_external/pnadc_visita1/PNADC_2022_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2022_visita1_20250822.zip,169613807,PNADC_2022_visita1.txt,1394614521,8.22229360726512,30422dd3c4066dbb82eddc3bc8dc7ddd134df750ac06ae8d06fa9aca479444b6,TRUE,2026-09-02T02:19:50-0300
2023,Darcio/data/raw_external/pnadc_visita1/PNADC_2023_visita1_20250822.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2023_visita1_20250822.zip,175925970,PNADC_2023_visita1.txt,1417664349,8.05830059655206,76591b8657231ca57817713ffd73f3b4d998e9be90cf40f2cf1e3c066c2922e3,TRUE,2026-09-02T02:19:51-0300
2024,Darcio/data/raw_external/pnadc_visita1/PNADC_2024_visita1_20251119.zip,https://ftp.ibge.gov.br/Trabalho_e_Rendimento/Pesquisa_Nacional_por_Amostra_de_Domicilios_continua/Anual/Microdados/Visita/Visita_1/Dados/PNADC_2024_visita1_20251119.zip,177508095,PNADC_2024_visita1.txt,1413097315,7.96074857881834,e6f631a6ecf55f16a486f12f56409be50ca522488ea52dd2b6446de3f63c8b52,TRUE,2026-09-02T02:19:52-0300
