year,quarter,period,unweighted_n,union_conservative_cases,union_expanded_cases,weighted_population,normalized_weight_sum,male_n,female_n
2013,1,2013Q1,41248,2279,4295,13729542.5038133,41248,21072,20176
2013,2,2013Q2,41534,2369,4386,13739782.5157599,41534,21237,20297
2013,3,2013Q3,41540,2404,4393,13719199.3053727,41540,21210,20330
2013,4,2013Q4,40830,2383,4346,13581721.6659573,40830,20934,19896
2014,1,2014Q1,41407,2384,4382,13606428.6126801,41407,21231,20176
2014,2,2014Q2,41045,2415,4483,13513579.209035,41045,21210,19835
2014,3,2014Q3,41251,2377,4373,13456711.953974,41251,21326,19925
2014,4,2014Q4,41268,2325,4361,13465380.1026603,41268,21328,19940
2015,1,2015Q1,40907,2363,4446,13574473.9973403,40907,21154,19753
2015,2,2015Q2,40773,2379,4373,13595650.5002558,40773,21045,19728
2015,3,2015Q3,40392,2274,4243,13560167.4426432,40392,20918,19474
2015,4,2015Q4,39867,2217,4106,13592359.9473438,39867,20611,19256
2016,1,2016Q1,39690,2121,3995,13449425.4975979,39690,20572,19118
2016,2,2016Q2,39865,2052,3907,13448909.6454257,39865,20738,19127
2016,3,2016Q3,39914,2108,4071,13379846.8947114,39914,20758,19156
2016,4,2016Q4,39295,2091,4036,13325679.9764628,39295,20365,18930
2017,1,2017Q1,39131,2130,4078,13324372.5076803,39131,20342,18789
2017,2,2017Q2,38844,2134,4081,13390269.4461571,38844,20082,18762
2017,3,2017Q3,38584,2029,3927,13426385.3406743,38584,19915,18669
2017,4,2017Q4,38052,1966,3780,13433600.9718257,38052,19755,18297
2018,1,2018Q1,37631,1907,3759,13367339.6050678,37631,19552,18079
2018,2,2018Q2,36767,1845,3556,13282861.4132081,36767,19022,17745
2018,3,2018Q3,36802,1810,3525,13185469.2174985,36802,19071,17731
2018,4,2018Q4,36063,1799,3445,13138165.887814,36063,18782,17281
2019,2,2019Q2,35561,1728,3241,13034707.3638719,35561,18512,17049
2019,3,2019Q3,35475,1667,3210,12907965.4362131,35475,18485,16990
2019,4,2019Q4,34598,1585,3057,12830071.0594807,34598,17902,16696
