role,unweighted_n,weighted_population
Filho(a) do responsável e do cônjuge,121487,53305981.1620061
Filho(a) somente do responsável,59404,28720756.2415756
Neto(a),22317,9204310.70395005
Cônjuge ou companheiro(a) de sexo diferente,13067,5433940.17856062
Enteado(a),11628,5517251.91792837
Outro parente,7106,3082649.70380542
Genro ou nora,5824,2157797.71200583
Pessoa responsável pelo domicílio,5493,2777374.40154172
Irmão ou irmã,3202,1631247.41233076
Agregado(a) - Não parente que não compartilha despesas,1076,442226.97541562
Convivente - Não parente que compartilha despesas,679,329354.44197992
Bisneto(a),324,122619.710794
Empregado(a) doméstico(a),143,55813.06914187
Cônjuge ou companheiro(a) do mesmo sexo,66,36541.68823683
Parente do(a) empregado(a) doméstico(a),20,7894.29957336
Pensionista,18,7935.65278834
Sogro(a),5,1529.23151146
