year,cod_mun,distinct_place_names,place_names
2003,2109239,2,Presidente Médici (MA) || Presidente Médici (RO)
2003,4128625,2,Alto Paraíso (PR) || Alto Paraíso (RO)
2003,3109303,2,Buritis (MG) || Buritis (RO)
2003,3136603,2,Nova União (MG) || Nova União (RO)
2003,4306205,3,Cruzeiro do Sul (AC) || Cruzeiro do Sul (PR) || Cruzeiro do Sul (RS)
2003,5107206,2,Rio Branco (AC) || Rio Branco (MT)
2003,4309704,2,Humaitá (AM) || Humaitá (RS)
2003,4208401,2,Itapiranga (AM) || Itapiranga (SC)
2003,4112405,2,Japurá (AM) || Japurá (PR)
2003,3552700,2,Tabatinga (AM) || Tabatinga (SP)
2003,4300554,3,Alto Alegre (RR) || Alto Alegre (RS) || Alto Alegre (SP)
2003,3108107,2,Bonfim (MG) || Bonfim (RR)
2003,2700805,3,Belém (AL) || Belém (PA) || Belém (PB)
2003,1703305,2,Bom Jesus do Tocantins (PA) || Bom Jesus do Tocantins (TO)
2003,5002209,4,Bonito (BA) || Bonito (MS) || Bonito (PA) || Bonito (PE)
2003,4104501,2,Capanema (PA) || Capanema (PR)
2003,2407807,2,Monte Alegre (PA) || Monte Alegre (RN)
2003,1716307,2,Pau D'Arco (PA) || Pau D'Arco (TO)
2003,2611408,2,Primavera (PA) || Primavera (PE)
2003,2311603,2,Redenção (CE) || Redenção (PA)
2003,3305406,2,Sapucaia (PA) || Sapucaia (RJ)
2003,2928208,2,Santana (AP) || Santana (BA)
2003,4300604,2,Alvorada (RS) || Alvorada (TO)
2003,2100873,2,Araguanã (MA) || Araguanã (TO)
2003,4303103,3,Cachoeirinha (PE) || Cachoeirinha (RS) || Cachoeirinha (TO)
2003,2203701,2,Esperantina (PI) || Esperantina (TO)
2003,2910750,2,Fátima (BA) || Fátima (TO)
2003,2910859,2,Filadélfia (BA) || Filadélfia (TO)
2003,4311403,2,Lajeado (RS) || Lajeado (TO)
2003,3303104,2,Natividade (RJ) || Natividade (TO)
2003,2922508,2,Nazaré (BA) || Nazaré (TO)
2003,2510204,3,Nova Olinda (CE) || Nova Olinda (PB) || Nova Olinda (TO)
2003,3204302,2,Presidente Kennedy (ES) || Presidente Kennedy (TO)
2003,3154457,2,Riachinho (MG) || Riachinho (TO)
2003,4117602,2,Palmas (PR) || Palmas (TO)
2003,3300506,3,Bom Jardim (MA) || Bom Jardim (PE) || Bom Jardim (RJ)
2003,3511300,2,Cedral (MA) || Cedral (SP)
2003,4305587,2,Colinas (MA) || Colinas (RS)
2003,5206909,2,Davinópolis (GO) || Davinópolis (MA)
2003,4115903,2,Mirador (MA) || Mirador (PR)
2003,2925600,2,Presidente Dutra (BA) || Presidente Dutra (MA)
2003,3153202,2,Presidente Juscelino (MA) || Presidente Juscelino (MG)
2003,4215554,4,Santa Helena (MA) || Santa Helena (PB) || Santa Helena (PR) || Santa Helena (SC)
2003,4123600,3,Santa Inês (BA) || Santa Inês (MA) || Santa Inês (PR)
2003,3157807,4,Santa Luzia (BA) || Santa Luzia (MA) || Santa Luzia (MG) || Santa Luzia (PB)
2003,2513703,2,Santa Rita (MA) || Santa Rita (PB)
2003,2513901,2,São Bento (MA) || São Bento (PB)
2003,4216305,2,São João Batista (MA) || São João Batista (SC)
2003,3162708,2,São João do Paraíso (MA) || São João do Paraíso (MG)
2003,2413706,2,Sítio Novo (MA) || Sítio Novo (RN)
2003,3205101,2,Viana (ES) || Viana (MA)
2003,2700102,3,Água Branca (AL) || Água Branca (PB) || Água Branca (PI)
2003,2700706,2,Batalha (AL) || Batalha (PI)
2003,3506805,2,Bocaina (PI) || Bocaina (SP)
2003,4302303,4,Bom Jesus (PI) || Bom Jesus (RN) || Bom Jesus (RS) || Bom Jesus (SC)
2003,5002803,2,Caracol (MS) || Caracol (PI)
2003,2612554,2,Santa Filomena (PE) || Santa Filomena (PI)
2003,5108402,2,Várzea Grande (MT) || Várzea Grande (PI)
2003,4201901,2,Aurora (CE) || Aurora (SC)
2003,4104808,2,Cascavel (CE) || Cascavel (PR)
2003,2604304,2,Cedro (CE) || Cedro (PE)
2003,5209705,2,Hidrolândia (CE) || Hidrolândia (GO)
2003,4110052,2,Iguatu (CE) || Iguatu (PR)
2003,4310405,2,Independência (CE) || Independência (RS)
2003,5005004,2,Jardim (CE) || Jardim (MS)
2003,2921302,2,Milagres (BA) || Milagres (CE)
2003,5213806,2,Morrinhos (CE) || Morrinhos (GO)
2003,2804904,2,Pacatuba (CE) || Pacatuba (SE)
2003,2511004,2,Pedra Branca (CE) || Pedra Branca (PB)
2003,2412005,2,São Gonçalo do Amarante (CE) || São Gonçalo do Amarante (RN)
2003,2800506,2,Areia Branca (RN) || Areia Branca (SE)
2003,5002704,3,Campo Grande (AL) || Campo Grande (MS) || Campo Grande (RN)
2003,2501534,2,Baraúna (PB) || Baraúna (RN)
2003,2602506,2,Brejinho (PE) || Brejinho (RN)
2003,2504074,2,Caraúbas (PB) || Caraúbas (RN)
2003,2610400,2,Parnamirim (PE) || Parnamirim (RN)
2003,5210802,2,Itajá (GO) || Itajá (RN)
2003,2917904,2,Jandaíra (BA) || Jandaíra (RN)
