year,query_type,relative_path,official_url,size_bytes,rows,zero_symbols,missing_symbols,sha256,status,acquired_this_run,acquired_or_checked_at
,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual.json,Initial all-period API query; same cells are retained in validated year-specific files,2273525,6804,4453,0,0fcdc27ca7022df334e2fed5a916edb5cddb7f04d3856a049f8ed51a76c3177a,duplicate,FALSE,2026-09-02T02:44:09-0300
,joint_under16_annual,Darcio/data/raw_external/sidra_4406_joint_under16_annual.json,Initial all-period API query; same cells are retained in validated year-specific files,1347849,3888,3751,0,ecae2c504372c2ca6ad906fe9e16208437e03cad7372d071d72870a47acf18fa,duplicate,FALSE,2026-09-02T02:44:09-0300
,second_age_annual,Darcio/data/raw_external/sidra_4406_second_age_annual.json,Initial all-period API query; same cells are retained in validated year-specific files,2274714,6804,3816,0,e38d4c7a9586ffb5e12fab879c91dedfbeee16e11258433c846f534237883ea2,duplicate,FALSE,2026-09-02T02:44:09-0300
,total_annual,Darcio/data/raw_external/sidra_4406_total_annual.json,Initial all-period API query; same cells are retained in validated year-specific files,319147,972,5,0,4e39e54cafb2467d7f7644f5e6540c1b15f6ea5621c778804f23bf29203befff,duplicate,FALSE,2026-09-02T02:44:09-0300
2013,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual_2013.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2013/c666/32968,32970,32971,32972,32973,32974,33005?formato=json",190139,567,387,0,89b90b5ade45646f6ae7e8603c5e67eeed0cb2fcf62414d7ad2711285422bcbb,used,FALSE,2026-09-02T02:44:07-0300
2014,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual_2014.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2014/c666/32968,32970,32971,32972,32973,32974,33005?formato=json",190146,567,364,0,564690481592facbd4b4f48a5fee5e8882e38b41a0e54c170056b626b440cc58,used,FALSE,2026-09-02T02:44:07-0300
2015,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual_2015.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2015/c666/32968,32970,32971,32972,32973,32974,33005?formato=json",190143,567,374,0,97aec07d08891c47fb0edeba1341b66548d655a5c155d60ef52b341a0b2031e8,used,FALSE,2026-09-02T02:44:07-0300
2016,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual_2016.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2016/c666/32968,32970,32971,32972,32973,32974,33005?formato=json",190138,567,397,0,fb7e0db0eb4eb62ef4b8068ad4167f4c5869e0357b16bf944b1173eab71c6c68,used,FALSE,2026-09-02T02:44:07-0300
2017,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual_2017.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2017/c666/32968,32970,32971,32972,32973,32974,33005?formato=json",190133,567,405,0,73df57700a56dd318de7bf1bf51bf240056dafb4f193fec77b9c111aae6c71be,used,FALSE,2026-09-02T02:44:07-0300
2018,first_age_annual,Darcio/data/raw_external/sidra_4406_first_age_annual_2018.json,"https://apisidra.ibge.gov.br/values/t/4406/n3/all/v/221,4373,4374/p/2018/c666/32968,32970,32971,32972,32973,32974,33005?formato=json",190125,567,401,0,362f519f378820ae4a1993e51e2d70118f92d6c2151d2b28ff23891128d6a0c7,used,FALSE,2026-09-02T02:44:07-0300
