year,status,data_level,file_format,source_url,relative_local_path,size_bytes,sha256,archive_members,spreadsheet_members,checkpoint,checked_at_utc,note
2013,ok,public_aggregate_result_tables_not_microdata,xls,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2013/xls/04casamentos_xls.zip,crawler_pdpj/dados_registro_civil_publico/2013/04casamentos_xls.zip,4295919,579e5058e9de5311dce331d439abaa9de5cf2f18abe6dd2db5aba1103b1c7ab6,47,47,reused_valid_checkpoint,2026-09-02T23:25:03+00:00,"Tabela pública agregada; não é microdado evento a evento."
2014,ok,public_aggregate_result_tables_not_microdata,xls,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2014/xls/04casamentos_xls.zip,crawler_pdpj/dados_registro_civil_publico/2014/04casamentos_xls.zip,4349675,52dfee6179b4f8eb93558e45aca079392a79880e9d60cc788ce08d1c856cb6ad,48,47,reused_valid_checkpoint,2026-09-02T23:25:03+00:00,"Tabela pública agregada; não é microdado evento a evento."
2015,ok,public_aggregate_result_tables_not_microdata,xls,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2015/xls/04casamentos_xls.zip,crawler_pdpj/dados_registro_civil_publico/2015/04casamentos_xls.zip,4377094,d9957d3b8237c93c6b8d73906474cdbc92fb54acad5d39b0358a914c4ef4cb70,47,47,reused_valid_checkpoint,2026-09-02T23:25:04+00:00,"Tabela pública agregada; não é microdado evento a evento."
2016,ok,public_aggregate_result_tables_not_microdata,xls,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2016/xls/04casamentos_xls.zip,crawler_pdpj/dados_registro_civil_publico/2016/04casamentos_xls.zip,3224410,b3d3ae54984ff00a1008029b00342a078ba8fc4d083b96980f6957d78ff2e746,47,47,reused_valid_checkpoint,2026-09-02T23:25:04+00:00,"Tabela pública agregada; não é microdado evento a evento."
2017,ok,public_aggregate_result_tables_not_microdata,xls,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2017/xls/04casamentos_xls.zip,crawler_pdpj/dados_registro_civil_publico/2017/04casamentos_xls.zip,4742615,a815eb6658abf07853bf7036222fc31fb618c13f091cdac34ba1ef7124493769,47,47,reused_valid_checkpoint,2026-09-02T23:25:05+00:00,"Tabela pública agregada; não é microdado evento a evento."
2018,ok,public_aggregate_result_tables_not_microdata,xls,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2018/xls/04casamentos_xls.zip,crawler_pdpj/dados_registro_civil_publico/2018/04casamentos_xls.zip,4743014,126a27bba8e928061093c504b7b9e997e9d587800b899779b58a9afa45608a42,47,47,reused_valid_checkpoint,2026-09-02T23:25:05+00:00,"Tabela pública agregada; não é microdado evento a evento."
2019,ok,public_aggregate_result_tables_not_microdata,xlsx,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2019/xlsx/04casamentos_xlsx.zip,crawler_pdpj/dados_registro_civil_publico/2019/04casamentos_xlsx.zip,1166589,b480f05628b892f95af4043a839d3ff270b6e21b24a03484fd724a446312ee6b,47,47,reused_valid_checkpoint,2026-09-02T23:25:06+00:00,"Tabela pública agregada; não é microdado evento a evento."
2020,ok,public_aggregate_result_tables_not_microdata,xlsx,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2020/xlsx/04casamentos_xlsx.zip,crawler_pdpj/dados_registro_civil_publico/2020/04casamentos_xlsx.zip,1162283,99c6f22bdf51d29ac48e0839f04f7ff69c18b8c13553110781cd5c84296bdbbf,47,47,reused_valid_checkpoint,2026-09-02T23:25:06+00:00,"Tabela pública agregada; não é microdado evento a evento."
2021,ok,public_aggregate_result_tables_not_microdata,xlsx,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2021/xlsx/04casamentos_xlsx.zip,crawler_pdpj/dados_registro_civil_publico/2021/04casamentos_xlsx.zip,1196232,5c987a160e9ea0c3c17099c3b8e9755bdd203375a5fe5946a24c9262bd0a72a3,47,47,reused_valid_checkpoint,2026-09-02T23:25:07+00:00,"Tabela pública agregada; não é microdado evento a evento."
2022,ok,public_aggregate_result_tables_not_microdata,xlsx,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2022/xlsx/04casamentos_xlsx_20250923.zip,crawler_pdpj/dados_registro_civil_publico/2022/04casamentos_xlsx_20250923.zip,671731,cb7dc2c8866d5059724d76e6cedc820a0549d727b430341b70209deae7ce8da0,24,24,reused_valid_checkpoint,2026-09-02T23:25:07+00:00,"Tabela pública agregada; não é microdado evento a evento."
2023,ok,public_aggregate_result_tables_not_microdata,xlsx,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2023/xlsx/04casamentos_xlsx_20250923.zip,crawler_pdpj/dados_registro_civil_publico/2023/04casamentos_xlsx_20250923.zip,673474,e27e9e554df3646271bf4d9473f07ee2925f78dd3876de309df8af9f628fff4b,24,24,reused_valid_checkpoint,2026-09-02T23:25:08+00:00,"Tabela pública agregada; não é microdado evento a evento."
2024,ok,public_aggregate_result_tables_not_microdata,xlsx,https://ftp.ibge.gov.br/Registro_Civil/Tabelas_de_Resultados/2024/xlsx/04casamentos_xlsx.zip,crawler_pdpj/dados_registro_civil_publico/2024/04casamentos_xlsx.zip,673885,7ec70571af774c5a9c384434ff1eba70255fd712988c13883c665043c09e000c,24,24,reused_valid_checkpoint,2026-09-02T23:25:08+00:00,"Tabela pública agregada; não é microdado evento a evento."
