year,uf,sex,age_group,persons_married
2003,AC,female,15,1
2003,AC,female,16,65
2003,AC,female,17,81
2003,AC,female,18,108
2003,AC,female,19,155
2003,AC,female,20-24,685
2003,AC,female,25-29,493
2003,AC,female,30-34,340
2003,AC,female,35-39,184
2003,AC,female,40-44,129
2003,AC,female,45-49,66
2003,AC,female,50-54,52
2003,AC,female,55-59,27
2003,AC,female,60-64,19
2003,AC,female,65+,22
2003,AC,female,<15,5
2003,AC,female,unknown,0
2003,AC,male,15,0
2003,AC,male,16,2
2003,AC,male,17,8
2003,AC,male,18,21
2003,AC,male,19,44
2003,AC,male,20-24,528
2003,AC,male,25-29,592
2003,AC,male,30-34,388
2003,AC,male,35-39,309
2003,AC,male,40-44,192
2003,AC,male,45-49,117
2003,AC,male,50-54,70
2003,AC,male,55-59,52
2003,AC,male,60-64,40
2003,AC,male,65+,69
2003,AC,male,<15,0
2003,AC,male,unknown,0
2003,AL,female,15,132
2003,AL,female,16,580
2003,AL,female,17,616
2003,AL,female,18,761
2003,AL,female,19,737
2003,AL,female,20-24,3422
2003,AL,female,25-29,1933
2003,AL,female,30-34,869
2003,AL,female,35-39,468
2003,AL,female,40-44,267
2003,AL,female,45-49,169
2003,AL,female,50-54,129
2003,AL,female,55-59,56
2003,AL,female,60-64,56
2003,AL,female,65+,51
2003,AL,female,<15,70
2003,AL,female,unknown,1
2003,AL,male,15,6
2003,AL,male,16,24
2003,AL,male,17,81
2003,AL,male,18,240
2003,AL,male,19,454
2003,AL,male,20-24,3671
2003,AL,male,25-29,2696
2003,AL,male,30-34,1292
2003,AL,male,35-39,673
2003,AL,male,40-44,356
2003,AL,male,45-49,205
2003,AL,male,50-54,149
2003,AL,male,55-59,108
2003,AL,male,60-64,103
2003,AL,male,65+,255
2003,AL,male,<15,3
2003,AL,male,unknown,1
2003,AM,female,15,45
2003,AM,female,16,214
2003,AM,female,17,297
2003,AM,female,18,489
2003,AM,female,19,578
2003,AM,female,20-24,3378
2003,AM,female,25-29,3060
2003,AM,female,30-34,1890
2003,AM,female,35-39,1064
2003,AM,female,40-44,546
2003,AM,female,45-49,276
2003,AM,female,50-54,134
2003,AM,female,55-59,75
2003,AM,female,60-64,36
2003,AM,female,65+,48
2003,AM,female,<15,28
2003,AM,female,unknown,1
2003,AM,male,15,3
2003,AM,male,16,10
2003,AM,male,17,27
2003,AM,male,18,126
2003,AM,male,19,235
2003,AM,male,20-24,2793
2003,AM,male,25-29,3188
2003,AM,male,30-34,2410
2003,AM,male,35-39,1507
2003,AM,male,40-44,863
2003,AM,male,45-49,413
2003,AM,male,50-54,235
2003,AM,male,55-59,130
2003,AM,male,60-64,82
2003,AM,male,65+,134
2003,AM,male,<15,2
2003,AM,male,unknown,1
2003,AP,female,15,0
2003,AP,female,16,12
2003,AP,female,17,33
2003,AP,female,18,39
2003,AP,female,19,47
2003,AP,female,20-24,343
2003,AP,female,25-29,282
2003,AP,female,30-34,178
2003,AP,female,35-39,114
2003,AP,female,40-44,46
2003,AP,female,45-49,39
2003,AP,female,50-54,17
2003,AP,female,55-59,6
2003,AP,female,60-64,8
2003,AP,female,65+,4
2003,AP,female,<15,1
2003,AP,female,unknown,0
2003,AP,male,15,0
