aggregation,year,era,bandwidth_days,side,n_births,n_married_events,privacy_suppressed_married
era,,post,30,above,7942,87,FALSE
era,,post,30,below,7237,42,FALSE
era,,pre,30,above,13968,191,FALSE
era,,pre,30,below,12689,133,FALSE
era,,post,60,above,16069,185,FALSE
era,,post,60,below,14596,88,FALSE
era,,pre,60,above,28234,387,FALSE
era,,pre,60,below,25340,229,FALSE
era,,post,90,above,24397,272,FALSE
era,,post,90,below,21420,125,FALSE
era,,pre,90,above,43093,633,FALSE
era,,pre,90,below,37228,312,FALSE
era,,post,180,above,51371,694,FALSE
era,,post,180,below,39891,246,FALSE
era,,pre,180,above,90762,1817,FALSE
era,,pre,180,below,69393,572,FALSE
year,2022,post,30,above,2819,43,FALSE
year,2022,post,30,below,2598,15,FALSE
year,2023,post,30,above,2662,22,FALSE
year,2023,post,30,below,2474,16,FALSE
year,2024,post,30,above,2461,22,FALSE
year,2024,post,30,below,2165,11,FALSE
year,2016,pre,30,above,5045,59,FALSE
year,2016,pre,30,below,4492,44,FALSE
year,2017,pre,30,above,4630,69,FALSE
year,2017,pre,30,below,4176,46,FALSE
year,2018,pre,30,above,4293,63,FALSE
year,2018,pre,30,below,4021,43,FALSE
year,2022,post,60,above,5719,74,FALSE
year,2022,post,60,below,5258,33,FALSE
year,2023,post,60,above,5495,62,FALSE
year,2023,post,60,below,4915,33,FALSE
year,2024,post,60,above,4855,49,FALSE
year,2024,post,60,below,4423,22,FALSE
year,2016,pre,60,above,10163,143,FALSE
year,2016,pre,60,below,8912,76,FALSE
year,2017,pre,60,above,9366,132,FALSE
year,2017,pre,60,below,8427,80,FALSE
year,2018,pre,60,above,8705,112,FALSE
year,2018,pre,60,below,8001,73,FALSE
year,2022,post,90,above,8746,100,FALSE
year,2022,post,90,below,7698,44,FALSE
year,2023,post,90,above,8280,93,FALSE
year,2023,post,90,below,7185,43,FALSE
year,2024,post,90,above,7371,79,FALSE
year,2024,post,90,below,6537,38,FALSE
year,2016,pre,90,above,15550,251,FALSE
year,2016,pre,90,below,13127,118,FALSE
year,2017,pre,90,above,14198,209,FALSE
year,2017,pre,90,below,12441,101,FALSE
year,2018,pre,90,above,13345,173,FALSE
year,2018,pre,90,below,11660,93,FALSE
year,2022,post,180,above,18497,246,FALSE
year,2022,post,180,below,14453,92,FALSE
year,2023,post,180,above,17473,235,FALSE
year,2023,post,180,below,13295,89,FALSE
year,2024,post,180,above,15401,213,FALSE
year,2024,post,180,below,12143,65,FALSE
year,2016,pre,180,above,32748,725,FALSE
year,2016,pre,180,below,24712,220,FALSE
year,2017,pre,180,above,29834,591,FALSE
year,2017,pre,180,below,23006,183,FALSE
year,2018,pre,180,above,28180,501,FALSE
year,2018,pre,180,below,21675,169,FALSE
