year,era,reported_age,status_code,n_candidates,n_exact_date_valid,n_completed_age_agree,exact_date_valid_share,completed_age_agreement_share,privacy_suppressed
2016,pre,15,1,32413,32148,32143,0.991824268040601,0.999844469329352,FALSE
2016,pre,15,2,408,398,398,0.975490196078431,1,FALSE
2016,pre,15,3,,,,,,TRUE
2016,pre,15,4,19,19,19,1,1,FALSE
2016,pre,15,5,10416,10213,10212,0.980510752688172,0.999902085577206,FALSE
2016,pre,15,9,277,271,271,0.978339350180505,1,FALSE
2016,pre,15,BLANK,396,370,370,0.934343434343434,1,FALSE
2016,pre,16,1,51779,51344,51334,0.991598910755325,0.999805235275787,FALSE
2016,pre,16,2,2630,2603,2602,0.989733840304183,0.999615827890895,FALSE
2016,pre,16,3,40,40,40,1,1,FALSE
2016,pre,16,4,57,56,56,0.982456140350877,1,FALSE
2016,pre,16,5,20824,20473,20469,0.983144448713023,0.999804620719973,FALSE
2016,pre,16,9,289,280,280,0.968858131487889,1,FALSE
2016,pre,16,BLANK,549,512,512,0.932604735883424,1,FALSE
2017,pre,15,1,30627,30357,30351,0.991184249191889,0.999802352011068,FALSE
2017,pre,15,2,329,322,322,0.978723404255319,1,FALSE
2017,pre,15,3,10,10,10,1,1,FALSE
2017,pre,15,4,11,11,11,1,1,FALSE
2017,pre,15,5,9390,9227,9223,0.982641107561235,0.99956648964994,FALSE
2017,pre,15,9,249,245,245,0.983935742971888,1,FALSE
2017,pre,15,BLANK,371,355,355,0.956873315363881,1,FALSE
2017,pre,16,1,47984,47582,47575,0.991622207402468,0.999852885544954,FALSE
2017,pre,16,2,2028,2001,1999,0.986686390532544,0.999000499750125,FALSE
2017,pre,16,3,25,25,25,1,1,FALSE
2017,pre,16,4,56,54,54,0.964285714285714,1,FALSE
2017,pre,16,5,18143,17874,17869,0.985173345091771,0.999720264070717,FALSE
2017,pre,16,9,308,292,291,0.948051948051948,0.996575342465753,FALSE
2017,pre,16,BLANK,531,512,511,0.964218455743879,0.998046875,FALSE
2018,pre,15,1,29220,28967,28962,0.991341546885695,0.99982738978838,FALSE
2018,pre,15,2,303,294,293,0.97029702970297,0.996598639455782,FALSE
2018,pre,15,3,,,,,,TRUE
2018,pre,15,4,15,15,15,1,1,FALSE
2018,pre,15,5,8549,8399,8393,0.98245408819745,0.999285629241576,FALSE
2018,pre,15,9,182,179,179,0.983516483516483,1,FALSE
2018,pre,15,BLANK,310,293,293,0.945161290322581,1,FALSE
2018,pre,16,1,46012,45695,45690,0.993110492914892,0.999890578837947,FALSE
2018,pre,16,2,1662,1643,1643,0.988567990373044,1,FALSE
2018,pre,16,3,21,21,21,1,1,FALSE
2018,pre,16,4,62,59,59,0.951612903225806,1,FALSE
2018,pre,16,5,16317,16079,16079,0.985413985413985,1,FALSE
2018,pre,16,9,233,229,229,0.982832618025751,1,FALSE
2018,pre,16,BLANK,490,460,459,0.938775510204082,0.997826086956522,FALSE
2022,post,15,1,20365,20182,20181,0.991013994598576,0.999950450896839,FALSE
2022,post,15,2,158,152,152,0.962025316455696,1,FALSE
2022,post,15,3,,,,,,TRUE
2022,post,15,4,,,,,,TRUE
2022,post,15,5,4553,4461,4459,0.979793542719086,0.999551670029141,FALSE
2022,post,15,9,131,128,128,0.977099236641221,1,FALSE
2022,post,15,BLANK,142,137,137,0.964788732394366,1,FALSE
2022,post,16,1,33455,33182,33180,0.991839784785533,0.999939726357664,FALSE
2022,post,16,2,810,795,795,0.981481481481481,1,FALSE
2022,post,16,3,14,14,14,1,1,FALSE
2022,post,16,4,37,37,37,1,1,FALSE
2022,post,16,5,8587,8417,8417,0.980202631885408,1,FALSE
2022,post,16,9,215,213,213,0.990697674418605,1,FALSE
2022,post,16,BLANK,202,202,202,1,1,FALSE
2023,post,15,1,19784,19644,19642,0.992923574605742,0.999898187741804,FALSE
2023,post,15,2,151,141,141,0.933774834437086,1,FALSE
2023,post,15,3,,,,,,TRUE
2023,post,15,4,,,,,,TRUE
2023,post,15,5,3584,3519,3518,0.981863839285714,0.99971582836033,FALSE
2023,post,15,9,127,124,124,0.976377952755906,1,FALSE
2023,post,15,BLANK,111,106,106,0.954954954954955,1,FALSE
2023,post,16,1,32509,32276,32273,0.992832754006583,0.999907051679266,FALSE
2023,post,16,2,746,732,732,0.981233243967828,1,FALSE
2023,post,16,3,21,21,21,1,1,FALSE
2023,post,16,4,20,19,19,0.95,1,FALSE
2023,post,16,5,7053,6947,6947,0.984970934354175,1,FALSE
2023,post,16,9,162,159,159,0.981481481481481,1,FALSE
2023,post,16,BLANK,182,181,181,0.994505494505495,1,FALSE
2024,post,15,1,18659,18526,18524,0.992872072458331,0.99989204361438,FALSE
2024,post,15,2,129,125,125,0.968992248062015,1,FALSE
2024,post,15,3,,,,,,TRUE
2024,post,15,4,,,,,,TRUE
2024,post,15,5,2807,2747,2747,0.978624866405415,1,FALSE
2024,post,15,9,118,115,115,0.974576271186441,1,FALSE
2024,post,15,BLANK,107,104,104,0.97196261682243,1,FALSE
2024,post,16,1,28982,28792,28788,0.993444206749017,0.999861072520144,FALSE
2024,post,16,2,636,624,624,0.981132075471698,1,FALSE
2024,post,16,3,,,,,,TRUE
2024,post,16,4,16,16,16,1,1,FALSE
2024,post,16,5,5390,5293,5292,0.982003710575139,0.999811071226148,FALSE
2024,post,16,9,182,180,180,0.989010989010989,1,FALSE
2024,post,16,BLANK,167,166,166,0.994011976047904,1,FALSE
