era,bandwidth_days,side,n_age_date_geo_scope,n_singleton,n_valid_status_singleton,singleton_share,valid_status_share
post,30,above,8106,8027,7942,0.990254132741179,0.989410738756696
post,30,below,7387,7299,7237,0.9880871801814,0.991505685710371
pre,30,above,14296,14127,13968,0.98817851147174,0.988744956466341
pre,30,below,12997,12848,12689,0.988535815957529,0.987624533001245
post,60,above,16378,16224,16069,0.990597142508243,0.990446252465483
post,60,below,14889,14724,14596,0.988917993149305,0.991306710133116
pre,60,above,28899,28544,28234,0.987715837918267,0.989139573991031
pre,60,below,25980,25698,25340,0.989145496535797,0.986068954782473
post,90,above,24892,24642,24397,0.989956612566286,0.99005762519276
post,90,below,21839,21611,21420,0.9895599615367,0.991161908287446
pre,90,above,44126,43566,43093,0.987309069482844,0.98914290960841
pre,90,below,38160,37743,37228,0.989072327044025,0.986355085711258
post,180,above,52405,51877,51371,0.989924625512833,0.990246159184224
post,180,below,40708,40281,39891,0.989510661295077,0.990318015938035
pre,180,above,92883,91737,90762,0.987661897225542,0.989371791098466
pre,180,below,71089,70342,69393,0.989492045182799,0.986508771431008
