year,era,row_type,month,n_records
2016,pre,invalid_or_wrong_year_date,,0
2016,pre,valid_birth_month,1,246388
2016,pre,valid_birth_month,2,241133
2016,pre,valid_birth_month,3,267249
2016,pre,valid_birth_month,4,256752
2016,pre,valid_birth_month,5,262413
2016,pre,valid_birth_month,6,246322
2016,pre,valid_birth_month,7,241194
2016,pre,valid_birth_month,8,232083
2016,pre,valid_birth_month,9,226505
2016,pre,valid_birth_month,10,217018
2016,pre,valid_birth_month,11,204074
2016,pre,valid_birth_month,12,216669
2017,pre,invalid_or_wrong_year_date,,0
2017,pre,valid_birth_month,1,226414
2017,pre,valid_birth_month,2,223515
2017,pre,valid_birth_month,3,266965
2017,pre,valid_birth_month,4,252941
2017,pre,valid_birth_month,5,269777
2017,pre,valid_birth_month,6,254808
2017,pre,valid_birth_month,7,249008
2017,pre,valid_birth_month,8,244608
2017,pre,valid_birth_month,9,237644
2017,pre,valid_birth_month,10,233926
2017,pre,valid_birth_month,11,229578
2017,pre,valid_birth_month,12,234351
2018,pre,invalid_or_wrong_year_date,,0
2018,pre,valid_birth_month,1,248735
2018,pre,valid_birth_month,2,230349
2018,pre,valid_birth_month,3,264342
2018,pre,valid_birth_month,4,262426
2018,pre,valid_birth_month,5,268724
2018,pre,valid_birth_month,6,245608
2018,pre,valid_birth_month,7,246705
2018,pre,valid_birth_month,8,243961
2018,pre,valid_birth_month,9,237043
2018,pre,valid_birth_month,10,237490
2018,pre,valid_birth_month,11,228568
2018,pre,valid_birth_month,12,230981
2022,post,invalid_or_wrong_year_date,,0
2022,post,valid_birth_month,1,219825
2022,post,valid_birth_month,2,207317
2022,post,valid_birth_month,3,234109
2022,post,valid_birth_month,4,225578
2022,post,valid_birth_month,5,231719
2022,post,valid_birth_month,6,213192
2022,post,valid_birth_month,7,212832
2022,post,valid_birth_month,8,209771
2022,post,valid_birth_month,9,193997
2022,post,valid_birth_month,10,191061
2022,post,valid_birth_month,11,204592
2022,post,valid_birth_month,12,217929
2023,post,invalid_or_wrong_year_date,,0
2023,post,valid_birth_month,1,222608
2023,post,valid_birth_month,2,204105
2023,post,valid_birth_month,3,234147
2023,post,valid_birth_month,4,218654
2023,post,valid_birth_month,5,231023
2023,post,valid_birth_month,6,217299
2023,post,valid_birth_month,7,211095
2023,post,valid_birth_month,8,209301
2023,post,valid_birth_month,9,203776
2023,post,valid_birth_month,10,200729
2023,post,valid_birth_month,11,190836
2023,post,valid_birth_month,12,194003
2024,post,invalid_or_wrong_year_date,,0
2024,post,valid_birth_month,1,202635
2024,post,valid_birth_month,2,197086
2024,post,valid_birth_month,3,215701
2024,post,valid_birth_month,4,214917
2024,post,valid_birth_month,5,215084
2024,post,valid_birth_month,6,196934
2024,post,valid_birth_month,7,199452
2024,post,valid_birth_month,8,193474
2024,post,valid_birth_month,9,193540
2024,post,valid_birth_month,10,192615
2024,post,valid_birth_month,11,182356
2024,post,valid_birth_month,12,185531
