year,era,bandwidth_days,side,n_age_date_geo_scope,n_singleton,singleton_share,n_valid_status_singleton,valid_status_share
2016,pre,30,above,5171,5103,0.986849738928641,5045,0.988634136782285
2016,pre,30,below,4606,4551,0.988059053408598,4492,0.987035816304109
2016,pre,60,above,10407,10267,0.986547516094936,10163,0.989870458751339
2016,pre,60,below,9132,9038,0.989706526500219,8912,0.986058862580217
2016,pre,90,above,15930,15714,0.986440677966102,15550,0.98956344660812
2016,pre,90,below,13446,13311,0.98995983935743,13127,0.986176846217414
2016,pre,180,above,33520,33100,0.987470167064439,32748,0.989365558912387
2016,pre,180,below,25312,25070,0.990439317319848,24712,0.985719984044675
2017,pre,30,above,4733,4685,0.989858440735263,4630,0.988260405549626
2017,pre,30,below,4272,4225,0.988998127340824,4176,0.988402366863905
2017,pre,60,above,9587,9477,0.988526129133201,9366,0.988287432731877
2017,pre,60,below,8636,8543,0.989231125521075,8427,0.986421631745289
2017,pre,90,above,14545,14365,0.987624613269165,14198,0.988374521406196
2017,pre,90,below,12756,12613,0.988789589212919,12441,0.986363275985095
2017,pre,180,above,30568,30185,0.987470557445695,29834,0.988371707801888
2017,pre,180,below,23595,23334,0.98893833439288,23006,0.985943258764035
2018,pre,30,above,4392,4339,0.987932604735883,4293,0.989398478912192
2018,pre,30,below,4119,4072,0.988589463462005,4021,0.987475442043222
2018,pre,60,above,8905,8800,0.98820887142055,8705,0.989204545454546
2018,pre,60,below,8212,8117,0.988431563565514,8001,0.985709005790317
2018,pre,90,above,13651,13487,0.987986228115156,13345,0.989471342774524
2018,pre,90,below,11958,11819,0.988375982605787,11660,0.986547085201794
2018,pre,180,above,28795,28452,0.988088209758639,28180,0.990440039364544
2018,pre,180,below,22182,21938,0.989000090163195,21675,0.988011669249704
2022,post,30,above,2886,2855,0.989258489258489,2819,0.98739054290718
2022,post,30,below,2648,2619,0.98904833836858,2598,0.991981672394044
2022,post,60,above,5840,5783,0.990239726027397,5719,0.98893307971641
2022,post,60,below,5353,5295,0.989164954231272,5258,0.993012275731822
2022,post,90,above,8930,8846,0.990593505039194,8746,0.98869545557314
2022,post,90,below,7859,7763,0.987784705433261,7698,0.991626948344712
2022,post,180,above,18858,18682,0.990667090889808,18497,0.990097419976448
2022,post,180,below,14772,14600,0.98835634985107,14453,0.989931506849315
2023,post,30,above,2715,2687,0.989686924493554,2662,0.990695943431336
2023,post,30,below,2516,2490,0.98966613672496,2474,0.993574297188755
2023,post,60,above,5588,5539,0.991231209735147,5495,0.992056327857014
2023,post,60,below,5003,4960,0.991405156905856,4915,0.990927419354839
2023,post,90,above,8440,8355,0.989928909952607,8280,0.991023339317774
2023,post,90,below,7300,7249,0.993013698630137,7185,0.991171196027038
2023,post,180,above,17822,17647,0.990180675569521,17473,0.990139967133224
2023,post,180,below,13527,13415,0.991720263177349,13295,0.991054789414834
2024,post,30,above,2505,2485,0.992015968063872,2461,0.990342052313883
2024,post,30,below,2223,2190,0.985155195681511,2165,0.988584474885845
2024,post,60,above,4950,4902,0.99030303030303,4855,0.990412076703386
2024,post,60,below,4533,4469,0.985881314802559,4423,0.98970686954576
2024,post,90,above,7522,7441,0.989231587343792,7371,0.990592662276576
2024,post,90,below,6680,6599,0.987874251497006,6537,0.990604637066222
2024,post,180,above,15725,15548,0.988744038155803,15401,0.990545407769488
2024,post,180,below,12409,12266,0.988476106052059,12143,0.989972281102234
