variable_id,variable_label,family,gate_role,identified,n,weighted_mean,weighted_sd,above_x_post_pp,std_error_pp,ci95_low_pp,ci95_high_pp,p_value,absolute_standardized_magnitude,error_message,warnings,holm_family_size,p_value_holm,hard_failure
race_white,Maternal race/color: white,predetermined_hard,hard_gate,TRUE,126138,0.207567304700201,0.405565184304194,0.465034744537674,1.0497358883593,-1.59354699261914,2.52361648169449,0.657808265797476,0.0114663379041154,,"",10,1,FALSE
race_black,Maternal race/color: black,predetermined_hard,hard_gate,TRUE,126138,0.0533532692648497,0.22473695273275,0.567306787144319,0.618759769596197,-0.646110392836966,1.7807239671256,0.359324784827947,0.0252431467209108,,"",10,1,FALSE
race_yellow,Maternal race/color: yellow,predetermined_hard,hard_gate,TRUE,126138,0.00307463834145702,0.0553641123881369,-0.112151347800002,0.137891884450545,-0.382563856488921,0.158261160888917,0.416118328944296,0.0202570479255138,,"",10,1,FALSE
race_brown,Maternal race/color: brown,predetermined_hard,hard_gate,TRUE,126138,0.689347102894245,0.46276092599263,-1.28241019104287,1.28375724233713,-3.79991887424935,1.23509849216361,0.317928885823604,0.0277121537064107,,"",10,1,FALSE
race_indigenous,Maternal race/color: indigenous,predetermined_hard,hard_gate,TRUE,126138,0.0237174674761976,0.152167503799967,0.390772925405984,0.394012096940017,-0.381903436309447,1.16344928712142,0.321414855965044,0.0256804452756008,,"",10,1,FALSE
birthplace_north,Maternal birthplace region: north,predetermined_hard,hard_gate,TRUE,126138,0.184258695922158,0.387695020472566,0.403772060588126,0.935247577734261,-1.43029268330955,2.2378368044858,0.665981986233979,0.0104146826568978,,"",10,1,FALSE
birthplace_northeast,Maternal birthplace region: northeast,predetermined_hard,hard_gate,TRUE,126138,0.378493090567086,0.485011413226598,-1.2504282839011,1.23118911726812,-3.66484838699552,1.16399181919333,0.309919422111257,0.0257814197728353,,"",10,1,FALSE
birthplace_southeast,Maternal birthplace region: southeast,predetermined_hard,hard_gate,TRUE,126138,0.270376477926514,0.444154295386825,1.59383998538562,1.0659651947032,-0.496568189274912,3.68424816004615,0.135004104344032,0.0358848265555442,,"",10,1,FALSE
birthplace_south,Maternal birthplace region: south,predetermined_hard,hard_gate,TRUE,126138,0.0921569947629806,0.289247442649432,-0.229212781946239,0.738181624774052,-1.676821869447,1.21839630555452,0.756202684564242,0.00792445318951516,,"",10,1,FALSE
birthplace_center_west,Maternal birthplace region: center_west,predetermined_hard,hard_gate,TRUE,126138,0.06930277033165,0.253968297935015,-0.529650212418116,0.71619084959726,-1.9341343494748,0.87483392463857,0.459659714680339,0.0208549735035686,,"",10,1,FALSE
race_unknown,Maternal race/color unknown,predetermined_missingness,diagnostic_only,TRUE,126138,0.02294021732305,0.149712937825097,-0.0285529182448759,0.298317375419693,-0.613567404007926,0.556461567518174,0.923757089620728,0.0019071777402587,,"",2,1,FALSE
birthplace_unknown,Maternal birthplace region unknown/foreign,predetermined_missingness,diagnostic_only,TRUE,126138,0.00541197048961178,0.0733667572203607,0.0116792322916726,0.163554855797202,-0.309059577251814,0.332418041835159,0.943079038666989,0.00159189702995778,,"",2,1,FALSE
school_none,ESCMAE2010 category 0,composition,diagnostic_only,TRUE,126138,0.00411161144748538,0.0639898905983616,-0.0507502214823752,0.155069283957827,-0.354848423220053,0.253347980255303,0.74349154653548,0.00793097487865913,,"",14,1,FALSE
