era,x_days,n_births,side
pre,-180,310,below
pre,-179,333,below
pre,-178,320,below
pre,-177,334,below
pre,-176,373,below
pre,-175,336,below
pre,-174,344,below
pre,-173,314,below
pre,-172,330,below
pre,-171,335,below
pre,-170,334,below
pre,-169,333,below
pre,-168,362,below
pre,-167,356,below
pre,-166,357,below
pre,-165,339,below
pre,-164,368,below
pre,-163,342,below
pre,-162,332,below
pre,-161,369,below
pre,-160,351,below
pre,-159,359,below
pre,-158,335,below
pre,-157,326,below
pre,-156,357,below
pre,-155,362,below
pre,-154,333,below
pre,-153,349,below
pre,-152,360,below
pre,-151,341,below
pre,-150,339,below
pre,-149,348,below
pre,-148,330,below
pre,-147,355,below
pre,-146,350,below
pre,-145,349,below
pre,-144,366,below
pre,-143,346,below
pre,-142,371,below
pre,-141,370,below
pre,-140,340,below
pre,-139,356,below
pre,-138,386,below
pre,-137,334,below
pre,-136,371,below
pre,-135,338,below
pre,-134,329,below
pre,-133,339,below
pre,-132,368,below
pre,-131,367,below
pre,-130,383,below
pre,-129,377,below
pre,-128,323,below
pre,-127,380,below
pre,-126,370,below
pre,-125,379,below
pre,-124,353,below
pre,-123,383,below
pre,-122,356,below
pre,-121,370,below
pre,-120,348,below
pre,-119,397,below
pre,-118,390,below
pre,-117,391,below
pre,-116,380,below
pre,-115,358,below
pre,-114,374,below
pre,-113,395,below
pre,-112,372,below
pre,-111,364,below
pre,-110,347,below
pre,-109,389,below
pre,-108,404,below
pre,-107,386,below
pre,-106,352,below
pre,-105,389,below
pre,-104,396,below
pre,-103,373,below
pre,-102,400,below
pre,-101,404,below
pre,-100,395,below
pre,-99,372,below
pre,-98,374,below
pre,-97,413,below
pre,-96,380,below
pre,-95,394,below
pre,-94,365,below
pre,-93,414,below
pre,-92,384,below
pre,-91,403,below
pre,-90,386,below
pre,-89,363,below
pre,-88,411,below
pre,-87,383,below
pre,-86,386,below
pre,-85,381,below
pre,-84,392,below
pre,-83,428,below
pre,-82,402,below
pre,-81,416,below
pre,-80,425,below
pre,-79,413,below
pre,-78,387,below
pre,-77,415,below
pre,-76,405,below
pre,-75,384,below
pre,-74,426,below
pre,-73,398,below
pre,-72,404,below
pre,-71,374,below
pre,-70,407,below
pre,-69,443,below
pre,-68,400,below
pre,-67,387,below
pre,-66,381,below
pre,-65,382,below
pre,-64,406,below
pre,-63,409,below
pre,-62,405,below
pre,-61,431,below
pre,-60,401,below
pre,-59,413,below
pre,-58,423,below
pre,-57,418,below
pre,-56,417,below
pre,-55,439,below
pre,-54,468,below
pre,-53,429,below
pre,-52,427,below
pre,-51,439,below
pre,-50,448,below
pre,-49,468,below
pre,-48,423,below
