era,window_index,left_window_days,right_window_days,n_left,n_right,p_value,diagnostic_only
pre,1,1,1,457,1020,1.28512722242977e-49,TRUE
pre,2,2,2,932,1483,2.56999814318487e-29,TRUE
pre,3,3,3,1381,1898,1.72210655443629e-19,TRUE
pre,4,4,4,1831,2334,6.81772875032331e-15,TRUE
pre,5,5,5,2248,2786,3.57146569770213e-14,TRUE
pre,6,6,6,2706,3244,3.25270168386645e-12,TRUE
pre,7,7,7,3161,3679,3.99832780813539e-10,TRUE
pre,8,8,8,3605,4174,1.17284364178099e-10,TRUE
pre,9,9,9,4061,4659,1.59909979130889e-10,TRUE
pre,10,10,10,4556,5170,5.04320029305744e-10,TRUE
post,1,1,1,275,558,5.78091127104817e-23,TRUE
post,2,2,2,549,811,1.25724510861961e-12,TRUE
post,3,3,3,812,1073,2.0002317588091e-09,TRUE
post,4,4,4,1089,1334,7.01430863916871e-07,TRUE
post,5,5,5,1342,1597,2.75816100237832e-06,TRUE
post,6,6,6,1622,1861,5.47851094084315e-05,TRUE
post,7,7,7,1887,2145,5.15121297647629e-05,TRUE
post,8,8,8,2133,2424,1.72878652309999e-05,TRUE
post,9,9,9,2383,2710,4.88804662420948e-06,TRUE
post,10,10,10,2605,2950,3.89547176381827e-06,TRUE
