year,era,bandwidth_days,side,g0_n_singleton,g1_n_singleton,singleton_count_match,g0_n_valid_status,g1_n_valid_status,valid_status_count_match
2016,pre,30,above,5103,5103,TRUE,5045,5045,TRUE
2016,pre,30,below,4551,4551,TRUE,4492,4492,TRUE
2016,pre,60,above,10267,10267,TRUE,10163,10163,TRUE
2016,pre,60,below,9038,9038,TRUE,8912,8912,TRUE
2016,pre,90,above,15714,15714,TRUE,15550,15550,TRUE
2016,pre,90,below,13311,13311,TRUE,13127,13127,TRUE
2016,pre,180,above,33100,33100,TRUE,32748,32748,TRUE
2016,pre,180,below,25070,25070,TRUE,24712,24712,TRUE
2017,pre,30,above,4685,4685,TRUE,4630,4630,TRUE
2017,pre,30,below,4225,4225,TRUE,4176,4176,TRUE
2017,pre,60,above,9477,9477,TRUE,9366,9366,TRUE
2017,pre,60,below,8543,8543,TRUE,8427,8427,TRUE
2017,pre,90,above,14365,14365,TRUE,14198,14198,TRUE
2017,pre,90,below,12613,12613,TRUE,12441,12441,TRUE
2017,pre,180,above,30185,30185,TRUE,29834,29834,TRUE
2017,pre,180,below,23334,23334,TRUE,23006,23006,TRUE
2018,pre,30,above,4339,4339,TRUE,4293,4293,TRUE
2018,pre,30,below,4072,4072,TRUE,4021,4021,TRUE
2018,pre,60,above,8800,8800,TRUE,8705,8705,TRUE
2018,pre,60,below,8117,8117,TRUE,8001,8001,TRUE
2018,pre,90,above,13487,13487,TRUE,13345,13345,TRUE
2018,pre,90,below,11819,11819,TRUE,11660,11660,TRUE
2018,pre,180,above,28452,28452,TRUE,28180,28180,TRUE
2018,pre,180,below,21938,21938,TRUE,21675,21675,TRUE
2022,post,30,above,2855,2855,TRUE,2819,2819,TRUE
2022,post,30,below,2619,2619,TRUE,2598,2598,TRUE
2022,post,60,above,5783,5783,TRUE,5719,5719,TRUE
2022,post,60,below,5295,5295,TRUE,5258,5258,TRUE
2022,post,90,above,8846,8846,TRUE,8746,8746,TRUE
2022,post,90,below,7763,7763,TRUE,7698,7698,TRUE
2022,post,180,above,18682,18682,TRUE,18497,18497,TRUE
2022,post,180,below,14600,14600,TRUE,14453,14453,TRUE
2023,post,30,above,2687,2687,TRUE,2662,2662,TRUE
2023,post,30,below,2490,2490,TRUE,2474,2474,TRUE
2023,post,60,above,5539,5539,TRUE,5495,5495,TRUE
2023,post,60,below,4960,4960,TRUE,4915,4915,TRUE
2023,post,90,above,8355,8355,TRUE,8280,8280,TRUE
2023,post,90,below,7249,7249,TRUE,7185,7185,TRUE
2023,post,180,above,17647,17647,TRUE,17473,17473,TRUE
2023,post,180,below,13415,13415,TRUE,13295,13295,TRUE
2024,post,30,above,2485,2485,TRUE,2461,2461,TRUE
2024,post,30,below,2190,2190,TRUE,2165,2165,TRUE
2024,post,60,above,4902,4902,TRUE,4855,4855,TRUE
2024,post,60,below,4469,4469,TRUE,4423,4423,TRUE
2024,post,90,above,7441,7441,TRUE,7371,7371,TRUE
2024,post,90,below,6599,6599,TRUE,6537,6537,TRUE
2024,post,180,above,15548,15548,TRUE,15401,15401,TRUE
2024,post,180,below,12266,12266,TRUE,12143,12143,TRUE
