era,weekly_bin,bin_start,bin_end,bin_midpoint,n_calendar_days,n_births,births_per_age_day
post,-26,-180,-176,-178,5,949,189.8
post,-25,-175,-169,-172,7,1380,197.142857142857
post,-24,-168,-162,-165,7,1376,196.571428571429
post,-23,-161,-155,-158,7,1376,196.571428571429
post,-22,-154,-148,-151,7,1395,199.285714285714
post,-21,-147,-141,-144,7,1470,210
post,-20,-140,-134,-137,7,1405,200.714285714286
post,-19,-133,-127,-130,7,1469,209.857142857143
post,-18,-126,-120,-123,7,1494,213.428571428571
post,-17,-119,-113,-116,7,1504,214.857142857143
post,-16,-112,-106,-109,7,1508,215.428571428571
post,-15,-105,-99,-102,7,1503,214.714285714286
post,-14,-98,-92,-95,7,1553,221.857142857143
post,-13,-91,-85,-88,7,1570,224.285714285714
post,-12,-84,-78,-81,7,1541,220.142857142857
post,-11,-77,-71,-74,7,1627,232.428571428571
post,-10,-70,-64,-67,7,1662,237.428571428571
post,-9,-63,-57,-60,7,1695,242.142857142857
post,-8,-56,-50,-53,7,1664,237.714285714286
post,-7,-49,-43,-46,7,1728,246.857142857143
post,-6,-42,-36,-39,7,1759,251.285714285714
post,-5,-35,-29,-32,7,1782,254.571428571429
post,-4,-28,-22,-25,7,1645,235
post,-3,-21,-15,-18,7,1767,252.428571428571
post,-2,-14,-8,-11,7,1753,250.428571428571
post,-1,-7,-1,-4,7,1887,269.571428571429
post,0,0,6,3,7,1861,265.857142857143
post,1,7,13,10,7,1885,269.285714285714
post,2,14,20,17,7,1860,265.714285714286
post,3,21,27,24,7,1883,269
post,4,28,34,31,7,1878,268.285714285714
post,5,35,41,38,7,1972,281.714285714286
post,6,42,48,45,7,1881,268.714285714286
post,7,49,55,52,7,1932,276
post,8,56,62,59,7,1937,276.714285714286
post,9,63,69,66,7,1981,283
post,10,70,76,73,7,1865,266.428571428571
post,11,77,83,80,7,1982,283.142857142857
post,12,84,90,87,7,2049,292.714285714286
post,13,91,97,94,7,2067,295.285714285714
post,14,98,104,101,7,2047,292.428571428571
post,15,105,111,108,7,2069,295.571428571429
post,16,112,118,115,7,2130,304.285714285714
post,17,119,125,122,7,2033,290.428571428571
post,18,126,132,129,7,2083,297.571428571429
post,19,133,139,136,7,2083,297.571428571429
post,20,140,146,143,7,2095,299.285714285714
post,21,147,153,150,7,2157,308.142857142857
post,22,154,160,157,7,2194,313.428571428571
post,23,161,167,164,7,2207,315.285714285714
post,24,168,174,171,7,2170,310
post,25,175,180,177.5,6,1923,320.5
pre,-26,-180,-176,-178,5,1670,334
pre,-25,-175,-169,-172,7,2326,332.285714285714
pre,-24,-168,-162,-165,7,2456,350.857142857143
pre,-23,-161,-155,-158,7,2459,351.285714285714
pre,-22,-154,-148,-151,7,2400,342.857142857143
pre,-21,-147,-141,-144,7,2507,358.142857142857
pre,-20,-140,-134,-137,7,2454,350.571428571429
pre,-19,-133,-127,-130,7,2537,362.428571428571
pre,-18,-126,-120,-123,7,2559,365.571428571429
pre,-17,-119,-113,-116,7,2685,383.571428571429
pre,-16,-112,-106,-109,7,2614,373.428571428571
pre,-15,-105,-99,-102,7,2729,389.857142857143
pre,-14,-98,-92,-95,7,2724,389.142857142857
pre,-13,-91,-85,-88,7,2713,387.571428571429
pre,-12,-84,-78,-81,7,2863,409
pre,-11,-77,-71,-74,7,2806,400.857142857143
pre,-10,-70,-64,-67,7,2806,400.857142857143
pre,-9,-63,-57,-60,7,2900,414.285714285714
pre,-8,-56,-50,-53,7,3067,438.142857142857
pre,-7,-49,-43,-46,7,2962,423.142857142857
pre,-6,-42,-36,-39,7,2991,427.285714285714
pre,-5,-35,-29,-32,7,2990,427.142857142857
pre,-4,-28,-22,-25,7,3003,429
pre,-3,-21,-15,-18,7,3095,442.142857142857
pre,-2,-14,-8,-11,7,3175,453.571428571429
pre,-1,-7,-1,-4,7,3161,451.571428571429
pre,0,0,6,3,7,3244,463.428571428571
pre,1,7,13,10,7,3303,471.857142857143
pre,2,14,20,17,7,3343,477.571428571429
pre,3,21,27,24,7,3291,470.142857142857
pre,4,28,34,31,7,3264,466.285714285714
pre,5,35,41,38,7,3391,484.428571428571
pre,6,42,48,45,7,3352,478.857142857143
pre,7,49,55,52,7,3396,485.142857142857
pre,8,56,62,59,7,3552,507.428571428572
pre,9,63,69,66,7,3341,477.285714285714
pre,10,70,76,73,7,3545,506.428571428572
pre,11,77,83,80,7,3513,501.857142857143
pre,12,84,90,87,7,3530,504.285714285714
pre,13,91,97,94,7,3618,516.857142857143
pre,14,98,104,101,7,3564,509.142857142857
pre,15,105,111,108,7,3666,523.714285714286
pre,16,112,118,115,7,3699,528.428571428572
pre,17,119,125,122,7,3727,532.428571428572
pre,18,126,132,129,7,3624,517.714285714286
pre,19,133,139,136,7,3699,528.428571428572
pre,20,140,146,143,7,3763,537.571428571429
pre,21,147,153,150,7,3834,547.714285714286
pre,22,154,160,157,7,3795,542.142857142857
pre,23,161,167,164,7,3885,555
pre,24,168,174,171,7,3942,563.142857142857
pre,25,175,180,177.5,6,3369,561.5
