year,cutoff_age,n_age_pair_exact_candidates,n_impossible_anniversary_excluded,n_explained_feb29,n_other_impossible
2013,16,131822,0,0,0
2014,16,133258,0,0,0
2016,15,60637,24,24,0
2016,16,117281,0,0,0
2016,17,169927,150,150,0
2016,19,247934,61,61,0
2017,15,56423,0,0,0
2017,16,107439,0,0,0
2017,17,162752,235,235,0
2017,19,239790,0,0,0
2018,15,53408,18,18,0
2018,16,101164,0,0,0
2018,17,149503,37,37,0
2018,19,233259,221,221,0
2019,16,90978,0,0,0
2020,16,82618,0,0,0
2021,16,79750,0,0,0
2022,15,35140,23,23,0
2022,16,67245,0,0,0
2022,17,100643,37,37,0
2022,19,166373,142,142,0
2023,15,33702,49,49,0
2023,16,63300,0,0,0
2023,17,96288,0,0,0
2023,19,161680,178,178,0
2024,15,30298,12,12,0
2024,16,56130,0,0,0
2024,17,84338,92,92,0
2024,19,147633,33,33,0
