model_id,test_family,cutoff_age,reference_years,comparison_years,identified,full_primary_age16_policy_model,g3_estimand
temporal_placebo_age16,temporal_placebo,16,"2013,2014","2016,2017,2018",TRUE,FALSE,FALSE
age_placebo_15,age_placebo,15,"2016,2017,2018","2022,2023,2024",TRUE,FALSE,FALSE
age_placebo_17,age_placebo,17,"2016,2017,2018","2022,2023,2024",TRUE,FALSE,FALSE
age_placebo_19,age_placebo,19,"2016,2017,2018","2022,2023,2024",TRUE,FALSE,FALSE
annual_age16_2013,annual_jump_diagnostic,16,2013,"",TRUE,FALSE,FALSE
annual_age16_2014,annual_jump_diagnostic,16,2014,"",TRUE,FALSE,FALSE
annual_age16_2016,annual_jump_diagnostic,16,2016,"",TRUE,FALSE,FALSE
annual_age16_2017,annual_jump_diagnostic,16,2017,"",TRUE,FALSE,FALSE
annual_age16_2018,annual_jump_diagnostic,16,2018,"",TRUE,FALSE,FALSE
annual_age16_2019,annual_jump_diagnostic,16,2019,"",TRUE,FALSE,FALSE
annual_age16_2020,annual_jump_diagnostic,16,2020,"",TRUE,FALSE,FALSE
annual_age16_2021,annual_jump_diagnostic,16,2021,"",TRUE,FALSE,FALSE
annual_age16_2022,annual_jump_diagnostic,16,2022,"",TRUE,FALSE,FALSE
annual_age16_2023,annual_jump_diagnostic,16,2023,"",TRUE,FALSE,FALSE
annual_age16_2024,annual_jump_diagnostic,16,2024,"",TRUE,FALSE,FALSE
loo_pre2016_post2022,leave_one_out_diagnostic,16,"2017,2018","2023,2024",TRUE,FALSE,FALSE
loo_pre2016_post2023,leave_one_out_diagnostic,16,"2017,2018","2022,2024",TRUE,FALSE,FALSE
loo_pre2016_post2024,leave_one_out_diagnostic,16,"2017,2018","2022,2023",TRUE,FALSE,FALSE
loo_pre2017_post2022,leave_one_out_diagnostic,16,"2016,2018","2023,2024",TRUE,FALSE,FALSE
loo_pre2017_post2023,leave_one_out_diagnostic,16,"2016,2018","2022,2024",TRUE,FALSE,FALSE
loo_pre2017_post2024,leave_one_out_diagnostic,16,"2016,2018","2022,2023",TRUE,FALSE,FALSE
loo_pre2018_post2022,leave_one_out_diagnostic,16,"2016,2017","2023,2024",TRUE,FALSE,FALSE
loo_pre2018_post2023,leave_one_out_diagnostic,16,"2016,2017","2022,2024",TRUE,FALSE,FALSE
loo_pre2018_post2024,leave_one_out_diagnostic,16,"2016,2017","2022,2023",TRUE,FALSE,FALSE
