year,side,cutoff_age,n_births,g0_n_births,g0_n_married_events,g0_reference_applicable,g0_birth_count_match,g0_married_count_match,privacy_suppressed_married,n_married_events,married_share_percent
2016,above,15,7886,,,FALSE,,,FALSE,86,1.09054019781892
2016,below,15,6429,,,FALSE,,,FALSE,51,0.793280447970135
2017,above,15,7444,,,FALSE,,,FALSE,60,0.806018269747448
2017,below,15,5744,,,FALSE,,,FALSE,43,0.748607242339833
2018,above,15,7070,,,FALSE,,,FALSE,55,0.777934936350778
2018,below,15,5645,,,FALSE,,,FALSE,29,0.513728963684677
2022,above,15,4593,,,FALSE,,,FALSE,20,0.435445242760723
2022,below,15,3619,,,FALSE,,,FALSE,31,0.856590218292346
2023,above,15,4503,,,FALSE,,,FALSE,16,0.35531867643793
2023,below,15,3663,,,FALSE,,,FALSE,13,0.354900354900355
2024,above,15,4116,,,FALSE,,,FALSE,25,0.607385811467444
2024,below,15,3189,,,FALSE,,,FALSE,13,0.407651301348385
2013,above,16,17768,,,FALSE,,,FALSE,492,2.76902296262945
2013,below,16,15240,,,FALSE,,,FALSE,267,1.75196850393701
2014,above,16,17724,,,FALSE,,,FALSE,402,2.26811103588355
2014,below,16,15169,,,FALSE,,,FALSE,214,1.4107719691476
2016,above,16,15550,15550,251,TRUE,TRUE,TRUE,FALSE,251,1.61414790996785
2016,below,16,13127,13127,118,TRUE,TRUE,TRUE,FALSE,118,0.898910642187857
2017,above,16,14198,14198,209,TRUE,TRUE,TRUE,FALSE,209,1.47203831525567
2017,below,16,12441,12441,101,TRUE,TRUE,TRUE,FALSE,101,0.811831846314605
2018,above,16,13345,13345,173,TRUE,TRUE,TRUE,FALSE,173,1.29636568002997
2018,below,16,11660,11660,93,TRUE,TRUE,TRUE,FALSE,93,0.797598627787307
2019,above,16,11931,,,FALSE,,,FALSE,146,1.22370295867907
2019,below,16,10498,,,FALSE,,,FALSE,78,0.74299866641265
2020,above,16,10879,,,FALSE,,,FALSE,122,1.12142660170972
2020,below,16,9400,,,FALSE,,,FALSE,54,0.574468085106383
2021,above,16,10791,,,FALSE,,,FALSE,140,1.29737744416644
2021,below,16,9365,,,FALSE,,,FALSE,76,0.811532301121196
2022,above,16,8746,8746,100,TRUE,TRUE,TRUE,FALSE,100,1.14337983077979
2022,below,16,7698,7698,44,TRUE,TRUE,TRUE,FALSE,44,0.571577032995583
2023,above,16,8280,8280,93,TRUE,TRUE,TRUE,FALSE,93,1.1231884057971
2023,below,16,7185,7185,43,TRUE,TRUE,TRUE,FALSE,43,0.598469032707028
2024,above,16,7371,7371,79,TRUE,TRUE,TRUE,FALSE,79,1.07176773843441
2024,below,16,6537,6537,38,TRUE,TRUE,TRUE,FALSE,38,0.581306409668043
2016,above,17,22127,,,FALSE,,,FALSE,1293,5.84353956704479
2016,below,17,20837,,,FALSE,,,FALSE,1040,4.99112156260498
2017,above,17,21135,,,FALSE,,,FALSE,1054,4.98698840785427
2017,below,17,19297,,,FALSE,,,FALSE,827,4.28564025496191
2018,above,17,19365,,,FALSE,,,FALSE,900,4.64756003098373
2018,below,17,17737,,,FALSE,,,FALSE,649,3.65901787224446
2022,above,17,13193,,,FALSE,,,FALSE,405,3.06980974759342
2022,below,17,12215,,,FALSE,,,FALSE,326,2.66884977486697
2023,above,17,12198,,,FALSE,,,FALSE,398,3.26282997212658
2023,below,17,11429,,,FALSE,,,FALSE,284,2.4849068159944
2024,above,17,10756,,,FALSE,,,FALSE,317,2.94719226478245
2024,below,17,9799,,,FALSE,,,FALSE,241,2.45943463618737
2016,above,19,31599,,,FALSE,,,FALSE,3967,12.5541947529985
2016,below,19,30156,,,FALSE,,,FALSE,3420,11.3410266613609
2017,above,19,30479,,,FALSE,,,FALSE,3544,11.6276780734276
2017,below,19,28383,,,FALSE,,,FALSE,3101,10.9255540288201
2018,above,19,30254,,,FALSE,,,FALSE,3263,10.7853506974284
2018,below,19,28687,,,FALSE,,,FALSE,2827,9.85463798933315
2022,above,19,21357,,,FALSE,,,FALSE,1740,8.1472116870347
2022,below,19,19840,,,FALSE,,,FALSE,1388,6.99596774193548
2023,above,19,20610,,,FALSE,,,FALSE,1553,7.53517709849588
2023,below,19,19056,,,FALSE,,,FALSE,1292,6.78001679261125
2024,above,19,19053,,,FALSE,,,FALSE,1457,7.64708969716055
2024,below,19,18071,,,FALSE,,,FALSE,1243,6.87842399424492
