year,zip_file,zip_member,raw_sha256,raw_manifest_sha256_match,required_g2_schema_complete,n_raw,n_pre_date_candidates,n_retained_h90_across_required_cutoffs
2013,DNBR2013_csv.zip,DNBR2013.csv,9022c03039890915fe673bdb56938b4834c3ef643d316bc7ba848bd76de578d5,TRUE,TRUE,2904027,538509,33008
2014,DNBR2014_csv.zip,DNBR2014.csv,27365dcf610607e602ee9ba00c1e6981f9b7419fe8619ba80874454d4ae1d275,TRUE,TRUE,2979259,542626,32893
2016,SINASC_2016_csv.zip,SINASC_2016.csv,a25e4d65e0ebd91ae48530c0ebdebba581e60b71f381d530564598a5d7390a87,TRUE,TRUE,2857800,483619,147711
2017,SINASC_2017_csv.zip,SINASC_2017.csv,6a526a0245e68085c3a9f39a7420782c952a9f14f98284d1bb2a1b9921f4e8ce,TRUE,TRUE,2923535,463595,139121
2018,SINASC_2018_csv.zip,SINASC_2018.csv,1367ac0d8350e74128c752b896f98d7ba88f3720a7ff850ebb3f4c528f137315,TRUE,TRUE,2944932,440149,133763
2019,SINASC_2019_csv.zip,SINASC_2019.csv,4d528a8b6338ac3d811ee311e443f55366cbbef2e50dae1e0edd905c9d27d373,TRUE,TRUE,2849146,405194,22429
2020,SINASC_2020_csv.zip,SINASC_2020.csv,d06af4961ab021cf5b55bf913672036bd45280b87d73256f4fca8bf48f90104c,TRUE,TRUE,2730145,368822,20279
2021,SINASC_2021_csv.zip,SINASC_2021.csv,240eb1f03aa9cb5e9af3369b747b2ad67bda6b2e0c094f9d156b2e65e68ea802,TRUE,TRUE,2677101,351288,20156
2022,SINASC_2022_csv.zip,SINASC_2022.csv,89e6f791a24705889bfaae4ba7cfc834e68630361d99c276f377c0837bdefbf5,TRUE,TRUE,2561922,305196,91261
2023,SINASC_2023_csv.zip,SINASC_2023.csv,c4ce57f7aa539023e915b6820a466047466f87d48c81f8c1714ae21c21be510e,TRUE,TRUE,2537576,294050,86924
2024,SINASC_2024_csv.zip,SINASC_2024.csv,27e55de6359e1b1914301dc1d752d78e9535a7a52cc0640931dd94876aca6027,TRUE,TRUE,2389325,264576,78892
