model_id,model_family,estimator,package_version,outcome_id,sample_id,reference_years,comparison_years,bandwidth_days,bias_bandwidth_days,polynomial_order,bias_polynomial_order,kernel,fixed_effects,covariance,donut_days,masspoints,identified,n,error_message,warnings
G3_PRIMARY_TAU,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,0,,TRUE,126138,,""
G3_DELAY90,delay_reparameterization,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,0,,TRUE,126138,,""
G3_SECONDARY_UNIAO_ESTAVEL,stacked_fixest,fixest::feols,0.13.2,UNIAO_ESTAVEL,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,0,,TRUE,126138,,""
G3_SECONDARY_ANY_UNION,stacked_fixest,fixest::feols,0.13.2,ANY_UNION,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,0,,TRUE,126138,,""
G3_SENS_BW_030,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",30,,1,,triangular,year + birth_month,two_way,0,,TRUE,41836,,""
G3_SENS_BW_060,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",60,,1,,triangular,year + birth_month,two_way,0,,TRUE,84239,,""
G3_SENS_BW_180,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",180,,1,,triangular,year + birth_month,two_way,0,,TRUE,251417,,""
G3_SENS_VCOV_DISTANCE,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,distance,0,,TRUE,126138,,""
G3_SENS_VCOV_HC1,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,hc1,0,,TRUE,126138,,""
G3_SENS_REGION_RACE_FE,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month + residence_region_fe + race_fe,two_way,0,,TRUE,126138,,""
G3_SENS_QUADRATIC_H180,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",180,,2,,triangular,year + birth_month,two_way,0,,TRUE,251417,,""
G3_SENS_DONUT_01,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,1,,TRUE,123852,,""
G3_SENS_DONUT_03,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,3,,TRUE,121024,,""
G3_SENS_DONUT_07,stacked_fixest,fixest::feols,0.13.2,MARRIED,primary,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,7,,TRUE,115379,,""
G3_SENS_INCLUDE_MULTIPLE,stacked_fixest,fixest::feols,0.13.2,MARRIED,include_multiple,"2016,2017,2018","2022,2023,2024",90,,1,,triangular,year + birth_month,two_way,0,,TRUE,127465,,""
