year,era,bandwidth_days,side,g0_n_births,g3_n_births,birth_count_match,g0_n_married_events,g3_n_married_events,married_count_match
2016,pre,30,above,5045,5045,TRUE,59,59,TRUE
2016,pre,30,below,4492,4492,TRUE,44,44,TRUE
2016,pre,60,above,10163,10163,TRUE,143,143,TRUE
2016,pre,60,below,8912,8912,TRUE,76,76,TRUE
2016,pre,90,above,15550,15550,TRUE,251,251,TRUE
2016,pre,90,below,13127,13127,TRUE,118,118,TRUE
2016,pre,180,above,32748,32748,TRUE,725,725,TRUE
2016,pre,180,below,24712,24712,TRUE,220,220,TRUE
2017,pre,30,above,4630,4630,TRUE,69,69,TRUE
2017,pre,30,below,4176,4176,TRUE,46,46,TRUE
2017,pre,60,above,9366,9366,TRUE,132,132,TRUE
2017,pre,60,below,8427,8427,TRUE,80,80,TRUE
2017,pre,90,above,14198,14198,TRUE,209,209,TRUE
2017,pre,90,below,12441,12441,TRUE,101,101,TRUE
2017,pre,180,above,29834,29834,TRUE,591,591,TRUE
2017,pre,180,below,23006,23006,TRUE,183,183,TRUE
2018,pre,30,above,4293,4293,TRUE,63,63,TRUE
2018,pre,30,below,4021,4021,TRUE,43,43,TRUE
2018,pre,60,above,8705,8705,TRUE,112,112,TRUE
2018,pre,60,below,8001,8001,TRUE,73,73,TRUE
2018,pre,90,above,13345,13345,TRUE,173,173,TRUE
2018,pre,90,below,11660,11660,TRUE,93,93,TRUE
2018,pre,180,above,28180,28180,TRUE,501,501,TRUE
2018,pre,180,below,21675,21675,TRUE,169,169,TRUE
2022,post,30,above,2819,2819,TRUE,43,43,TRUE
2022,post,30,below,2598,2598,TRUE,15,15,TRUE
2022,post,60,above,5719,5719,TRUE,74,74,TRUE
2022,post,60,below,5258,5258,TRUE,33,33,TRUE
2022,post,90,above,8746,8746,TRUE,100,100,TRUE
2022,post,90,below,7698,7698,TRUE,44,44,TRUE
2022,post,180,above,18497,18497,TRUE,246,246,TRUE
2022,post,180,below,14453,14453,TRUE,92,92,TRUE
2023,post,30,above,2662,2662,TRUE,22,22,TRUE
2023,post,30,below,2474,2474,TRUE,16,16,TRUE
2023,post,60,above,5495,5495,TRUE,62,62,TRUE
2023,post,60,below,4915,4915,TRUE,33,33,TRUE
2023,post,90,above,8280,8280,TRUE,93,93,TRUE
2023,post,90,below,7185,7185,TRUE,43,43,TRUE
2023,post,180,above,17473,17473,TRUE,235,235,TRUE
2023,post,180,below,13295,13295,TRUE,89,89,TRUE
2024,post,30,above,2461,2461,TRUE,22,22,TRUE
2024,post,30,below,2165,2165,TRUE,11,11,TRUE
2024,post,60,above,4855,4855,TRUE,49,49,TRUE
2024,post,60,below,4423,4423,TRUE,22,22,TRUE
2024,post,90,above,7371,7371,TRUE,79,79,TRUE
2024,post,90,below,6537,6537,TRUE,38,38,TRUE
2024,post,180,above,15401,15401,TRUE,213,213,TRUE
2024,post,180,below,12143,12143,TRUE,65,65,TRUE
