canonical_field,product,official_raw_field,derived_field,availability,dictionary_checked,coding_or_rule,analysis_use,limitation
age,PNADC annual by first visit,V2009,age,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,completed years; no conventional RD,treatment/control age,annual age only
birth_day,PNADC annual by first visit,V2008,birth_day,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,invalid codes to missing,exact-day feasibility audit,does not create exact marriage age
birth_month,PNADC annual by first visit,V20081,birth_month,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,invalid codes to missing,birth-month audit,does not create exact marriage age
birth_year,PNADC annual by first visit,V20082,birth_year,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,invalid codes to missing,birth-year audit,does not create exact marriage age
calibrated_weight,PNADC annual by first visit,V1032,annual_calibrated_weight,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,annual calibrated first-visit weight; never divided by 4,population expansion,calibrated to annual projection
earnings,PNADC annual by first visit,VD4019,usual_monthly_earnings_raw,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,raw official derived code,exploratory,nominal/raw; not primary
education_level,PNADC annual by first visit,VD3004/VD3005,education_level_code/years_education_code,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,official derived codes,exploratory,layout varies by year
hours,PNADC annual by first visit,VD4031,usual_weekly_hours_raw,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,raw official derived code,exploratory,layout varies by year
household_id,PNADC annual by first visit,UPA+V1008+V1014,household_cluster (non-reversible serial),available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,used transiently then raw selection keys dropped,union construction only,raw key not exported
household_role,PNADC annual by first visit,V2005,household_role_code,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,V2005 official categories,union definitions,conservative definition misses non-head couples
person_id,PNADC annual by first visit,household key+V2003,person_order (not a longitudinal person key),available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,retained only as within-household order,not longitudinal,must not link persons over time
public_domain,PNADC annual by first visit,Capital/RM_RIDE/V1023,capital_code/metro_code/area_type_code,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,public domains only,heterogeneity,no private municipality
quarter,PNADC annual by first visit,Trimestre,quarter,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,interview quarter within annual accumulated sample,seasonality/descriptive composition,not a quarterly cross-section weight
race_color,PNADC annual by first visit,V2010,race_color_code,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,official categories,heterogeneity,sample-size limits
region,PNADC annual by first visit,derived from UF,region,available,Official year-specific IBGE first-visit dictionary in Darcio/references/pnadc_documentation,UF-to-region deterministic map,geographic robustness,derived
