year,geography_level,geography_value,age,sex,sex_code,population,population_se,unweighted_n,population_cv,ci_lower,ci_upper,precision_pass,fixed_denominator_simplification
2012,Brazil,Brazil,14,combined,,3462492.87393373,50888.7924598296,8291,0.014697154423892,3362752.67349573,3562233.07437173,TRUE,TRUE
2012,Brazil,Brazil,15,combined,,3531531.01792397,51615.5954288795,8539,0.0146156426679843,3430366.30984278,3632695.72600516,TRUE,TRUE
2012,Brazil,Brazil,16,combined,,3492176.48735998,50192.4006527263,8478,0.0143728132969221,3393801.18978303,3590551.78493693,TRUE,TRUE
2012,Brazil,Brazil,17,combined,,3506498.37146866,51169.4375831595,8464,0.0145927452867254,3406208.1166965,3606788.62624082,TRUE,TRUE
2012,Brazil,Brazil,18,combined,,3379799.33842819,50031.0672000927,8066,0.0148029697003729,3281740.24860791,3477858.42824848,TRUE,TRUE
2012,Brazil,Brazil,19,combined,,3238750.9108855,50079.3202563724,7529,0.0154625414656172,3140597.24681276,3336904.57495824,TRUE,TRUE
2012,Brazil,Brazil,14,female,2,1683527.26254347,34125.736315791,4042,0.0202703793844324,1616642.04841861,1750412.47666833,TRUE,TRUE
2012,Brazil,Brazil,15,female,2,1806556.79263452,38169.3995435094,4266,0.0211282588508311,1731746.14421772,1881367.44105132,TRUE,TRUE
2012,Brazil,Brazil,16,female,2,1733908.15042473,35074.9563366257,4163,0.0202288433375401,1665162.49924563,1802653.80160383,TRUE,TRUE
2012,Brazil,Brazil,17,female,2,1736939.47669841,35034.9405817594,4118,0.0201705016506125,1668272.25495766,1805606.69843916,TRUE,TRUE
2012,Brazil,Brazil,18,female,2,1668386.19753992,35136.4844790103,3922,0.021060162527609,1599519.95341771,1737252.44166213,TRUE,TRUE
2012,Brazil,Brazil,19,female,2,1632554.1201588,34962.7118689254,3730,0.0214159588568645,1564028.46409386,1701079.77622374,TRUE,TRUE
2012,Brazil,Brazil,14,male,1,1778965.61139026,36798.8181694225,4249,0.0206855140615474,1706841.25310455,1851089.96967597,TRUE,TRUE
2012,Brazil,Brazil,15,male,1,1724974.22528945,35597.1884360974,4273,0.0206363596129236,1655205.01800381,1794743.43257509,TRUE,TRUE
2012,Brazil,Brazil,16,male,1,1758268.33693525,35824.9097569065,4315,0.0203751094212111,1688052.80406232,1828483.86980818,TRUE,TRUE
2012,Brazil,Brazil,17,male,1,1769558.89477025,36429.5376154771,4346,0.0205867901447874,1698158.31307047,1840959.47647003,TRUE,TRUE
2012,Brazil,Brazil,18,male,1,1711413.14088827,35726.1539329891,4144,0.0208752364227181,1641391.16587348,1781435.11590306,TRUE,TRUE
2012,Brazil,Brazil,19,male,1,1606196.7907267,35181.9852230124,3799,0.021903907059293,1537241.36678498,1675152.21466842,TRUE,TRUE
2013,Brazil,Brazil,14,combined,,3362686.96078391,51249.2289649853,8303,0.0152405589823437,3262240.31777709,3463133.60379073,TRUE,TRUE
2013,Brazil,Brazil,15,combined,,3482399.72545005,51289.5992218939,8548,0.0147282343399753,3381873.95819364,3582925.49270646,TRUE,TRUE
2013,Brazil,Brazil,16,combined,,3446205.97947453,49029.6675821056,8693,0.0142271436687547,3350109.59683963,3542302.36210943,TRUE,TRUE
2013,Brazil,Brazil,17,combined,,3480157.41003859,50373.0867911438,8623,0.0144743702241288,3381427.97413784,3578886.84593934,TRUE,TRUE
2013,Brazil,Brazil,18,combined,,3490631.95292237,51777.9400992849,8446,0.0148334000254413,3389149.0551341,3592114.85071064,TRUE,TRUE
