geography_level,geography_value,population,population_se,unweighted_n,year,quarter,population_cv,ci_lower,ci_upper
Brazil,Brazil,198275511.000007,658824.116411855,564773,2013,1,0.00332277099218688,196984239.459694,199566782.540321
UF,11,1621317.00000121,38039.1663665338,9689,2013,1,0.0234618932426573,1546761.60392088,1695872.39608154
UF,12,784143.99999953,14527.7747800369,11183,2013,1,0.0185269220704942,755670.084655149,812617.915343912
UF,13,3572985.00000084,68911.9746674139,17259,2013,1,0.0192869476550833,3437920.01154917,3708049.98845251
UF,14,443346.00000062,9671.92828635879,6040,2013,1,0.0218157562859375,424389.368898303,462302.631102938
UF,15,7894009.00000013,171829.823530008,20765,2013,1,0.021767117763611,7557228.73441144,8230789.26558882
UF,16,713914.0000005,25400.32502815,4902,2013,1,0.0355789703355477,664130.277749715,763697.722251285
UF,17,1423812.99999994,32991.4388351978,8379,2013,1,0.0231711880950653,1359150.9680848,1488475.03191508
UF,21,6706663.9999988,77774.7207475612,37368,2013,1,0.011596632953071,6554228.34842592,6859099.65157168
UF,22,3222175.00000166,74672.5248238786,13619,2013,1,0.0231745714692219,3075819.54071219,3368530.45929113
UF,23,8682275.99999903,102844.310989563,30244,2013,1,0.0118453169410388,8480704.85444465,8883847.14555341
UF,24,3268893.00000028,66921.1746290727,12277,2013,1,0.0204721214885489,3137729.90792418,3400056.09207638
UF,25,3855091.99999982,63756.3986821569,15016,2013,1,0.0165382301335895,3730131.75479882,3980052.24520082
UF,26,9029184.99999945,135945.442518847,22418,2013,1,0.0150562251763427,8762736.82880015,9295633.17119875
UF,27,3152762.99999753,35884.1124680064,22623,2013,1,0.0113817982728275,3082431.43194305,3223094.56805201
UF,28,2139660.00000085,34719.7463579032,11554,2013,1,0.0162267586242157,2071610.54758699,2207709.45241471
UF,29,14323539,227203.053370383,27512,2013,1,0.0158622148737392,13878229.1982165,14768848.8017835
UF,31,20182172.000001,195996.678228224,42303,2013,1,0.00971137686410635,19798025.5695841,20566318.4304178
UF,32,3740032.00000125,41450.6852571828,21583,2013,1,0.0110829760967737,3658790.14976267,3821273.85023983
UF,33,16798197.0000014,155553.153267491,39383,2013,1,0.0092601100741632,16493318.4219155,17103075.5780874
UF,35,43443275.9999998,420306.527187241,43576,2013,1,0.00967483500063952,42619490.3442457,44267061.6557539
UF,41,10878219.0000019,129533.368769696,30714,2013,1,0.0119075897230671,10624338.2624171,11132099.7375866
UF,42,6614534.00000149,58505.5817836458,32500,2013,1,0.00884500431680185,6499865.16681098,6729202.833192
UF,43,10966839.0000007,123803.414384041,29528,2013,1,0.0112888877445938,10724188.7666449,11209489.2333565
UF,50,2512008.99999956,42776.9302084263,11772,2013,1,0.0170289717148441,2428167.75742186,2595850.24257726
UF,51,3162396.00000015,53936.7720753048,14014,2013,1,0.0170556666765649,3056681.86929021,3268110.13071009
UF,52,6416955.9999997,97526.4936865226,18897,2013,1,0.0151982487781632,6225807.58483564,6608104.41516376
UF,53,2727106.00000034,46714.3384576809,9655,2013,1,0.0171296379596815,2635547.57906167,2818664.42093901
region,Central-West,14818466.9999997,128190.044575568,54338,2013,1,0.00865069541778984,14567219.1294551,15069714.8705444
region,North,16453528.0000028,194318.142924342,78217,2013,1,0.0118101201714495,16072671.4383284,16834384.5616772
region,Northeast,54380246.9999974,321466.46568149,192631,2013,1,0.00591145651989233,53750184.3050243,55010309.6949705
region,South,28459592.000004,188491.596995239,92742,2013,1,0.00662313068280149,28090155.2585049,28829028.7415031
region,Southeast,84163677.0000034,490904.489154914,146845,2013,1,0.00583273576741299,83201521.8814107,85125832.1185961
Brazil,Brazil,198658323.000002,656080.557366003,572716,2013,2,0.0033025576147947,197372428.736608,199944217.263397
UF,11,1624980.00000053,38293.5127405299,10377,2013,2,0.0235655286468249,1549926.09418757,1700033.90581349
UF,12,786796.00000129,13708.9494507755,11546,2013,2,0.0174237660724673,759926.95281189,813665.04719069
UF,13,3587125.00000002,69273.7570850616,17312,2013,2,0.0193117767251103,3451350.93103952,3722899.06896052
UF,14,446027.0000007,10599.7096089822,6179,2013,2,0.0237647263707479,425251.950920512,466802.049080888
UF,15,7914132.00000039,163105.351545706,21423,2013,2,0.0206093797204416,7594451.38528506,8233812.61471572
UF,16,716675.00000039,25007.1233679864,4808,2013,2,0.0348932547779298,667661.938842187,765688.061158593
UF,17,1427412.99999957,31196.8182235846,8507,2013,2,0.0218554953777176,1366268.3598491,1488557.64015004
UF,21,6716518.00000165,75407.6790627099,37859,2013,2,0.0112271982391309,6568721.66488098,6864314.33512232
UF,22,3226246.99999963,73235.5854398597,13671,2013,2,0.0226999313567337,3082707.8901508,3369786.10984846
