year,uf_code,uf,region,variable_code,composition,first_below_15,first_below_16,second_below_15,second_below_16,both_below_15,both_below_16,total_marriages,marriages_at_least_one_below_15,affected_marriages_below_16,share_at_least_one_below_15,affected_share_below_16
2013,11,RO,North,all,all,0,2,12,30,0,0,13082,12,32,0.000917290934107934,0.00244610915762116
2013,11,RO,North,4374,female_same_sex,0,0,0,0,0,0,5,0,0,0,0
2013,11,RO,North,4373,male_same_sex,0,0,0,0,0,0,5,0,0,0,0
2013,11,RO,North,221,opposite_sex,0,2,12,30,0,0,13072,12,32,0.000917992656058752,0.00244798041615667
2013,12,AC,North,all,all,0,0,1,1,0,0,2745,1,1,0.000364298724954463,0.000364298724954463
2013,12,AC,North,4374,female_same_sex,0,0,0,0,0,0,0,0,0,,
2013,12,AC,North,4373,male_same_sex,0,0,0,0,0,0,0,0,0,,
2013,12,AC,North,221,opposite_sex,0,0,1,1,0,0,2745,1,1,0.000364298724954463,0.000364298724954463
2013,13,AM,North,all,all,0,0,8,35,0,0,17330,8,35,0.000461627236006924,0.00201961915753029
2013,13,AM,North,4374,female_same_sex,0,0,0,0,0,0,3,0,0,0,0
2013,13,AM,North,4373,male_same_sex,0,0,0,0,0,0,4,0,0,0,0
2013,13,AM,North,221,opposite_sex,0,0,8,35,0,0,17323,8,35,0.000461813773595797,0.00202043525948161
2013,14,RR,North,all,all,0,0,1,1,0,0,2569,1,1,0.000389256520046711,0.000389256520046711
2013,14,RR,North,4374,female_same_sex,0,0,0,0,0,0,0,0,0,,
2013,14,RR,North,4373,male_same_sex,0,0,0,0,0,0,2,0,0,0,0
2013,14,RR,North,221,opposite_sex,0,0,1,1,0,0,2567,1,1,0.000389559797428905,0.000389559797428905
2013,15,PA,North,all,all,1,5,6,25,0,0,30969,7,30,0.000226032484097,0.000968710646130001
2013,15,PA,North,4374,female_same_sex,0,0,0,0,0,0,12,0,0,0,0
2013,15,PA,North,4373,male_same_sex,0,0,0,0,0,0,13,0,0,0,0
2013,15,PA,North,221,opposite_sex,1,5,6,25,0,0,30944,7,30,0.000226215098241986,0.000969493278179938
2013,16,AP,North,all,all,0,0,0,1,0,0,1954,0,1,0,0.000511770726714432
2013,16,AP,North,4374,female_same_sex,0,0,0,0,0,0,4,0,0,0,0
2013,16,AP,North,4373,male_same_sex,0,0,0,0,0,0,2,0,0,0,0
2013,16,AP,North,221,opposite_sex,0,0,0,1,0,0,1948,0,1,0,0.000513347022587269
2013,17,TO,North,all,all,2,2,2,12,0,1,7358,4,13,0.000543625985322098,0.00176678445229682
2013,17,TO,North,4374,female_same_sex,0,0,0,0,0,0,1,0,0,0,0
2013,17,TO,North,4373,male_same_sex,0,0,0,0,0,0,4,0,0,0,0
2013,17,TO,North,221,opposite_sex,2,2,2,12,0,1,7353,4,13,0.000543995648034816,0.00176798585611315
2013,21,MA,Northeast,all,all,8,13,13,57,1,1,26458,20,69,0.000755915035150049,0.00260790687126767
2013,21,MA,Northeast,4374,female_same_sex,0,0,0,0,0,0,10,0,0,0,0
2013,21,MA,Northeast,4373,male_same_sex,0,0,0,0,0,0,6,0,0,0,0
