year,geography_level,geography_value,total_marriages,affected_marriages_below_16,marriages_at_least_one_below_15,affected_share_below_16,share_at_least_one_below_15,total_population,total_population_se,total_marriage_rate_100k
2013,Brazil,Brazil,1052477,1093,364,0.00103850250409273,0.000345850788188245,198616270.00001,710169.754749812,529.904725327863
2013,region,Central-West,89004,158,61,0.00177520111455665,0.000685362455619972,14871612.0000012,140419.739696243,598.482531685152
2013,region,North,76007,113,33,0.00148670517189206,0.000434170536924231,16518078.9999983,153422.16332194,460.144306126686
2013,region,Northeast,246428,375,109,0.00152174265911341,0.000442319866248965,54448963.000007,337737.009737046,452.585295334217
2013,region,South,133600,209,82,0.00156437125748503,0.00061377245508982,28508303.0000025,211751.003813382,468.635400711113
2013,region,Southeast,507438,238,79,0.000469022816580548,0.000155684044159089,84269313.0000006,549709.23378143,602.162260418566
2014,Brazil,Brazil,1106440,1131,369,0.00102219731752287,0.000333502042587036,200188924.00004,986928.102976567,552.697910499673
2014,region,Central-West,93375,136,46,0.00145649263721553,0.000492637215528782,15079694.0000012,184616.565673263,619.210177607003
2014,region,North,79924,109,31,0.00136379560582553,0.000387868475051299,16728258.0000064,195430.16443154,477.778379553743
2014,region,Northeast,259245,345,88,0.00133078747902563,0.000339447241026828,54748301.0000286,472109.808116634,473.521543618065
2014,region,South,137945,316,138,0.00229076805973395,0.00100039870963065,28759240.9999998,242029.621415209,479.654522176023
2014,region,Southeast,535951,225,66,0.000419814497967165,0.000123145586070368,84873430.0000038,787581.644270537,631.470885529165
2015,Brazil,Brazil,1137348,991,298,0.000871325223238622,0.000262013033829576,201769596.000029,1193301.56011184,563.686513006566
2015,region,Central-West,96571,171,63,0.00177071791738721,0.000652369759037392,15291183.000001,215587.369339217,631.546950945481
2015,region,North,82751,83,18,0.00100300902708124,0.000217520029969426,16932797.0000226,221748.962044947,488.702486658817
2015,region,Northeast,258148,259,68,0.00100330043231015,0.00026341478531695,55053751.000003,459456.61257529,468.901746585779
2015,region,South,139849,314,127,0.00224527883645932,0.000908122331943739,29018767.0000002,290340.877329282,481.926058402133
2015,region,Southeast,560029,164,22,0.000292841977826148,3.92836799522882e-05,85473098.000002,1016326.66672249,655.210836045731
2016,Brazil,Brazil,1095535,733,246,0.000669079490842374,0.000224547823666063,203226466.000055,1265705.53500079,539.071028278228
2016,region,Central-West,94068,135,54,0.00143513203214696,0.000574052812858783,15493573.0000126,222170.653861481,607.14207110215
2016,region,North,81693,73,15,0.000893589414025682,0.000183614263155962,17118449.0000075,261058.80044061,477.221972621259
2016,region,Northeast,246399,143,40,0.000580359498212249,0.000162338321178252,55329833.0000145,542913.848840483,445.327568583002
2016,region,South,134157,269,118,0.002005113411898,0.000879566478081651,29273072.0000093,312628.689633953,458.29491349578
2016,region,Southeast,539218,113,19,0.000209562737148982,3.52362124409793e-05,86011539.0000113,1044991.32042418,626.913558656274
2017,Brazil,Brazil,1070376,540,213,0.000504495616493643,0.000198995493172493,204554859.000087,1084684.94562928,523.27087473368
2017,region,Central-West,91274,85,51,0.000931261914674497,0.000558757148804698,15688553.0000407,231134.169335721,581.787243219711
2017,region,North,81165,72,23,0.000887081870264277,0.000283373375223311,17288646.0000031,281582.802731102,469.469963119064
2017,region,Northeast,241281,112,26,0.000464189057571877,0.000107758174079186,55572568.0000118,542439.308502223,434.172845854359
2017,region,South,134076,191,86,0.001424565171992,0.000641427250216295,29517753.0000037,325407.039751046,454.221566255342
2017,region,Southeast,522580,80,27,0.0001530866087489,5.16667304527536e-05,86487339.0000276,802308.797981462,604.22716901931
2018,Brazil,Brazil,1053467,512,206,0.000486014274770828,0.000195544805864825,205859886.000029,1140810.18366181,511.739815108929
2018,region,Central-West,94313,90,42,0.000954269294794991,0.000445325670904329,15883717.0000064,215839.011907613,593.771596408838
2018,region,North,80527,67,35,0.000832019074347734,0.000434636829883145,17457831.0000019,263747.936709783,461.265778091169
2018,region,Northeast,243102,81,23,0.000333193474344102,9.46104927149921e-05,55827469.0000155,495466.379186339,435.452303954407
2018,region,South,129693,213,89,0.00164233998750896,0.000686235957222055,29763482.9999988,367635.74611124,435.745372945785
2018,region,Southeast,505832,61,17,0.000120593398598744,3.36079963307976e-05,86927386.0000063,897025.889951781,581.901772589784
2019,Brazil,Brazil,1024676,419,174,0.000408909743177356,0.000169809774016372,207217255.000271,1242355.23790648,494.493569079785
2019,region,Central-West,93138,79,31,0.000848203740685864,0.000332839442547618,16085681.000159,230459.923099168,579.011855320763
2019,region,North,80273,59,26,0.000734991840344823,0.000323894709304498,17636479.000006,278716.049384331,455.153208301797
2019,region,Northeast,237760,49,15,0.000206090174966353,6.30888290713324e-05,56108743.000006,475544.35883046,423.748576937421
2019,region,South,127933,202,93,0.00157895148241658,0.000726943009231395,30021979.0000032,330462.964073742,426.131135459079
