year,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2013,11,RO,North,combined,15,15,20,20,0
2013,11,RO,North,combined,16,16,519,519,0
2013,11,RO,North,combined,17,17,581,581,0
2013,11,RO,North,combined,18,18,985,985,0
2013,11,RO,North,combined,19,19,1097,1096,1
2013,11,RO,North,combined,<15,,12,12,0
2013,11,RO,North,combined,unknown,,2,2,0
2013,11,RO,North,female,15,15,18,18,0
2013,11,RO,North,female,16,16,512,512,0
2013,11,RO,North,female,17,17,544,544,0
2013,11,RO,North,female,18,18,793,793,0
2013,11,RO,North,female,19,19,726,726,0
2013,11,RO,North,female,<15,,12,12,0
2013,11,RO,North,female,unknown,,1,1,0
2013,11,RO,North,male,15,15,2,2,0
2013,11,RO,North,male,16,16,7,7,0
2013,11,RO,North,male,17,17,37,37,0
2013,11,RO,North,male,18,18,192,192,0
2013,11,RO,North,male,19,19,371,370,1
2013,11,RO,North,male,<15,,0,0,0
2013,11,RO,North,male,unknown,,1,1,0
2013,12,AC,North,combined,15,15,0,0,0
2013,12,AC,North,combined,16,16,78,78,0
2013,12,AC,North,combined,17,17,101,101,0
2013,12,AC,North,combined,18,18,177,177,0
2013,12,AC,North,combined,19,19,228,228,0
2013,12,AC,North,combined,<15,,1,1,0
2013,12,AC,North,combined,unknown,,0,0,0
2013,12,AC,North,female,15,15,0,0,0
2013,12,AC,North,female,16,16,75,75,0
2013,12,AC,North,female,17,17,93,93,0
2013,12,AC,North,female,18,18,135,135,0
2013,12,AC,North,female,19,19,155,155,0
2013,12,AC,North,female,<15,,1,1,0
2013,12,AC,North,female,unknown,,0,0,0
2013,12,AC,North,male,15,15,0,0,0
2013,12,AC,North,male,16,16,3,3,0
2013,12,AC,North,male,17,17,8,8,0
2013,12,AC,North,male,18,18,42,42,0
2013,12,AC,North,male,19,19,73,73,0
2013,12,AC,North,male,<15,,0,0,0
2013,12,AC,North,male,unknown,,0,0,0
2013,13,AM,North,combined,15,15,27,27,0
2013,13,AM,North,combined,16,16,236,236,0
2013,13,AM,North,combined,17,17,346,346,0
2013,13,AM,North,combined,18,18,757,757,0
2013,13,AM,North,combined,19,19,1013,1013,0
2013,13,AM,North,combined,<15,,8,8,0
2013,13,AM,North,combined,unknown,,0,0,0
2013,13,AM,North,female,15,15,27,27,0
2013,13,AM,North,female,16,16,220,220,0
2013,13,AM,North,female,17,17,307,307,0
2013,13,AM,North,female,18,18,591,591,0
2013,13,AM,North,female,19,19,702,702,0
2013,13,AM,North,female,<15,,8,8,0
2013,13,AM,North,female,unknown,,0,0,0
2013,13,AM,North,male,15,15,0,0,0
2013,13,AM,North,male,16,16,16,16,0
2013,13,AM,North,male,17,17,39,39,0
2013,13,AM,North,male,18,18,166,166,0
2013,13,AM,North,male,19,19,311,311,0
2013,13,AM,North,male,<15,,0,0,0
2013,13,AM,North,male,unknown,,0,0,0
2013,14,RR,North,combined,15,15,0,0,0
2013,14,RR,North,combined,16,16,50,50,0
2013,14,RR,North,combined,17,17,64,64,0
2013,14,RR,North,combined,18,18,128,128,0
2013,14,RR,North,combined,19,19,164,164,0
2013,14,RR,North,combined,<15,,1,1,0
2013,14,RR,North,combined,unknown,,1,1,0
2013,14,RR,North,female,15,15,0,0,0
2013,14,RR,North,female,16,16,49,49,0
2013,14,RR,North,female,17,17,60,60,0
2013,14,RR,North,female,18,18,103,103,0
2013,14,RR,North,female,19,19,119,119,0
2013,14,RR,North,female,<15,,1,1,0
2013,14,RR,North,female,unknown,,1,1,0
2013,14,RR,North,male,15,15,0,0,0
2013,14,RR,North,male,16,16,1,1,0
2013,14,RR,North,male,17,17,4,4,0
2013,14,RR,North,male,18,18,25,25,0
2013,14,RR,North,male,19,19,45,45,0
2013,14,RR,North,male,<15,,0,0,0
2013,14,RR,North,male,unknown,,0,0,0
2013,15,PA,North,combined,15,15,23,23,0
2013,15,PA,North,combined,16,16,600,599,1
2013,15,PA,North,combined,17,17,836,836,0
2013,15,PA,North,combined,18,18,1449,1448,1
2013,15,PA,North,combined,19,19,1846,1846,0
2013,15,PA,North,combined,<15,,7,7,0
2013,15,PA,North,combined,unknown,,55,55,0
2013,15,PA,North,female,15,15,19,19,0
2013,15,PA,North,female,16,16,575,575,0
2013,15,PA,North,female,17,17,773,773,0
2013,15,PA,North,female,18,18,1188,1188,0
2013,15,PA,North,female,19,19,1330,1330,0
2013,15,PA,North,female,<15,,6,6,0
2013,15,PA,North,female,unknown,,28,28,0
2013,15,PA,North,male,15,15,4,4,0
2013,15,PA,North,male,16,16,25,24,1
2013,15,PA,North,male,17,17,63,63,0
2013,15,PA,North,male,18,18,261,260,1
2013,15,PA,North,male,19,19,516,516,0
2013,15,PA,North,male,<15,,1,1,0
2013,15,PA,North,male,unknown,,27,27,0
2013,16,AP,North,combined,15,15,1,1,0
2013,16,AP,North,combined,16,16,24,24,0
2013,16,AP,North,combined,17,17,38,38,0
2013,16,AP,North,combined,18,18,69,69,0
2013,16,AP,North,combined,19,19,104,104,0
2013,16,AP,North,combined,<15,,0,0,0
2013,16,AP,North,combined,unknown,,0,0,0
2013,16,AP,North,female,15,15,1,1,0
2013,16,AP,North,female,16,16,23,23,0
2013,16,AP,North,female,17,17,35,35,0
2013,16,AP,North,female,18,18,55,55,0
2013,16,AP,North,female,19,19,78,78,0
2013,16,AP,North,female,<15,,0,0,0
2013,16,AP,North,female,unknown,,0,0,0
2013,16,AP,North,male,15,15,0,0,0
2013,16,AP,North,male,16,16,1,1,0
2013,16,AP,North,male,17,17,3,3,0
2013,16,AP,North,male,18,18,14,14,0
2013,16,AP,North,male,19,19,26,26,0
2013,16,AP,North,male,<15,,0,0,0
2013,16,AP,North,male,unknown,,0,0,0
2013,17,TO,North,combined,15,15,10,10,0
2013,17,TO,North,combined,16,16,234,234,0
2013,17,TO,North,combined,17,17,273,273,0
2013,17,TO,North,combined,18,18,477,477,0
2013,17,TO,North,combined,19,19,506,506,0
2013,17,TO,North,combined,<15,,4,4,0
2013,17,TO,North,combined,unknown,,0,0,0
2013,17,TO,North,female,15,15,10,10,0
2013,17,TO,North,female,16,16,227,227,0
2013,17,TO,North,female,17,17,260,260,0
2013,17,TO,North,female,18,18,392,392,0
2013,17,TO,North,female,19,19,359,359,0
2013,17,TO,North,female,<15,,2,2,0
2013,17,TO,North,female,unknown,,0,0,0
2013,17,TO,North,male,15,15,0,0,0
2013,17,TO,North,male,16,16,7,7,0
2013,17,TO,North,male,17,17,13,13,0
2013,17,TO,North,male,18,18,85,85,0
2013,17,TO,North,male,19,19,147,147,0
2013,17,TO,North,male,<15,,2,2,0
2013,17,TO,North,male,unknown,,0,0,0
2013,21,MA,Northeast,combined,15,15,49,49,0
2013,21,MA,Northeast,combined,16,16,712,712,0
2013,21,MA,Northeast,combined,17,17,897,897,0
2013,21,MA,Northeast,combined,18,18,1516,1516,0
2013,21,MA,Northeast,combined,19,19,1787,1786,1
2013,21,MA,Northeast,combined,<15,,21,21,0
2013,21,MA,Northeast,combined,unknown,,95,95,0
2013,21,MA,Northeast,female,15,15,44,44,0
2013,21,MA,Northeast,female,16,16,673,673,0
2013,21,MA,Northeast,female,17,17,803,803,0
2013,21,MA,Northeast,female,18,18,1193,1193,0
2013,21,MA,Northeast,female,19,19,1235,1235,0
2013,21,MA,Northeast,female,<15,,13,13,0
2013,21,MA,Northeast,female,unknown,,48,48,0
2013,21,MA,Northeast,male,15,15,5,5,0
2013,21,MA,Northeast,male,16,16,39,39,0
2013,21,MA,Northeast,male,17,17,94,94,0
2013,21,MA,Northeast,male,18,18,323,323,0
2013,21,MA,Northeast,male,19,19,552,551,1
2013,21,MA,Northeast,male,<15,,8,8,0
2013,21,MA,Northeast,male,unknown,,47,47,0
2013,22,PI,Northeast,combined,15,15,29,29,0
2013,22,PI,Northeast,combined,16,16,434,434,0
2013,22,PI,Northeast,combined,17,17,489,489,0
2013,22,PI,Northeast,combined,18,18,744,743,1
2013,22,PI,Northeast,combined,19,19,832,831,1
2013,22,PI,Northeast,combined,<15,,12,12,0
2013,22,PI,Northeast,combined,unknown,,2,2,0
2013,22,PI,Northeast,female,15,15,29,29,0
2013,22,PI,Northeast,female,16,16,418,418,0
2013,22,PI,Northeast,female,17,17,452,452,0
2013,22,PI,Northeast,female,18,18,575,574,1
2013,22,PI,Northeast,female,19,19,558,557,1
2013,22,PI,Northeast,female,<15,,9,9,0
2013,22,PI,Northeast,female,unknown,,2,2,0
2013,22,PI,Northeast,male,15,15,0,0,0
2013,22,PI,Northeast,male,16,16,16,16,0
2013,22,PI,Northeast,male,17,17,37,37,0
2013,22,PI,Northeast,male,18,18,169,169,0
2013,22,PI,Northeast,male,19,19,274,274,0
2013,22,PI,Northeast,male,<15,,3,3,0
2013,22,PI,Northeast,male,unknown,,0,0,0
2013,23,CE,Northeast,combined,15,15,33,33,0
2013,23,CE,Northeast,combined,16,16,1277,1275,2
2013,23,CE,Northeast,combined,17,17,1626,1626,0
