year,month,month_label,uf_code,uf,region,sex,age_group,age,persons_married,opposite_sex_people,same_sex_people
2013,1,Janeiro,11,RO,North,combined,15,15,0,0,0
2013,1,Janeiro,11,RO,North,combined,16,16,41,41,0
2013,1,Janeiro,11,RO,North,combined,17,17,35,35,0
2013,1,Janeiro,11,RO,North,combined,18,18,63,63,0
2013,1,Janeiro,11,RO,North,combined,19,19,72,72,0
2013,1,Janeiro,11,RO,North,female,15,15,0,0,0
2013,1,Janeiro,11,RO,North,female,16,16,40,40,0
2013,1,Janeiro,11,RO,North,female,17,17,33,33,0
2013,1,Janeiro,11,RO,North,female,18,18,46,46,0
2013,1,Janeiro,11,RO,North,female,19,19,55,55,0
2013,1,Janeiro,11,RO,North,male,15,15,0,0,0
2013,1,Janeiro,11,RO,North,male,16,16,1,1,0
2013,1,Janeiro,11,RO,North,male,17,17,2,2,0
2013,1,Janeiro,11,RO,North,male,18,18,17,17,0
2013,1,Janeiro,11,RO,North,male,19,19,17,17,0
2013,1,Janeiro,12,AC,North,combined,15,15,0,0,0
2013,1,Janeiro,12,AC,North,combined,16,16,9,9,0
2013,1,Janeiro,12,AC,North,combined,17,17,7,7,0
2013,1,Janeiro,12,AC,North,combined,18,18,19,19,0
2013,1,Janeiro,12,AC,North,combined,19,19,21,21,0
2013,1,Janeiro,12,AC,North,female,15,15,0,0,0
2013,1,Janeiro,12,AC,North,female,16,16,8,8,0
2013,1,Janeiro,12,AC,North,female,17,17,7,7,0
2013,1,Janeiro,12,AC,North,female,18,18,16,16,0
2013,1,Janeiro,12,AC,North,female,19,19,16,16,0
2013,1,Janeiro,12,AC,North,male,15,15,0,0,0
2013,1,Janeiro,12,AC,North,male,16,16,1,1,0
2013,1,Janeiro,12,AC,North,male,17,17,0,0,0
2013,1,Janeiro,12,AC,North,male,18,18,3,3,0
2013,1,Janeiro,12,AC,North,male,19,19,5,5,0
2013,1,Janeiro,13,AM,North,combined,15,15,0,0,0
2013,1,Janeiro,13,AM,North,combined,16,16,28,28,0
2013,1,Janeiro,13,AM,North,combined,17,17,24,24,0
2013,1,Janeiro,13,AM,North,combined,18,18,51,51,0
2013,1,Janeiro,13,AM,North,combined,19,19,86,86,0
2013,1,Janeiro,13,AM,North,female,15,15,0,0,0
2013,1,Janeiro,13,AM,North,female,16,16,27,27,0
2013,1,Janeiro,13,AM,North,female,17,17,23,23,0
2013,1,Janeiro,13,AM,North,female,18,18,41,41,0
2013,1,Janeiro,13,AM,North,female,19,19,53,53,0
2013,1,Janeiro,13,AM,North,male,15,15,0,0,0
2013,1,Janeiro,13,AM,North,male,16,16,1,1,0
2013,1,Janeiro,13,AM,North,male,17,17,1,1,0
2013,1,Janeiro,13,AM,North,male,18,18,10,10,0
2013,1,Janeiro,13,AM,North,male,19,19,33,33,0
2013,1,Janeiro,14,RR,North,combined,15,15,0,0,0
2013,1,Janeiro,14,RR,North,combined,16,16,1,1,0
2013,1,Janeiro,14,RR,North,combined,17,17,2,2,0
2013,1,Janeiro,14,RR,North,combined,18,18,6,6,0
2013,1,Janeiro,14,RR,North,combined,19,19,14,14,0
2013,1,Janeiro,14,RR,North,female,15,15,0,0,0
2013,1,Janeiro,14,RR,North,female,16,16,1,1,0
2013,1,Janeiro,14,RR,North,female,17,17,2,2,0
2013,1,Janeiro,14,RR,North,female,18,18,5,5,0
2013,1,Janeiro,14,RR,North,female,19,19,11,11,0
