year,quarter,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,geography_level,geography,formal_marriage_rate_100k,offset_log_population,fixed_denominator_simplification,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time
2013,1,1,15,combined,17,17,0,351144.84996324,9753.93195908083,0.0277775167715031,1783,TRUE,region,North,4.84130694264195,12.7689540952778,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,1,16,combined,377,377,0,332037.36928787,10055.6900196108,0.0302848141496168,1673,TRUE,region,North,113.541436859521,12.7130027996604,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,17,combined,461,461,0,336859.59513096,10366.8861941809,0.0307750954523074,1668,TRUE,region,North,136.852269213462,12.7274214908605,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,18,combined,825,825,0,353692.59187332,11176.4273707625,0.031599269047641,1699,TRUE,region,North,233.253401104733,12.776183430313,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,19,combined,1034,1034,0,308451.06807917,9955.56934438982,0.0322760086596119,1475,TRUE,region,North,335.223348856942,12.6393184973621,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,15,female,17,17,0,172705.51232325,7162.53142166412,0.0414725119384616,857,TRUE,region,North,9.84334534046683,12.0593431821155,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,1,16,female,365,365,0,167760.39524333,7195.22545671285,0.0428898933283774,825,TRUE,region,North,217.572210336404,12.0302920215776,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,17,female,423,423,0,173317.42678969,7322.32441110194,0.0422480563364648,823,TRUE,region,North,244.060858642498,12.0628800291575,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,18,female,684,684,0,177904.88857862,7968.16339607245,0.0447888951210644,824,TRUE,region,North,384.475100973814,12.0890043526391,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,19,female,726,726,0,159465.04357442,6824.07317135004,0.0427935365543944,731,TRUE,region,North,455.272192404467,11.9795800146446,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,15,male,0,0,0,178439.33763999,6972.72021113155,0.0390761381618629,926,TRUE,region,North,0,12.0920039772873,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,1,16,male,12,12,0,164276.97404454,6971.54468224675,0.0424377471206438,848,TRUE,region,North,7.30473644878951,12.0093091484009,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,17,male,38,38,0,163542.16834127,6865.57024679833,0.041980428145429,845,TRUE,region,North,23.2355975131159,12.0048261464105,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,18,male,141,141,0,175787.7032947,7279.66728757567,0.0414116980376702,875,TRUE,region,North,80.2103886434081,12.0770323146577,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,1,19,male,308,308,0,148986.02450475,6907.06968345941,0.0463605207697799,744,TRUE,region,North,206.730799767182,11.9116077852584,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,15,combined,59,59,0,1042299.33300129,20866.3990623671,0.0200195840117085,3919,TRUE,region,Northeast,5.66056200286631,13.8569397277975,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,2,16,combined,1547,1547,0,1075870.47178783,22123.1029248448,0.0205629799357554,4058,TRUE,region,Northeast,143.790543617139,13.8886406330783,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,17,combined,2022,2022,0,1068533.49235518,22474.2449919083,0.0210327941545119,3963,TRUE,region,Northeast,189.231316984109,13.8817976984585,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,18,combined,3246,3244,2,1025675.84755718,20327.6208794984,0.0198187574835773,3795,TRUE,region,Northeast,316.474255266018,13.8408623167405,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,19,combined,3922,3920,2,959653.60059475,21155.8039341212,0.0220452504122423,3420,TRUE,region,Northeast,408.689135076378,13.7743276656144,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,15,female,56,56,0,541892.37674328,14686.4842302189,0.027102215975953,1977,TRUE,region,Northeast,10.3341553421649,13.2028226938105,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,2,16,female,1483,1483,0,532221.93589533,15195.4684720359,0.0285509999629634,1952,TRUE,region,Northeast,278.64315616853,13.184815854067,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,17,female,1814,1814,0,501475.89768201,14638.7371367117,0.0291913075072538,1867,TRUE,region,Northeast,361.732240449624,13.1253108247746,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,18,female,2605,2605,0,507633.20955165,14293.5827053153,0.0281573042038358,1853,TRUE,region,Northeast,513.165795890458,13.1375144373309,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,2,19,female,2742,2741,1,473524.94898227,14446.07236886,0.0305075210924122,1692,TRUE,region,Northeast,579.061357990383,13.0679598807846,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
