year,quarter,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,geography_level,geography,formal_marriage_rate_100k,offset_log_population,fixed_denominator_simplification,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time
2013,1,11,15,combined,4,4,0,34044.44280337,2790.8806150342,0.0819775677091691,209,TRUE,UF,11,11.7493478248498,10.4354220913085,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,11,16,combined,96,96,0,29064.14063476,2397.42940573507,0.0824875380236703,181,TRUE,UF,11,330.303934344394,10.2772604126851,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,17,combined,114,114,0,33066.80372396,2572.63377121875,0.0778011020567625,198,TRUE,UF,11,344.756635541996,10.4062851494741,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,18,combined,188,188,0,32474.55662094,2683.94975344261,0.0826477720626358,187,TRUE,UF,11,578.914755309624,10.3882121885107,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,19,combined,204,204,0,31747.28853162,2623.37691415799,0.0826331014551095,193,TRUE,UF,11,642.574561278888,10.3655626000951,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,15,female,4,4,0,13909.39536018,1757.2186964123,0.126333219446971,88,TRUE,UF,11,28.7575404711786,9.54031981597704,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,11,16,female,95,95,0,16834.83851403,1826.38428150349,0.108488375459105,99,TRUE,UF,11,564.305977279365,9.73120573927296,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,17,female,101,101,0,15962.72802312,1930.37475872236,0.120930128980865,90,TRUE,UF,11,632.723929479436,9.67801178516406,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,18,female,151,151,0,16674.77959737,1752.32637102203,0.105088427753397,95,TRUE,UF,11,905.559195659871,9.72165265314745,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,19,female,142,142,0,16012.7317072,1865.48269325357,0.116499965612661,91,TRUE,UF,11,886.794349624623,9.6811394164953,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,15,male,0,0,0,20135.04744319,2131.45890828382,0.105858151777274,121,TRUE,UF,11,0,9.91021722953756,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24
2013,1,11,16,male,1,1,0,12229.30212073,1424.02542063824,0.116443719075708,82,TRUE,UF,11,8.17708148942441,9.41159016415282,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
2013,1,11,17,male,13,13,0,17104.07570084,1643.8346290182,0.0961077732447985,108,TRUE,UF,11,76.0052763293228,9.74707205916944,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24
