year,quarter,quarter_start,days_in_quarter,geography,age,side,sex,population_stock,population_stock_se,unweighted_n,population_cv,exact_age_day_stock,exact_age_day_stock_se,population_person_time,population_person_time_se,denominator_source,approximation
2013,1,2013-01-01,90,Brazil,15,below,combined,3530755.96725801,46361.3022478374,10701,0.0131307013789009,9666.88150272219,126.932934277466,870019.335244997,11423.9640849719,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,1,2013-01-01,90,Brazil,16,above,combined,3492517.35900212,45215.6034168571,10709,0.012946421955588,9562.1877492409,123.796117420227,860596.897431681,11141.6505678204,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,1,2013-01-01,90,Brazil,15,below,female,1777688.0845046,32669.3244508569,5281,0.0183774221898782,4867.14466280512,89.4455723275821,438043.019652461,8050.10150948239,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,1,2013-01-01,90,Brazil,16,above,female,1753354.58758424,31859.9174816775,5254,0.0181708353274815,4800.52181108234,87.2294913151605,432046.96299741,7850.65421836444,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,1,2013-01-01,90,Brazil,15,below,male,1753067.88275341,32555.9105717653,5420,0.0185708214108812,4799.73683991707,89.1350556733275,431976.315592536,8022.15501059947,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,1,2013-01-01,90,Brazil,16,above,male,1739162.77141788,31181.1265979373,5455,0.0179288144332324,4761.66593815857,85.3710249982883,428549.934434271,7683.39224984594,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,2,2013-04-01,91,Brazil,15,below,combined,3508168.5363858,45372.7438659748,10768,0.0129334561311353,9605.0392174673,124.226353356947,874058.568789524,11304.5981554822,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,2,2013-04-01,91,Brazil,16,above,combined,3464338.78066694,43585.6288722882,10691,0.0125812259226845,9485.03742217004,119.333398693438,863138.405417474,10859.3392811029,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,2,2013-04-01,91,Brazil,15,below,female,1742396.14149257,31888.8000857097,5278,0.0183016934704602,4770.51860474225,87.3085691991203,434117.193031545,7945.07979711995,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,2,2013-04-01,91,Brazil,16,above,female,1759933.61273075,31290.9996776018,5273,0.0177796477385588,4818.53457013012,85.6718472729811,438486.645881841,7796.13810184128,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,2,2013-04-01,91,Brazil,15,below,male,1765772.39489323,31969.8952965326,5490,0.018105331915366,4834.52061272505,87.5306003450655,439941.37575798,7965.28463140096,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,2,2013-04-01,91,Brazil,16,above,male,1704405.16793619,30396.9366346294,5418,0.0178343372846235,4666.50285203992,83.2239858029375,424651.759535633,7573.38270806731,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,3,2013-07-01,92,Brazil,15,below,combined,3463830.60205203,44516.2342811652,10710,0.0128517353749323,9483.64607637948,121.881309763144,872495.439026912,11213.0804982093,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,3,2013-07-01,92,Brazil,16,above,combined,3441806.45578758,43637.5784946583,10645,0.0126786845963635,9423.3460119991,119.475631928536,866947.833103917,10991.7581374253,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,3,2013-07-01,92,Brazil,15,below,female,1715872.39722245,30717.4220580765,5250,0.0179019268028322,4697.89905945351,84.101445089431,432206.713469723,7737.33294822765,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,3,2013-07-01,92,Brazil,16,above,female,1731119.39075649,31635.8441268863,5250,0.0182747904597508,4739.64390988587,86.6159993069982,436047.2397095,7968.67193624384,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,3,2013-07-01,92,Brazil,15,below,male,1747958.20482958,31667.758216823,5460,0.0181169996681417,4785.74701692596,86.7033771174576,440288.725557188,7976.7106948061,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,3,2013-07-01,92,Brazil,16,above,male,1710687.06503109,30356.8021712132,5395,0.0177453859281162,4683.70210211323,83.1141013743286,430900.593394417,7646.49732643823,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,4,2013-10-01,92,Brazil,15,below,combined,3418969.70519012,45108.1964805627,10477,0.0131935057546976,9360.82111252146,123.502047216747,861195.542351975,11362.1883439407,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,4,2013-10-01,92,Brazil,16,above,combined,3482598.29075624,44242.759097705,10698,0.0127039513041562,9535.03026278771,121.132560142111,877222.784176469,11144.1955330742,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,4,2013-10-01,92,Brazil,15,below,female,1666235.2607574,31325.8183710949,5121,0.0188003573738174,4561.99719571901,85.7671776178701,419703.742006149,7890.58034084404,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,4,2013-10-01,92,Brazil,16,above,female,1732339.84351816,32225.7482387175,5215,0.0186024401385765,4742.98539605374,88.2311019082322,436354.656436945,8117.26137555736,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,4,2013-10-01,92,Brazil,15,below,male,1752734.44443272,32093.026163667,5356,0.018310261583325,4798.82391680245,87.8677212089694,441491.800345826,8083.83035122518,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2013,4,2013-10-01,92,Brazil,16,above,male,1750258.44723808,31323.787663947,5483,0.0178966641831532,4792.04486673396,85.7616177305407,440868.127739525,7890.06883120974,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,1,2014-01-01,90,Brazil,15,below,combined,3442571.83128685,48733.2295848232,10600,0.0141560530827345,9425.44153894153,133.427050753467,848289.738504737,12008.434567812,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
2014,1,2014-01-01,90,Brazil,16,above,combined,3416532.64317742,48431.6372538839,10579,0.0141756694028955,9354.14866336042,132.601318997334,841873.379702438,11934.1187097601,IBGE PNADC quarterly calibrated population,smooth allocation within completed age; retain survey uncertainty
