year,uf_code,uf,region,variable_code,composition,total_marriages
2013,11,RO,North,all,all,13082
2013,11,RO,North,4374,female_same_sex,5
2013,11,RO,North,4373,male_same_sex,5
2013,11,RO,North,221,opposite_sex,13072
2013,12,AC,North,all,all,2745
2013,12,AC,North,4374,female_same_sex,0
2013,12,AC,North,4373,male_same_sex,0
2013,12,AC,North,221,opposite_sex,2745
2013,13,AM,North,all,all,17330
2013,13,AM,North,4374,female_same_sex,3
2013,13,AM,North,4373,male_same_sex,4
2013,13,AM,North,221,opposite_sex,17323
2013,14,RR,North,all,all,2569
2013,14,RR,North,4374,female_same_sex,0
2013,14,RR,North,4373,male_same_sex,2
2013,14,RR,North,221,opposite_sex,2567
2013,15,PA,North,all,all,30969
2013,15,PA,North,4374,female_same_sex,12
2013,15,PA,North,4373,male_same_sex,13
2013,15,PA,North,221,opposite_sex,30944
2013,16,AP,North,all,all,1954
2013,16,AP,North,4374,female_same_sex,4
2013,16,AP,North,4373,male_same_sex,2
2013,16,AP,North,221,opposite_sex,1948
2013,17,TO,North,all,all,7358
2013,17,TO,North,4374,female_same_sex,1
2013,17,TO,North,4373,male_same_sex,4
2013,17,TO,North,221,opposite_sex,7353
2013,21,MA,Northeast,all,all,26458
2013,21,MA,Northeast,4374,female_same_sex,10
2013,21,MA,Northeast,4373,male_same_sex,6
2013,21,MA,Northeast,221,opposite_sex,26442
2013,22,PI,Northeast,all,all,13377
2013,22,PI,Northeast,4374,female_same_sex,17
2013,22,PI,Northeast,4373,male_same_sex,7
2013,22,PI,Northeast,221,opposite_sex,13353
2013,23,CE,Northeast,all,all,45754
2013,23,CE,Northeast,4374,female_same_sex,104
2013,23,CE,Northeast,4373,male_same_sex,80
2013,23,CE,Northeast,221,opposite_sex,45570
2013,24,RN,Northeast,all,all,14316
2013,24,RN,Northeast,4374,female_same_sex,20
2013,24,RN,Northeast,4373,male_same_sex,15
2013,24,RN,Northeast,221,opposite_sex,14281
2013,25,PB,Northeast,all,all,19538
2013,25,PB,Northeast,4374,female_same_sex,12
2013,25,PB,Northeast,4373,male_same_sex,17
2013,25,PB,Northeast,221,opposite_sex,19509
2013,26,PE,Northeast,all,all,47970
2013,26,PE,Northeast,4374,female_same_sex,40
2013,26,PE,Northeast,4373,male_same_sex,48
2013,26,PE,Northeast,221,opposite_sex,47882
2013,27,AL,Northeast,all,all,16049
2013,27,AL,Northeast,4374,female_same_sex,14
2013,27,AL,Northeast,4373,male_same_sex,3
2013,27,AL,Northeast,221,opposite_sex,16032
2013,28,SE,Northeast,all,all,8162
2013,28,SE,Northeast,4374,female_same_sex,1
2013,28,SE,Northeast,4373,male_same_sex,4
2013,28,SE,Northeast,221,opposite_sex,8157
2013,29,BA,Northeast,all,all,54804
2013,29,BA,Northeast,4374,female_same_sex,46
2013,29,BA,Northeast,4373,male_same_sex,53
2013,29,BA,Northeast,221,opposite_sex,54705
2013,31,MG,Southeast,all,all,114062
2013,31,MG,Southeast,4374,female_same_sex,109
2013,31,MG,Southeast,4373,male_same_sex,100
2013,31,MG,Southeast,221,opposite_sex,113853
2013,32,ES,Southeast,all,all,25023
2013,32,ES,Southeast,4374,female_same_sex,23
2013,32,ES,Southeast,4373,male_same_sex,20
2013,32,ES,Southeast,221,opposite_sex,24980
2013,33,RJ,Southeast,all,all,88036
2013,33,RJ,Southeast,4374,female_same_sex,99
2013,33,RJ,Southeast,4373,male_same_sex,112
2013,33,RJ,Southeast,221,opposite_sex,87825
2013,35,SP,Southeast,all,all,280317
2013,35,SP,Southeast,4374,female_same_sex,1048
2013,35,SP,Southeast,4373,male_same_sex,897
2013,35,SP,Southeast,221,opposite_sex,278372
2013,41,PR,South,all,all,60991
2013,41,PR,South,4374,female_same_sex,80
2013,41,PR,South,4373,male_same_sex,88
2013,41,PR,South,221,opposite_sex,60823
2013,42,SC,South,all,all,31358
2013,42,SC,South,4374,female_same_sex,81
