birth_year,birth_month,region,age,n_births,n_valid_status,n_single,n_married,n_widowed,n_separated,n_uniao_estavel,n_unknown,n_dtnascmae_invalid
2013,1,0,10,2,2,1,1,0,0,0,0,2
2013,1,0,11,4,4,3,0,0,0,1,0,0
2013,1,0,12,56,55,42,2,0,0,11,1,0
2013,1,0,13,476,464,348,8,0,0,108,12,7
2013,1,0,14,1685,1637,1182,17,1,0,437,48,36
2013,1,0,15,4198,4121,2809,73,0,2,1237,77,50
2013,1,0,16,7116,7012,4427,354,1,5,2225,104,92
2013,1,0,17,9562,9431,5660,783,7,13,2968,131,153
2013,1,0,18,11177,11017,6291,1261,10,7,3448,160,176
2013,1,0,19,12226,12070,6508,1884,7,15,3656,156,189
2013,1,1,11,1,1,0,0,0,0,1,0,0
2013,1,1,12,13,13,10,1,0,0,2,0,0
2013,1,1,13,80,77,47,1,0,0,29,3,2
2013,1,1,14,281,272,169,3,0,0,100,9,10
2013,1,1,15,679,664,350,17,0,0,297,15,9
2013,1,1,16,1082,1070,559,33,0,0,478,12,18
2013,1,1,17,1373,1354,673,84,0,0,597,19,25
2013,1,1,18,1531,1512,671,129,0,1,711,19,23
2013,1,1,19,1654,1637,704,174,1,1,757,17,27
2013,1,2,10,1,1,1,0,0,0,0,0,1
2013,1,2,12,27,26,18,1,0,0,7,1,0
2013,1,2,13,188,182,123,4,0,0,55,6,0
2013,1,2,14,625,605,413,5,1,0,186,20,10
2013,1,2,15,1431,1400,859,28,0,1,512,31,14
2013,1,2,16,2318,2270,1253,116,0,2,899,48,23
2013,1,2,17,3082,3016,1544,257,3,7,1205,66,43
2013,1,2,18,3337,3267,1648,361,6,3,1249,70,54
2013,1,2,19,3723,3649,1727,534,4,1,1383,74,50
2013,1,3,11,2,2,2,0,0,0,0,0,0
2013,1,3,12,8,8,7,0,0,0,1,0,0
2013,1,3,13,119,116,108,0,0,0,8,3,4
2013,1,3,14,484,474,389,6,0,0,79,10,5
2013,1,3,15,1308,1289,1063,15,0,1,210,19,16
2013,1,3,16,2259,2228,1730,120,1,1,376,31,28
2013,1,3,17,3176,3145,2313,271,2,4,555,31,55
2013,1,3,18,3898,3847,2637,478,1,3,728,51,61
2013,1,3,19,4371,4325,2796,735,2,8,784,46,90
2013,1,4,11,1,1,1,0,0,0,0,0,0
2013,1,4,12,5,5,4,0,0,0,1,0,0
2013,1,4,13,49,49,39,1,0,0,9,0,0
