year,geography_level,geography_value,sex,population,population_se,population_cv,ci_lower,ci_upper,unweighted_n
2012,Brazil,Brazil,combined,197071707.000001,723487.305275895,0.00367118809843105,195653697.938388,198489716.061614,446445
2012,Brazil,Brazil,female,100721310.000001,389544.35538298,0.00386754655378268,99957817.0930693,101484802.906932,227791
2012,Brazil,Brazil,male,96350397.0000001,396607.718778882,0.00411630601562421,95573060.1552029,97127733.8447973,218654
2013,Brazil,Brazil,combined,198616270.00001,710169.754749812,0.00357558700880737,197224362.85779,200008177.142229,461033
2013,Brazil,Brazil,female,101521935.000004,391799.822469141,0.00385926275409471,100754021.458816,102289848.541193,234393
2013,Brazil,Brazil,male,97094335.0000051,384889.037223261,0.00396407305558291,96339966.3490033,97848703.651007,226640
2014,Brazil,Brazil,combined,200188924.00004,986928.102976567,0.00492998355381725,198254580.462875,202123267.537204,465038
2014,Brazil,Brazil,female,102334955.00002,520186.763790404,0.0050831777254439,101315407.677756,103354502.322283,236642
2014,Brazil,Brazil,male,97853969.0000202,516216.679029071,0.00527537803836005,96842202.9009043,98865735.099136,228396
2015,Brazil,Brazil,combined,201769596.000029,1193301.56011184,0.0059141792607429,199430767.919514,204108424.080543,459273
2015,Brazil,Brazil,female,103152128.000016,614803.73992297,0.00596016535812888,101947134.812206,104357121.187825,234028
2015,Brazil,Brazil,male,98617468.000013,617505.194987904,0.00626162086201425,97407180.0575703,99827755.9424557,225245
2016,Brazil,Brazil,combined,203226466.000055,1265705.53500079,0.00622805464225533,200745728.736421,205707203.26369,459718
2016,Brazil,Brazil,female,103910978.000026,675485.303830302,0.00650061540013734,102587051.132433,105234904.867619,233856
2016,Brazil,Brazil,male,99315488.0000291,636908.102823174,0.00641297863655452,98067171.0570339,100563804.943024,225862
2017,Brazil,Brazil,combined,204554859.000087,1084684.94562928,0.00530266037644608,202428915.572081,206680802.428093,457992
2017,Brazil,Brazil,female,104607905.000045,572437.513944035,0.00547222042104553,103485948.089315,105729861.910775,233394
2017,Brazil,Brazil,male,99946954.0000424,558255.37045189,0.00558551659765093,98852793.5797806,101041114.420304,224598
2018,Brazil,Brazil,combined,205859886.000029,1140810.18366181,0.00554168277185217,203623939.126855,208095832.873203,452654
2018,Brazil,Brazil,female,105291231.000014,606623.263294855,0.00576138447174935,104102271.251772,106480190.748256,231292
2018,Brazil,Brazil,male,100568655.000015,581034.852035347,0.00577749450895274,99429847.6162628,101707462.383766,221362
2019,Brazil,Brazil,combined,207217255.000271,1242355.23790648,0.00599542368180127,204782283.47797,209652226.522573,443790
2019,Brazil,Brazil,female,105999565.000137,651310.489911588,0.00614446379955188,104723019.897157,107276110.103117,226936
