year,elapsed_seconds,source_rows,adolescent_rows,output_bytes,finished_at
2012,47.0028071403503,446445,49367,1067738,2026-09-02T02:20:39-0300
2013,47.5104978084564,461033,50385,1109442,2026-09-02T02:21:27-0300
2014,48.5060832500458,465038,50753,1098989,2026-09-02T02:22:16-0300
2015,49.3463447093964,459273,49050,1075818,2026-09-02T02:23:05-0300
2016,48.3606925010681,459718,47847,1051081,2026-09-02T02:23:54-0300
2017,48.1504554748535,457992,46493,1036978,2026-09-02T02:24:42-0300
2018,47.6467716693878,452654,44081,999988,2026-09-02T02:25:29-0300
2019,47.2234265804291,443790,42356,970094,2026-09-02T02:26:17-0300
2022,40.2063014507294,376821,33242,804131,2026-09-02T02:26:57-0300
2023,40.9127702713013,383049,33132,808383,2026-09-02T02:27:38-0300
2024,40.8175868988037,381815,32523,805479,2026-09-02T02:28:19-0300
