term,estimate,std_error_diagnostic,statistic,p_value_diagnostic,event_time,effect_percentage_points,inference_status
event_time::-24:treated_age,-0.0121323406809036,0.00383865728908609,-3.1605688570839,0.0021900594956355,-24,-1.21323406809036,point path; dynamic inference uses forecast design/block bootstrap
event_time::-23:treated_age,-0.0126660875261667,0.0043323353630248,-2.92361658662623,0.00444573091984337,-23,-1.26660875261667,point path; dynamic inference uses forecast design/block bootstrap
event_time::-22:treated_age,-0.0102035915529242,0.0053123920984113,-1.9207150684483,0.0581603378610596,-22,-1.02035915529242,point path; dynamic inference uses forecast design/block bootstrap
event_time::-21:treated_age,-0.00949469714982334,0.00217910374189674,-4.35715701243252,3.70584912096147e-05,-21,-0.949469714982334,point path; dynamic inference uses forecast design/block bootstrap
event_time::-20:treated_age,-0.00458497338171034,0.00387602925882001,-1.18290473976096,0.240184149715434,-20,-0.458497338171034,point path; dynamic inference uses forecast design/block bootstrap
event_time::-19:treated_age,-0.0103134792546374,0.00380516175190389,-2.71039181172182,0.0081460989764489,-19,-1.03134792546374,point path; dynamic inference uses forecast design/block bootstrap
event_time::-18:treated_age,-0.011647221036496,0.00372869155981435,-3.12367511489094,0.00245108664097965,-18,-1.1647221036496,point path; dynamic inference uses forecast design/block bootstrap
event_time::-17:treated_age,-0.0104472177468706,0.00376699092753962,-2.77335888188457,0.00683378687997374,-17,-1.04472177468706,point path; dynamic inference uses forecast design/block bootstrap
event_time::-16:treated_age,-0.0102822918287152,0.00403712096512654,-2.54693676942943,0.0126904970086421,-16,-1.02822918287152,point path; dynamic inference uses forecast design/block bootstrap
event_time::-15:treated_age,-0.0106517085448754,0.00540395552637305,-1.9710947828663,0.0520056374136084,-15,-1.06517085448754,point path; dynamic inference uses forecast design/block bootstrap
event_time::-14:treated_age,-0.0172463170260197,0.00413153230643083,-4.17431493859443,7.26070054244935e-05,-14,-1.72463170260197,point path; dynamic inference uses forecast design/block bootstrap
event_time::-13:treated_age,-0.0113057989315019,0.00289433931190273,-3.90617606063246,0.000188918227257741,-13,-1.13057989315019,point path; dynamic inference uses forecast design/block bootstrap
event_time::-12:treated_age,-0.00763964871072415,0.00454482167799675,-1.68095675738185,0.09648627036272,-12,-0.763964871072415,point path; dynamic inference uses forecast design/block bootstrap
event_time::-11:treated_age,-0.00473638062307259,0.00467839306287327,-1.01239476021361,0.314256660509016,-11,-0.473638062307258,point path; dynamic inference uses forecast design/block bootstrap
event_time::-10:treated_age,-0.00723061009771274,0.00444466791036524,-1.62680547647902,0.107524175083973,-10,-0.723061009771274,point path; dynamic inference uses forecast design/block bootstrap
event_time::-9:treated_age,-0.00324203171633446,0.00312547505152586,-1.03729246366938,0.302576394047527,-9,-0.324203171633446,point path; dynamic inference uses forecast design/block bootstrap
