year,quarter,period,trend_2018q4,post_full,partial_2019q1,pandemic,prevalence15,se15,population15,unweighted_n15,cases15,control_prevalence,control_variance_independence,control_population,control_unweighted_n,control_cases,prevalence_gap,gap_design_se_independence,quarter_factor,counterfactual_gap,dynamic_effect,bootstrap_se,pointwise_ci_lower,pointwise_ci_upper,simultaneous_ci_lower,simultaneous_ci_upper
2013,1,2013Q1,-23,0,0,0,0.00818064451292034,0.00103980351614415,3530755.96725801,10701,98,0.0729095160615739,3.79463802040528e-06,10198786.5365552,30547,2181,-0.0647288715486535,0.00220812802450198,1,-0.0652067925256273,0.000477920976973786,0.0030390385399725,-0.00550505191854609,0.00640776266671822,-0.00926567692803952,0.0102215188819871
2013,2,2013Q2,-22,0,0,0,0.0081701818874525,0.00108194174204163,3508168.5363858,10768,100,0.0726793196754722,3.71278307502726e-06,10231613.9793741,30766,2269,-0.0645091377880197,0.00220983732618474,2,-0.0656784321124184,0.00116929432439875,0.00301032253656738,-0.00459214053693067,0.00719727937291063,-0.00848223591285113,0.0108208245616486
2013,3,2013Q3,-21,0,0,0,0.0105778481576564,0.00128073188983969,3463830.60205203,10710,126,0.0721533193815074,3.69873698796849e-06,10255368.7033207,30830,2278,-0.061575471223851,0.00231063003564414,3,-0.0651802620923761,0.00360479086852517,0.00318777250434318,-0.00268975371195983,0.010110006384185,-0.00661566967728232,0.0138252514143327
2013,4,2013Q4,-20,0,0,0,0.00950383478946127,0.00115440183538405,3418969.70519012,10477,112,0.0722727103003203,3.74710691937113e-06,10162751.9607672,30353,2271,-0.062768875510859,0.00225383018812625,4,-0.0643904573245029,0.00162158181364394,0.00326750417038586,-0.00452680533569823,0.00804406488557427,-0.00885451000633082,0.0120976736336187
2014,1,2014Q1,-19,0,0,0,0.0116423364975795,0.00159711715538822,3442571.83128685,10600,121,0.0694865208591467,3.58591295043612e-06,10163856.7813932,30807,2263,-0.0578441843615672,0.00247723558800359,1,-0.0638550620640031,0.00601087770243595,0.00360222186385408,-0.000833745720002136,0.0133942618475475,-0.00553836754219968,0.0175601229470716
2014,2,2014Q2,-18,0,0,0,0.0096662846108671,0.00120342209681779,3335236.88442358,10361,111,0.07313632021426,3.85257026249828e-06,10178342.3246114,30684,2304,-0.0634700356033929,0.00230234554435419,2,-0.0643267016507942,0.000856666047401297,0.00354847583533844,-0.00609302069632727,0.00790658135873478,-0.0105202616422051,0.0122335937370077
2014,3,2014Q3,-17,0,0,0,0.00911270174781609,0.0011032254275873,3405537.10656638,10558,108,0.0731734200746925,3.77950483526279e-06,10051174.8474076,30693,2269,-0.0640607183268764,0.00223531008572367,3,-0.0638285316307519,-0.000232186696124487,0.00349998997328647,-0.00645614037319723,0.00724621861689615,-0.0114536616865635,0.0109892882943145
2014,4,2014Q4,-16,0,0,0,0.00870972922411079,0.00107528879540867,3484702.66315755,10823,102,0.0744467094586844,4.77982107461305e-06,9980677.43950279,30445,2223,-0.0657369802345736,0.00243640453704726,4,-0.0630387268628787,-0.00269825337169489,0.00362615576507173,-0.00968678346888724,0.00471080358372389,-0.0143242341715714,0.00892772742818156
2015,1,2015Q1,-15,0,0,0,0.0116368454048773,0.00136447563238166,3533427.49641639,10870,117,0.0773994784996911,5.08974038635325e-06,10041046.5009239,30037,2246,-0.0657626330948138,0.00263657621504037,1,-0.0625033316023789,-0.00325930149243486,0.00385121189763201,-0.0104554196737573,0.00505754209003382,-0.0156068448631317,0.00908824187826198
2015,2,2015Q2,-14,0,0,0,0.0115640173677344,0.00139842583904206,3526878.06973179,10891,130,0.0790582157233929,6.18037988765097e-06,10068772.430524,29882,2249,-0.0674941983556585,0.00285236300546607,2,-0.06297497118917,-0.0045192271664885,0.00401797496389119,-0.0124486576193672,0.00351146958648537,-0.0174014370909867,0.00836298275800968
2015,3,2015Q3,-13,0,0,0,0.00784826190842104,0.000979484615663909,3539508.85183682,10799,96,0.0783741364250884,5.27299726672252e-06,10020658.5908063,29593,2178,-0.0705258745166674,0.0024964749906708,3,-0.0624768011691277,-0.00804907334753965,0.00380440471373996,-0.0149482435544166,-5.27741667816235e-05,-0.0202465461044843,0.00414839940940503
