estimate,std_error,statistic,p_value,ci_lower,ci_upper,outcome,sex,controls,window,age_specific_trends,geography_level,geography_value,effect_percentage_points,ci_lower_percentage_points,ci_upper_percentage_points,observations,periods,unweighted_people,unweighted_union_cases,zero_case_cells,dropped_observations,variance_weight_winsorization,p_value_bh,heterogeneity_status
-0.00190830039274853,0.00556171802339584,-0.343113474059832,0.731513094919059,-0.0128090674107717,0.00899246662527461,union_conservative,combined,17-18-19,short_run_clean,TRUE,region,Central-West,-0.190830039274853,-1.28090674107717,0.899246662527461,108,27,97484,6140,0,0,"inverse design variance, 5th/95th percentile",0.939734138096295,exploratory; design-cell rarity reported
-0.00540050342289345,0.00758736292311401,-0.711776077883589,0.476603448467767,-0.0202714614898315,0.00947045464404455,union_expanded,combined,17-18-19,short_run_clean,TRUE,region,Central-West,-0.540050342289345,-2.02714614898315,0.947045464404455,108,27,97484,9780,0,0,"inverse design variance, 5th/95th percentile",0.75253176073858,exploratory; design-cell rarity reported
-0.000778571792614005,0.0107924243893755,-0.0721405834800626,0.942490029397655,-0.0219313349016616,0.0203741913164336,union_conservative,female,17-18-19,short_run_clean,TRUE,region,Central-West,-0.0778571792614005,-2.19313349016616,2.03741913164336,108,27,47341,5039,0,0,"inverse design variance, 5th/95th percentile",0.969666249539828,exploratory; design-cell rarity reported
-0.00688408850140903,0.0153441930476014,-0.448644544555253,0.653688094877241,-0.0369581542465377,0.0231899772437197,union_expanded,female,17-18-19,short_run_clean,TRUE,region,Central-West,-0.688408850140903,-3.69581542465377,2.31899772437197,108,27,47341,7348,0,0,"inverse design variance, 5th/95th percentile",0.939734138096295,exploratory; design-cell rarity reported
-0.00653530634758013,0.00188556126144309,-3.46597402121978,0.000528314324836539,-0.0102309385106525,-0.00283967418450777,union_conservative,male,17-18-19,short_run_clean,TRUE,region,Central-West,-0.653530634758013,-1.02309385106525,-0.283967418450777,108,27,50143,1101,17,0,"inverse design variance, 5th/95th percentile",0.00264157162418269,exploratory; design-cell rarity reported
-0.00902995450133104,0.00736643974544624,-1.22582343891609,0.220265124764828,-0.0234679110966901,0.00540800209402798,union_expanded,male,17-18-19,short_run_clean,TRUE,region,Central-West,-0.902995450133104,-2.34679110966901,0.540800209402798,108,27,50143,2432,1,0,"inverse design variance, 5th/95th percentile",0.507094240346567,exploratory; design-cell rarity reported
-0.000860136397734541,0.00271951054579137,-0.316283530897006,0.751787310477036,-0.0061902791230625,0.00447000632759342,union_conservative,combined,17-18-19,short_run_clean,TRUE,region,North,-0.0860136397734541,-0.61902791230625,0.447000632759342,108,27,171292,10608,0,0,"inverse design variance, 5th/95th percentile",0.939734138096295,exploratory; design-cell rarity reported
0.000474521850539292,0.00846505643059226,0.0560565489940971,0.955296758356883,-0.0161166838805207,0.0170657275815993,union_expanded,combined,17-18-19,short_run_clean,TRUE,region,North,0.0474521850539292,-1.61166838805207,1.70657275815993,108,27,171292,22801,0,0,"inverse design variance, 5th/95th percentile",0.969666249539828,exploratory; design-cell rarity reported
-0.000719690277244378,0.00420742250199703,-0.171052533208343,0.864182458711331,-0.00896608684890196,0.00752670629441321,union_conservative,female,17-18-19,short_run_clean,TRUE,region,North,-0.0719690277244378,-0.896608684890196,0.752670629441321,108,27,82153,8775,0,0,"inverse design variance, 5th/95th percentile",0.969666249539828,exploratory; design-cell rarity reported
0.00867076335639081,0.00922502391090265,0.939917710797824,0.347259771946139,-0.00940995126549922,0.0267514779782808,union_expanded,female,17-18-19,short_run_clean,TRUE,region,North,0.867076335639081,-0.940995126549922,2.67514779782808,108,27,82153,16079,0,0,"inverse design variance, 5th/95th percentile",0.65111207239901,exploratory; design-cell rarity reported
-0.000210051919981048,0.00145337692622284,-0.144526802504667,0.885084493291356,-0.00305861835133935,0.00263851451137725,union_conservative,male,17-18-19,short_run_clean,TRUE,region,North,-0.0210051919981048,-0.305861835133934,0.263851451137725,108,27,89139,1833,12,0,"inverse design variance, 5th/95th percentile",0.969666249539828,exploratory; design-cell rarity reported
-0.00041623117490919,0.0109457090178767,-0.03802688105717,0.969666249539828,-0.0218694266352028,0.0210369642853844,union_expanded,male,17-18-19,short_run_clean,TRUE,region,North,-0.041623117490919,-2.18694266352028,2.10369642853844,108,27,89139,6722,0,0,"inverse design variance, 5th/95th percentile",0.969666249539828,exploratory; design-cell rarity reported
0.00967038856753754,0.00272513289428198,3.54859338707058,0.000387294635670584,0.00432922624165946,0.0150115508934156,union_conservative,combined,17-18-19,short_run_clean,TRUE,region,Northeast,0.967038856753754,0.432922624165946,1.50115508934156,108,27,389368,23188,0,0,"inverse design variance, 5th/95th percentile",0.00232376781402351,exploratory; design-cell rarity reported
0.0108614893264477,0.00224772042355425,4.83222433387546,1.35015991163798e-06,0.00645603824896624,0.0152669404039291,union_expanded,combined,17-18-19,short_run_clean,TRUE,region,Northeast,1.08614893264477,0.645603824896624,1.52669404039291,108,27,389368,43404,0,0,"inverse design variance, 5th/95th percentile",1.35015991163798e-05,exploratory; design-cell rarity reported
0.00850287876034701,0.00432355447009526,1.96664083201886,0.0492246325877346,2.88677137631425e-05,0.0169768898069309,union_conservative,female,17-18-19,short_run_clean,TRUE,region,Northeast,0.850287876034701,0.00288677137631425,1.69768898069309,108,27,187900,18773,0,0,"inverse design variance, 5th/95th percentile",0.134248997966549,exploratory; design-cell rarity reported
0.00724960394754971,0.00358404490649313,2.02274361418178,0.043099587752709,0.000225005011848952,0.0142742028832505,union_expanded,female,17-18-19,short_run_clean,TRUE,region,Northeast,0.724960394754971,0.0225005011848952,1.42742028832505,108,27,187900,31240,0,0,"inverse design variance, 5th/95th percentile",0.134248997966549,exploratory; design-cell rarity reported
0.00819260120724187,0.00118880469721354,6.89146099981323,5.52222624158775e-12,0.00586258681605129,0.0105226155984324,union_conservative,male,17-18-19,short_run_clean,TRUE,region,Northeast,0.819260120724187,0.586258681605129,1.05226155984324,108,27,201468,4415,4,0,"inverse design variance, 5th/95th percentile",1.65666787247632e-10,exploratory; design-cell rarity reported
0.0122043560473897,0.00190971852447237,6.39065699525622,1.65174519853987e-10,0.00846137651881493,0.0159473355759646,union_expanded,male,17-18-19,short_run_clean,TRUE,region,Northeast,1.22043560473897,0.846137651881493,1.59473355759646,108,27,201468,12164,0,0,"inverse design variance, 5th/95th percentile",2.4776177978098e-09,exploratory; design-cell rarity reported
0.00594816898217765,0.00301352161597876,1.97382655250865,0.0484014685342558,4.17751482263444e-05,0.011854562816129,union_conservative,combined,17-18-19,short_run_clean,TRUE,region,South,0.594816898217765,0.00417751482263444,1.1854562816129,108,27,153665,8107,0,0,"inverse design variance, 5th/95th percentile",0.134248997966549,exploratory; design-cell rarity reported
0.00691224800614396,0.00584092405891806,1.18341685945911,0.236643978828398,-0.00453575278576894,0.0183602487980569,union_expanded,combined,17-18-19,short_run_clean,TRUE,region,South,0.691224800614396,-0.453575278576894,1.83602487980569,108,27,153665,15422,0,0,"inverse design variance, 5th/95th percentile",0.507094240346567,exploratory; design-cell rarity reported
0.00618284186647209,0.00646307558016482,0.956640811295358,0.338748582343965,-0.00648455350001127,0.0188502372329555,union_conservative,female,17-18-19,short_run_clean,TRUE,region,South,0.618284186647209,-0.648455350001127,1.88502372329555,108,27,73908,6697,0,0,"inverse design variance, 5th/95th percentile",0.65111207239901,exploratory; design-cell rarity reported
0.00825302721039386,0.010497582470862,0.786183603063056,0.431759930814658,-0.0123218563572346,0.0288279107780223,union_expanded,female,17-18-19,short_run_clean,TRUE,region,South,0.825302721039386,-1.23218563572346,2.88279107780223,108,27,73908,11352,0,0,"inverse design variance, 5th/95th percentile",0.719599884691097,exploratory; design-cell rarity reported
0.0019031697094545,0.00130405831605185,1.45942070690251,0.144449350174129,-0.000652737623747088,0.00445907704265608,union_conservative,male,17-18-19,short_run_clean,TRUE,region,South,0.19031697094545,-0.0652737623747088,0.445907704265608,108,27,79757,1410,22,0,"inverse design variance, 5th/95th percentile",0.361123375435322,exploratory; design-cell rarity reported
0.00576834164898705,0.00684656092964627,0.842516660300147,0.399498818166283,-0.00765067119107872,0.0191873544890528,union_expanded,male,17-18-19,short_run_clean,TRUE,region,South,0.576834164898705,-0.765067119107872,1.91873544890528,108,27,79757,4070,0,0,"inverse design variance, 5th/95th percentile",0.704997914411087,exploratory; design-cell rarity reported
0.00088638773325325,0.00232809214870863,0.380735673948697,0.703399395046107,-0.00367658903090614,0.00544936449741264,union_conservative,combined,17-18-19,short_run_clean,TRUE,region,Southeast,0.088638773325325,-0.367658903090614,0.544936449741264,108,27,246525,9098,0,0,"inverse design variance, 5th/95th percentile",0.939734138096295,exploratory; design-cell rarity reported
0.00463360620509566,0.00225568473963478,2.05419051859432,0.0399572557191538,0.00021254535493489,0.00905466705525644,union_expanded,combined,17-18-19,short_run_clean,TRUE,region,Southeast,0.463360620509566,0.021254535493489,0.905466705525644,108,27,246525,16448,0,0,"inverse design variance, 5th/95th percentile",0.134248997966549,exploratory; design-cell rarity reported
-0.000226365182174606,0.00426777452655027,-0.0530405673416823,0.95769958512325,-0.0085910495483506,0.00813831918400139,union_conservative,female,17-18-19,short_run_clean,TRUE,region,Southeast,-0.0226365182174606,-0.85910495483506,0.813831918400139,108,27,119903,7443,0,0,"inverse design variance, 5th/95th percentile",0.969666249539828,exploratory; design-cell rarity reported
-0.00104329420991053,0.0032166551038882,-0.324341334776435,0.745679628984018,-0.00734782236421834,0.00526123394439729,union_expanded,female,17-18-19,short_run_clean,TRUE,region,Southeast,-0.104329420991053,-0.734782236421834,0.526123394439729,108,27,119903,11955,0,0,"inverse design variance, 5th/95th percentile",0.939734138096295,exploratory; design-cell rarity reported
0.0015476893462964,0.00075650951965911,2.04582930693827,0.0407731675390784,6.49579338028474e-05,0.00303042075878995,union_conservative,male,17-18-19,short_run_clean,TRUE,region,Southeast,0.15476893462964,0.00649579338028474,0.303042075878995,108,27,126622,1655,17,0,"inverse design variance, 5th/95th percentile",0.134248997966549,exploratory; design-cell rarity reported
0.0103285688439986,0.00273338544693565,3.77867265503215,0.000157666519028202,0.00497123181213878,0.0156859058758584,union_expanded,male,17-18-19,short_run_clean,TRUE,region,Southeast,1.03285688439986,0.497123181213878,1.56859058758584,108,27,126622,4493,0,0,"inverse design variance, 5th/95th percentile",0.00118249889271151,exploratory; design-cell rarity reported
