specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,outcome,sex,controls,window,age_specific_trends,geography_level,geography_value,effect_percentage_points,ci_lower_percentage_points,ci_upper_percentage_points,observations,periods,unweighted_people,unweighted_union_cases,zero_case_cells,dropped_observations,variance_weight_winsorization
PNADC-CELL-001,0.00398966577032208,0.00125773969796627,3.17209179035477,0.00151345162873291,0.00152454126038191,0.00645479028026226,union_conservative,combined,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.398966577032208,0.152454126038191,0.645479028026226,108,27,1058334,57141,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-002,0.00819202124322187,0.00118927696879933,6.88823668341307,5.64881735608107e-12,0.00586108121673221,0.0105229612697115,union_conservative,combined,17-18-19,short_run_clean,FALSE,Brazil,Brazil,0.819202124322187,0.586108121673221,1.05229612697115,108,27,1058334,57141,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-003,0.00379923384358255,0.00215832901834196,1.76026630383775,0.0783626646144923,-0.000431013299155376,0.00802948098632048,union_conservative,female,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.379923384358255,-0.0431013299155376,0.802948098632048,108,27,511205,46727,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-004,0.00996171909639703,0.0017379404855885,5.73191037265225,9.93057461379298e-09,0.00655541833736952,0.0133680198554246,union_conservative,female,17-18-19,short_run_clean,FALSE,Brazil,Brazil,0.996171909639703,0.655541833736951,1.33680198554246,108,27,511205,46727,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-005,0.00343759189996358,0.000559855292048803,6.14014362065533,8.244690445635e-10,0.00234029569099377,0.00453488810893339,union_conservative,male,17-18-19,short_run_clean,TRUE,Brazil,Brazil,0.343759189996358,0.234029569099377,0.453488810893339,108,27,547129,10414,1,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-006,0.00525946042850965,0.000562680530880729,9.34715196254852,9.00395309983403e-21,0.00415662685318155,0.00636229400383776,union_conservative,male,17-18-19,short_run_clean,FALSE,Brazil,Brazil,0.525946042850965,0.415662685318155,0.636229400383776,108,27,547129,10414,1,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-007,0.00778496943696556,0.00235529038612625,3.30531194065184,0.000948707465903351,0.00316868510702468,0.0124012537669064,union_conservative,combined,17-18-19,full_dynamic,TRUE,Brazil,Brazil,0.778496943696556,0.316868510702468,1.24012537669064,188,47,1583710,78777,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-008,0.00979580562309381,0.00118626288548369,8.25770218639152,1.4850351632068e-16,0.00747077309134921,0.0121208381548384,union_conservative,combined,17-18-19,full_dynamic,FALSE,Brazil,Brazil,0.979580562309381,0.747077309134921,1.21208381548384,188,47,1583710,78777,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-009,0.0108106637430267,0.00402534300759634,2.68565032163112,0.00723888040316688,0.00292113642271771,0.0187001910633356,union_conservative,female,17-18-19,full_dynamic,TRUE,Brazil,Brazil,1.08106637430267,0.292113642271771,1.87001910633356,188,47,763647,64225,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-010,0.0151337580605945,0.00201021352960043,7.52843309317627,5.13528194264306e-14,0.0111938119413425,0.0190737041798465,union_conservative,female,17-18-19,full_dynamic,FALSE,Brazil,Brazil,1.51337580605945,1.11938119413425,1.90737041798465,188,47,763647,64225,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-011,0.00472431968667641,0.00105377566458099,4.48323096221333,7.35212794665616e-06,0.00265895733631292,0.00678968203703991,union_conservative,male,17-18-19,full_dynamic,TRUE,Brazil,Brazil,0.472431968667641,0.265895733631292,0.67896820370399,188,47,820063,14552,5,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-012,0.00420450817700541,0.000539777507276591,7.78933564353016,6.73624436803671e-15,0.00314656370307848,0.00526245265093233,union_conservative,male,17-18-19,full_dynamic,FALSE,Brazil,Brazil,0.42045081770054,0.314656370307848,0.526245265093233,188,47,820063,14552,5,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-013,0.00260149170627958,0.00183696538806569,1.41618983306971,0.156719931802687,-0.000998894295175818,0.00620187770773499,union_conservative,combined,17-18-19,exclude_pandemic,TRUE,Brazil,Brazil,0.260149170627958,-0.0998894295175818,0.620187770773499,156,39,1391971,71701,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-014,0.00766842351361751,0.000851160574234687,9.0093734904398,2.07236973961531e-19,0.00600017944305709,0.00933666758417792,union_conservative,combined,17-18-19,exclude_pandemic,FALSE,Brazil,Brazil,0.766842351361751,0.600017944305709,0.933666758417792,156,39,1391971,71701,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-015,0.00208410330491619,0.0025071915581999,0.831250128495375,0.405832341553082,-0.00282990185149848,0.00699810846133085,union_conservative,female,17-18-19,exclude_pandemic,TRUE,Brazil,Brazil,0.208410330491619,-0.282990185149848,0.699810846133085,156,39,671229,58444,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-016,0.0117076716427906,0.00149519560252564,7.83019400472713,4.87117713970161e-15,0.00877714211199772,0.0146382011735836,union_conservative,female,17-18-19,exclude_pandemic,FALSE,Brazil,Brazil,1.17076716427906,0.877714211199772,1.46382011735836,156,39,671229,58444,0,0,"inverse design variance, 5th/95th percentile"
PNADC-CELL-017,0.0034798004915611,0.0013327180042912,2.61105536231711,0.00902632800557864,0.000867721201602249,0.00609187978151995,union_conservative,male,17-18-19,exclude_pandemic,TRUE,Brazil,Brazil,0.34798004915611,0.0867721201602248,0.609187978151995,156,39,720742,13257,3,0,"inverse design variance, 5th/95th percentile"
