window,age,persons_married,population,share_among_ages_15_19,rate_per_100k
pre_2013_2018,15,3394,81089040.9786046,0.00399875583790076,4.18552243193443
pre_2013_2018,16,94107,81789324.5780994,0.110875343440579,115.060248370359
pre_2013_2018,17,130000,81507391.4188253,0.153163894792899,159.494737516498
pre_2013_2018,18,273776,82265279.4125697,0.322558449698621,332.796535737735
pre_2013_2018,19,347487,78425612.3509596,0.40940355623,443.078465801419
partial_2019Q1,15,63,3096362.46517374,0.00254998785720068,2.03464551416673
partial_2019Q1,16,2282,3202329.91057244,0.0923662268274913,71.2606153559012
partial_2019Q1,17,3362,3156498.7050837,0.136080304379503,106.510419110432
partial_2019Q1,18,8085,3427481.76358874,0.327248441674087,235.887469508652
partial_2019Q1,19,10914,3342276.2957114,0.441755039261718,326.543919005265
short_2019Q2_Q4,15,194,9354987.46364017,0.00249871200412159,2.07376012799606
short_2019Q2_Q4,16,6707,9387445.08599739,0.0863858835651726,71.4464898442322
short_2019Q2_Q4,17,10169,9555618.59198909,0.130976300875837,106.419065412731
short_2019Q2_Q4,18,24943,9754287.4214959,0.321264811952602,255.713194846321
short_2019Q2_Q4,19,35627,10107850.3824405,0.458874291602267,352.468612533993
pandemic_2020_2021,15,324,24681033.5505787,0.00200545930588825,1.31274891440842
pandemic_2020_2021,16,13837,25116666.8222362,0.0856467296777029,55.0909087496829
pandemic_2020_2021,17,20800,24952433.6140255,0.128745535686653,83.3586026988108
pandemic_2020_2021,18,53372,25319941.6740606,0.33035609282058,210.790374982094
pandemic_2020_2021,19,73226,24981343.9817929,0.453246182509176,293.122740127068
post_pandemic_2022_2024,15,347,36067048.8235725,0.00157360337032284,0.962097014639051
post_pandemic_2022_2024,16,16717,36801226.7081012,0.0758095894573109,45.4251162130962
post_pandemic_2022_2024,17,25799,36713554.0719107,0.11699536988749,70.2710501671062
post_pandemic_2022_2024,18,74469,36671150.5047304,0.337707980935364,203.072439710867
post_pandemic_2022_2024,19,103181,35069930.4204325,0.467913456349512,294.215012014636
