year,quarter,period,trend_2018q4,focal_rate,control_count,control_population,control_rate,gap,quarter_factor,predicted,focal_age,controls,event_time,dynamic_log_effect,bootstrap_se,simultaneous_ci_lower,simultaneous_ci_upper,simultaneous_critical_value,bootstrap_replications,block_length
2013,1,2013Q1,-23,4.44663979770673,30709,10198786.5365552,301.104448945279,-4.21530850171241,1,-4.09882847227513,15,17-18-19,-24,-0.116480029437276,0.10020992119268,-0.422845299875335,0.189885241000784,3.05723492037273,999,4
2013,2,2013Q2,-22,4.58928920689387,31460,10231613.9793741,307.478371090038,-4.20467959165915,2,-4.03761613394476,15,17-18-19,-23,-0.167063457714384,0.0988656740674479,-0.469319048899575,0.135192133470806,3.05723492037273,999,4
2013,3,2013Q3,-21,5.97604282026291,32353,10255368.7033207,315.473786812991,-3.96631698076634,3,-4.03199053183172,15,17-18-19,-22,0.0656735510653821,0.101035714343327,-0.243216363029841,0.374563465160606,3.05723492037273,999,4
2013,4,2013Q4,-20,6.4931841795204,43259,10162751.9607672,425.662263203896,-4.18289318346656,4,-4.06840253676735,15,17-18-19,-21,-0.114490646699204,0.0969874267300496,-0.411003994535404,0.182022701136995,3.05723492037273,999,4
2014,1,2014Q1,-19,4.38625560773137,32162,10163856.7813932,316.434997971226,-4.27864191643918,1,-4.22182986139988,15,17-18-19,-20,-0.0568120550393001,0.106186270162961,-0.381448428245638,0.267824318167038,3.05723492037273,999,4
2014,2,2014Q2,-18,5.12707210689035,31830,10178342.3246115,312.722828382716,-4.11078250904983,2,-4.16061752306951,15,17-18-19,-19,0.0498350140196768,0.106301019999647,-0.275152176394483,0.374822204433837,3.05723492037273,999,4
2014,3,2014Q3,-17,5.8434248041608,32884,10051174.8474076,327.16573434678,-4.02514981134506,3,-4.15499192095647,15,17-18-19,-18,0.129842109611409,0.102631274825104,-0.183925807706268,0.443610026929086,3.05723492037273,999,4
2014,4,2014Q4,-16,7.54727233346478,44201,9980677.43950279,442.86572998598,-4.07208041387318,4,-4.1914039258921,15,17-18-19,-17,0.119323512018925,0.102411865684948,-0.19377362001362,0.432420644051469,3.05723492037273,999,4
2015,1,2015Q1,-15,5.15080612760796,31808,10041046.5009239,316.779730051775,-4.11905344241204,1,-4.34483125052463,15,17-18-19,-16,0.225777808112583,0.104815931891804,-0.0946691190784511,0.546224735303617,3.05723492037273,999,4
2015,2,2015Q2,-14,4.6216511253647,31021,10068772.430524,308.09118205868,-4.19964375711687,2,-4.28361891219426,15,17-18-19,-15,0.0839751550773853,0.110035463870947,-0.252429107548285,0.420379417703056,3.05723492037273,999,4
2015,3,2015Q3,-13,5.39622891184129,32303,10020658.5908063,322.364041317974,-4.08998111008702,3,-4.27799331008121,15,17-18-19,-14,0.188012199994192,0.107612639837745,-0.140984920391254,0.517009320379639,3.05723492037273,999,4
2015,4,2015Q4,-12,4.88350578218455,41616,10029345.8390209,414.942316956366,-4.44227615535471,4,-4.31440531501685,15,17-18-19,-13,-0.127870840337863,0.114130731083472,-0.476795296893922,0.221053616218196,3.05723492037273,999,4
