year,month,period,trend_2019m02,post_april_2019,partial_march_2019,rate15,control_count,control_population,control_rate,log_rate_gap,month_factor,counterfactual_gap,dynamic_log_effect
2013,1,2013M01,-73,0,0,1.41612732411042,11381,10198786.5365552,111.591707103658,-4.36692082869293,1,-4.10082685341899,-0.266093975273941
2013,2,2013M02,-72,0,0,1.55774005652147,9574,10198786.5365552,93.8739129962585,-4.09871644155917,2,-4.04080711015767,-0.0579093314015031
2013,3,2013M03,-71,0,0,1.47277241707484,9754,10198786.5365552,95.638828845363,-4.17343227452776,3,-4.18359143646581,0.0101591619380574
2013,4,2013M04,-70,0,0,1.39674019340248,10181,10231613.9793741,99.5053177389597,-4.26606999902791,4,-4.07013008044232,-0.195939918585589
2013,5,2013M05,-69,0,0,1.53926470293335,10936,10231613.9793741,106.884407699957,-4.24044311187085,5,-4.1438412563141,-0.0966018555567576
2013,6,2013M06,-68,0,0,1.65328431055804,10343,10231613.9793741,101.088645651121,-4.11323401086273,6,-3.9402644585587,-0.172969552304024
2013,7,2013M07,-67,0,0,1.67444678055676,11834,10255368.7033207,115.393218345901,-4.23286275538932,7,-4.19703399827128,-0.0358287571180407
2013,8,2013M08,-66,0,0,1.84766541302815,9032,10255368.7033207,88.0709437299458,-3.86421976516893,8,-3.82945487774593,-0.0347648874229929
2013,9,2013M09,-65,0,0,2.45393062667801,11487,10255368.7033207,112.009624737144,-3.82089372635419,9,-4.11475826809075,0.293864541736564
2013,10,2013M10,-64,0,0,1.57942317880226,11408,10162751.9607672,112.253059447284,-4.2636960782313,10,-3.9659727628443,-0.297723315387002
2013,11,2013M11,-63,0,0,2.28138903604771,13162,10162751.9607672,129.512164134392,-4.03899032446798,11,-4.03483205305926,-0.00415827140871805
2013,12,2013M12,-62,0,0,2.63237196467043,18689,10162751.9607672,183.89703962222,-4.24649070628154,12,-4.21253097551126,-0.0339597307702828
2014,1,2014M01,-61,0,0,1.45240251911635,11994,10163856.7813932,118.00638535125,-4.39751964114044,1,-4.22037464624952,-0.177144994890925
2014,2,2014M02,-60,0,0,1.53954667026333,10100,10163856.7813932,99.3717268674021,-4.16737963211736,2,-4.16035490298819,-0.00702472912916896
2014,3,2014M03,-59,0,0,1.39430641835169,10068,10163856.7813932,99.0568857525747,-4.26329718818745,3,-4.30313922929634,0.0398420411088924
2014,4,2014M04,-58,0,0,1.70902403563012,9735,10178342.3246115,95.6442580680408,-4.02471319524811,4,-4.18967787327285,0.164964678024744
2014,5,2014M05,-57,0,0,1.88892130253855,12041,10178342.3246115,118.300206615026,-4.13721959077704,5,-4.26338904914462,0.12616945836758
2014,6,2014M06,-56,0,0,1.52912676872168,10054,10178342.3246115,98.7783636996489,-4.16818175680455,6,-4.05981225138923,-0.10836950541532
