specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,rate_ratio,percent_change,sex,controls,age_specific_trends,geography,pre_start,baseline,omitted,post,observations,periods,period_clusters,dropped_observations,timing_semantics
REG-M-01,-0.0242928616028555,0.106655831730997,-0.227768713708276,0.819826050264554,-0.233334450536774,0.184748727331063,0.975999835023014,-2.40001649769855,combined,17-18-19,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1660,83,83,0,"month of registration, not occurrence/celebration"
REG-M-02,-0.480281639770056,0.102160528218562,-4.7012446797705,2.5858044175727e-06,-0.680512595720025,-0.280050683820088,0.6186091423329,-38.13908576671,combined,17-18-19,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1660,83,83,0,"month of registration, not occurrence/celebration"
REG-M-03,-0.114625118696693,0.10833711214675,-1.05804111283145,0.290036699312873,-0.3269619566934,0.0977117193000143,0.891700363050923,-10.8299636949077,female,17-18-19,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1660,83,83,0,"month of registration, not occurrence/celebration"
REG-M-04,-0.532950130520015,0.105225429804312,-5.06484156454524,4.08740150082039e-07,-0.739188183194213,-0.326712077845817,0.586871067070128,-41.3128932929872,female,17-18-19,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1660,83,83,0,"month of registration, not occurrence/celebration"
REG-M-05,0.909102361901591,0.288432486071113,3.15187229526376,0.0016222720726003,0.343785077230859,1.47441964657232,2.48209351140731,148.209351140731,male,17-18-19,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1660,83,83,0,"month of registration, not occurrence/celebration"
REG-M-06,-0.0770203715871434,0.21049270516857,-0.365905181965631,0.714435829469276,-0.489578492725948,0.335537749551661,0.925870991952779,-7.4129008047221,male,17-18-19,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1660,83,83,0,"month of registration, not occurrence/celebration"
REG-M-07,-0.0175349695355611,0.107081546688105,-0.163753420434195,0.869925261686527,-0.227410944453091,0.192341005381969,0.982617873373594,-1.73821266264059,combined,18-19,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-08,-0.502310376555823,0.10283127449022,-4.8848016232999,1.03533039418696e-06,-0.703855971041006,-0.30076478207064,0.605130963031857,-39.4869036968143,combined,18-19,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-09,-0.108269338330592,0.108951724800467,-0.993736799751222,0.320351021954301,-0.321810794993027,0.105272118331843,0.897385863467557,-10.2614136532443,female,18-19,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-10,-0.566095142848627,0.106194181710456,-5.33075479023997,9.78054063219107e-08,-0.774231914368822,-0.357958371328431,0.567738051910911,-43.2261948089089,female,18-19,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-11,0.913969574111599,0.288050008614225,3.17295451060252,0.00150896165058756,0.349401931481266,1.47853721674193,2.49420383510255,149.420383510255,male,18-19,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-12,-0.0782699395829692,0.210118393631403,-0.372503988014837,0.709517643295949,-0.49009442358993,0.333554544423992,0.924714775728811,-7.52852242711888,male,18-19,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-13,-0.0439827409810565,0.103215139998462,-0.426126835478903,0.67001542683871,-0.246280698037301,0.158315216075188,0.956970473702053,-4.30295262979468,combined,16-17,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-14,-0.333318771783401,0.0970829984100471,-3.43333824915018,0.000596197814768389,-0.523597952178252,-0.143039591388549,0.716541744456213,-28.3458255543787,combined,16-17,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-15,-0.121107493771728,0.103753332567367,-1.16726365095881,0.243103913047723,-0.324460288879774,0.082245301336318,0.885938721579518,-11.4061278420482,female,16-17,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-16,-0.359942554522179,0.0993856611555484,-3.62167490095813,0.000292701811653608,-0.554734870966755,-0.165150238077602,0.697716405572129,-30.2283594427871,female,16-17,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-17,0.889936717251877,0.297279771755619,2.99359997485284,0.00275707164494251,0.307279071278577,1.47259436322518,2.43497555446939,143.497555446939,male,16-17,TRUE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
REG-M-18,-0.019632688883186,0.218905114923405,-0.0896858389538114,0.928536869466103,-0.448678830164661,0.409413452398289,0.9805587773072,-1.94412226928002,male,16-17,FALSE,region,2013M01,2019M02,2019M03,2019M04-2019M12,1245,83,83,0,"month of registration, not occurrence/celebration"
