term,estimate,std_error_region_cluster,statistic,p_value_diagnostic,event_time,ci_lower_diagnostic,ci_upper_diagnostic,rate_ratio,regions,inference_status
event_time::-24:treated_age,0.485000032690692,0.417556150338531,1.16152050999005,0.245430287311425,-24,-0.333394983496022,1.3033950488774,1.62417506193963,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-23:treated_age,0.470267309187185,0.348701842558719,1.34862295460339,0.177458103806932,-23,-0.213175743570661,1.15371036194503,1.6004219435329,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-22:treated_age,0.715625560041356,0.39915107464909,1.79286892981684,0.072993884464772,-22,-0.0666961706613182,1.49794729074403,2.04546584381851,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-21:treated_age,0.503739974679404,0.378355853561852,1.33139204782266,0.183060044641159,-21,-0.237823871641736,1.24530382100054,1.65489899156489,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-20:treated_age,0.411075450662964,0.330476984627041,1.24388526216699,0.213541794236299,-20,-0.236647536925432,1.05879843825136,1.50843916499958,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-19:treated_age,0.56400614640457,0.356256934714447,1.58314433052831,0.113388571519617,-19,-0.134244614878382,1.26225690768752,1.75770001787204,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-18:treated_age,0.652061617158345,0.3349706315357,1.94662324326439,0.0515799199172926,-18,-0.00446875653026357,1.30859199084695,1.91949401443177,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-17:treated_age,0.578699019230244,0.244461951259048,2.36723554013122,0.0179215230796827,-17,0.0995623991721242,1.05783563928836,1.7837163399229,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-16:treated_age,0.558435643524903,0.263283871760149,2.121040076597,0.0339184299787318,-16,0.0424087371647483,1.07446254988506,1.74793596545056,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-15:treated_age,0.444212812048551,0.247535738025388,1.79454011607404,0.0727270015783708,-15,-0.0409483193677504,0.929373943464852,1.55926228011579,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-14:treated_age,0.558962891040787,0.234716148393572,2.3814419879774,0.0172450067569249,-14,0.0989276935994272,1.01899808848215,1.74885780334329,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-13:treated_age,0.2230591299506,0.175047290022163,1.27427925289422,0.202564466578756,-13,-0.120027254084177,0.566145513985376,1.24989447774972,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-12:treated_age,0.253701739259467,0.16504125749337,1.53720192824912,0.124243868305188,-12,-0.0697731813907391,0.577176659909674,1.28878735226711,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-11:treated_age,0.213722682084955,0.243720775432258,0.87691614186727,0.380532187926177,-11,-0.263961260046445,0.691406624216356,1.23827921016517,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-10:treated_age,0.141144772317435,0.307239414775367,0.459396696939522,0.645949319790287,-10,-0.461033415273448,0.743322959908319,1.15159135446634,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-9:treated_age,0.275074809642806,0.0356637322793884,7.71301240957845,1.22882134064688e-14,-9,0.205175178820926,0.344974440464686,1.31662916774121,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-8:treated_age,-0.0793968343760333,0.236185156763339,-0.336163522992218,0.736747558289429,-8,-0.542311235315124,0.383517566563057,0.923673306386375,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-7:treated_age,0.116219525149971,0.12937303731894,0.898328798321849,0.369010283684994,-7,-0.137346968565707,0.369786018865649,1.12324242503179,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-6:treated_age,-0.194562721714182,0.122899748462531,-1.5831010571474,0.113398432717023,-6,-0.435441802409774,0.0463163589814101,0.823194544464326,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-5:treated_age,0.0256236934025187,0.226799392584776,0.112979550388085,0.9100467678224,-5,-0.418894947779204,0.470142334584241,1.02595480226251,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-4:treated_age,-0.0481530765439652,0.119799695933974,-0.401946567297668,0.687723350484293,-4,-0.282956165933404,0.186650012845473,0.952987895817992,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-3:treated_age,-0.0071326084660725,0.153751102521026,-0.046390616711819,0.962998915241825,-3,-0.308479231990609,0.294214015058464,0.992892768215869,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::-2:treated_age,-0.018908023408805,0.0756904101298557,-0.249807384797705,0.802736308534773,-2,-0.167258501238388,0.129442454420778,0.981269611926261,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::0:treated_age,-0.290546407798947,0.127659534183888,-2.27594757928874,0.0228491472893133,0,-0.540754497082527,-0.0403383185153675,0.74785482221057,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::1:treated_age,-0.154908062638869,0.188353545402995,-0.82243242253515,0.410830832798922,1,-0.524074227989169,0.21425810271143,0.85649391765459,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
event_time::2:treated_age,-0.109483234148768,0.19268571564662,-0.568195902749518,0.569901953275362,2,-0.487140297151468,0.268173828853932,0.896297191421509,5,diagnostic only: five region clusters; dynamic inference uses temporal forecast bootstrap
