year,quarter,geography_value,age,sex,persons_married,opposite_sex_people,same_sex_people,population,population_se,population_cv,unweighted_n,precision_pass,geography_level,geography,formal_marriage_rate_100k,offset_log_population,fixed_denominator_simplification,period,period_index,trend_2018q4,calendar_quarter,treated_age,partial_2019q1,post_full,pandemic,short_run_clean,full_dynamic,exclude_pandemic,post_pandemic,event_time,denominator_only_rate_se,denominator_only_ci_lower,denominator_only_ci_upper
2013,1,Brazil,15,combined,157,157,0,3530755.96725801,46361.3022478374,0.0131307013789009,10701,TRUE,Brazil,Brazil,4.44663979770673,15.0770225610122,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24,0.0583874993232235,4.33220240188586,4.56107719352761
2013,1,Brazil,16,combined,4579,4578,1,3492517.35900212,45215.6034168571,0.012946421955588,10709,TRUE,Brazil,Brazil,131.108868741838,15.0661333404666,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,1.69739073685163,127.782044029917,134.435693453759
2013,1,Brazil,17,combined,6067,6067,0,3517985.15013345,45991.2506697778,0.0130731793077731,10668,TRUE,Brazil,Brazil,172.456668834144,15.0733989831603,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,2.25455695449002,168.037818402249,176.875519266039
2013,1,Brazil,18,combined,11195,11191,4,3481249.19017576,45552.2082191859,0.0130850179722084,10470,TRUE,Brazil,Brazil,321.579967087469,15.0629017500331,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,4.20787964884173,313.33267452446,329.827259650478
2013,1,Brazil,19,combined,13447,13440,7,3199552.19624604,45033.6040945873,0.0140749709123121,9409,TRUE,Brazil,Brazil,420.277563084517,14.9785214193045,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,5.91539447551199,408.683602958166,431.871523210868
2013,1,Brazil,15,female,149,149,0,1777688.0845046,32669.3244508569,0.0183774221898782,5281,TRUE,Brazil,Brazil,8.38167287606717,14.3908242491289,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24,0.154033541100937,8.07977268309817,8.68357306903618
2013,1,Brazil,16,female,4419,4418,1,1753354.58758424,31859.9174816775,0.0181708353274815,5254,TRUE,Brazil,Brazil,252.031165361051,14.3770414181686,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,4.57961680316892,243.055281363845,261.007049358257
2013,1,Brazil,17,female,5532,5532,0,1727040.14084507,31976.2429853371,0.0185150548786264,5156,TRUE,Brazil,Brazil,320.316816567628,14.3619195999653,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,5.93068343729653,308.692890626819,331.940742508437
2013,1,Brazil,18,female,9015,9013,2,1721424.4409271,31894.1198577873,0.0185277489383212,5085,TRUE,Brazil,Brazil,523.694202642135,14.3586626693813,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,9.7028747070078,504.676917669895,542.711487614375
2013,1,Brazil,19,female,9391,9388,3,1608629.81070706,31985.2370308151,0.0198835287136425,4654,TRUE,Brazil,Brazil,583.788758451036,14.2908933253624,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,11.6077805413629,561.03792664952,606.539590252552
2013,1,Brazil,15,male,8,8,0,1753067.88275341,32555.9105717653,0.0185708214108812,5420,TRUE,Brazil,Brazil,0.456342853502912,14.3768778869148,TRUE,2013Q1,1,-23,1,1,0,0,0,1,1,1,0,-24,0.00847466163453453,0.439732821918061,0.472952885087763
2013,1,Brazil,16,male,160,160,0,1739162.77141788,31181.1265979373,0.0179288144332324,5455,TRUE,Brazil,Brazil,9.19982894237999,14.3689143895415,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,0.164942025925411,8.87654851202911,9.52310937273087
2013,1,Brazil,17,male,535,535,0,1790945.00928838,32490.5945909108,0.0181415925237262,5512,TRUE,Brazil,Brazil,29.8724973254527,14.3982539766566,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,0.541934674144463,28.8103248821561,30.9346697687493
2013,1,Brazil,18,male,2180,2178,2,1759824.74924866,31751.2817068915,0.0180422975187998,5385,TRUE,Brazil,Brazil,123.875971225585,14.380724787766,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,2.23500712828228,119.495437748961,128.256504702209
2013,1,Brazil,19,male,4056,4052,4,1590922.38553898,31471.7341568686,0.0197820675872924,4755,TRUE,Brazil,Brazil,254.946440936897,14.279824522685,TRUE,2013Q1,1,-23,1,0,0,0,0,1,1,1,0,-24,5.04336772575335,245.061621833629,264.831260040165
2013,2,Brazil,15,combined,161,161,0,3508168.5363858,45372.7438659748,0.0129334561311353,10768,TRUE,Brazil,Brazil,4.58928920689387,15.0706046747597,TRUE,2013Q2,2,-22,2,1,0,0,0,1,1,1,0,-23,0.0593553706304545,4.47295481816915,4.70562359561859
2013,2,Brazil,16,combined,4481,4480,1,3464338.78066694,43585.6288722882,0.0125812259226845,10691,TRUE,Brazil,Brazil,129.346472262085,15.0580323443058,TRUE,2013Q2,2,-22,2,0,0,0,0,1,1,1,0,-23,1.62733718983154,126.156949979313,132.535994544857
2013,2,Brazil,17,combined,5928,5928,0,3495870.01375366,45744.9012012891,0.0130854125071346,10663,TRUE,Brazil,Brazil,169.571522301393,15.0670928336457,TRUE,2013Q2,2,-22,2,0,0,0,0,1,1,1,0,-23,2.21891331877651,165.222532111775,173.920512491011
2013,2,Brazil,18,combined,11525,11517,8,3438822.12522086,44935.8678556439,0.0130672265733308,10418,TRUE,Brazil,Brazil,335.143824842636,15.0506395652564,TRUE,2013Q2,2,-22,2,0,0,0,0,1,1,1,0,-23,4.37940029387141,326.560357992764,343.727291692508
2013,2,Brazil,19,combined,14007,13994,13,3296921.84039956,44288.2616723652,0.0134332155314297,9685,TRUE,Brazil,Brazil,424.850835963478,15.0084998154943,TRUE,2013Q2,2,-22,2,0,0,0,0,1,1,1,0,-23,5.70711284820549,413.665100325289,436.036571601667
2013,2,Brazil,15,female,146,146,0,1742396.14149257,31888.8000857097,0.0183016934704602,5278,TRUE,Brazil,Brazil,8.37926557131455,14.3707718166798,TRUE,2013Q2,2,-22,2,1,0,0,0,1,1,1,0,-23,0.15335474999378,8.0786957844686,8.6798353581605
2013,2,Brazil,16,female,4326,4325,1,1759933.61273075,31290.9996776018,0.0177796477385588,5273,TRUE,Brazil,Brazil,245.804726309403,14.3807866462636,TRUE,2013Q2,2,-22,2,0,0,0,0,1,1,1,0,-23,4.37032144625403,237.239053673882,254.370398944924
