specification_id,estimate,std_error,statistic,p_value,ci_lower,ci_upper,sex,focal_age,controls,window,age_specific_trends,model,geography,rate_ratio,percent_change,effect_points_per_100k,observations,source_rows,regions_or_geographies,periods,time_clusters,zero_outcome_cells,dropped_observations,collinear_variables
REG-Q-001,-0.0107762712655847,0.0765401853316733,-0.140792333058611,0.888034000065577,-0.160792277885685,0.139239735354516,combined,15,17-18-19,short_run_clean,TRUE,PPML,region,0.989281584735128,-1.07184152648725,,540,540,5,27,27,0,0,""
REG-Q-002,13.96334224367,12.1755002978592,1.14683930040437,0.251448043236572,-9.90019983389072,37.8268843212307,combined,15,17-18-19,short_run_clean,TRUE,WLS,region,,,13.96334224367,540,540,5,27,27,0,0,""
REG-Q-003,-0.475569109537425,0.0730139986070769,-6.51339631591318,7.34703254783109e-11,-0.618673917174553,-0.332464301900296,combined,15,17-18-19,short_run_clean,FALSE,PPML,region,0.62153123643893,-37.8468763561071,,540,540,5,27,27,0,0,""
REG-Q-004,80.9463842724673,13.4094481541521,6.03651868010715,1.57474529737676e-09,54.6643488377722,107.228419707162,combined,15,17-18-19,short_run_clean,FALSE,WLS,region,,,80.9463842724673,540,540,5,27,27,0,0,""
REG-Q-005,-0.101820445912163,0.0663161845637065,-1.53537852911833,0.124690874608044,-0.231797779249139,0.0281568874248125,female,15,17-18-19,short_run_clean,TRUE,PPML,region,0.903191708873875,-9.68082911261249,,540,540,5,27,27,0,0,""
REG-Q-006,19.8749231175749,18.0159512302858,1.10318477573164,0.269946931336813,-15.4356924410153,55.1855386761651,female,15,17-18-19,short_run_clean,TRUE,WLS,region,,,19.8749231175749,540,540,5,27,27,0,0,""
REG-Q-007,-0.527469448588724,0.0631654557946595,-8.35059989598494,6.79171225507732e-17,-0.651271467013314,-0.403667430164135,female,15,17-18-19,short_run_clean,FALSE,PPML,region,0.590096351027786,-40.9903648972214,,540,540,5,27,27,0,0,""
REG-Q-008,118.813678121212,20.0514469842588,5.92544160102186,3.11459257899463e-09,79.51356419415,158.113792048273,female,15,17-18-19,short_run_clean,FALSE,WLS,region,,,118.813678121212,540,540,5,27,27,0,0,""
REG-Q-009,0.939387861968576,0.253512947664353,3.70548277957113,0.000210988465171696,0.442511614931857,1.4362641090053,male,15,17-18-19,short_run_clean,TRUE,PPML,region,2.55841483587464,155.841483587464,,540,540,5,27,27,36,0,""
REG-Q-010,8.54964448967139,6.12882393692485,1.39498941031111,0.163019032956949,-3.46262969428829,20.5619186736311,male,15,17-18-19,short_run_clean,TRUE,WLS,region,,,8.54964448967139,540,540,5,27,27,36,0,""
