year,geography_level,geography_value,total_marriages,affected_marriages_below_16,marriages_at_least_one_below_15,affected_share_below_16,share_at_least_one_below_15,total_population,total_population_se,total_marriage_rate_100k,affected_below_16_change_from_2018,causal_status
2013,Brazil,Brazil,1052477,1093,364,0.00103850250409273,0.000345850788188245,198616270.00001,710169.754749812,529.904725327863,581,descriptive corroboration; no untreated geographic unit
2014,Brazil,Brazil,1106440,1131,369,0.00102219731752287,0.000333502042587036,200188924.00004,986928.102976567,552.697910499673,619,descriptive corroboration; no untreated geographic unit
2015,Brazil,Brazil,1137348,991,298,0.000871325223238622,0.000262013033829576,201769596.000029,1193301.56011184,563.686513006566,479,descriptive corroboration; no untreated geographic unit
2016,Brazil,Brazil,1095535,733,246,0.000669079490842374,0.000224547823666063,203226466.000055,1265705.53500079,539.071028278228,221,descriptive corroboration; no untreated geographic unit
2017,Brazil,Brazil,1070376,540,213,0.000504495616493643,0.000198995493172493,204554859.000087,1084684.94562928,523.27087473368,28,descriptive corroboration; no untreated geographic unit
2018,Brazil,Brazil,1053467,512,206,0.000486014274770828,0.000195544805864825,205859886.000029,1140810.18366181,511.739815108929,0,descriptive corroboration; no untreated geographic unit
2019,Brazil,Brazil,1024676,419,174,0.000408909743177356,0.000169809774016372,207217255.000271,1242355.23790648,494.493569079785,-93,descriptive corroboration; no untreated geographic unit
2020,Brazil,Brazil,757179,258,114,0.000340738451541842,0.000150558850681279,,,,-254,descriptive corroboration; no untreated geographic unit
2021,Brazil,Brazil,932502,293,129,0.000314208441375997,0.000138337504906156,,,,-219,descriptive corroboration; no untreated geographic unit
2022,Brazil,Brazil,970041,273,113,0.000281431403414907,0.000116489921560017,210147281.003177,1233753.41832409,461.600547658447,-239,descriptive corroboration; no untreated geographic unit
2023,Brazil,Brazil,940799,102,35,0.000108418482587673,3.72024204957701e-05,210971818.000379,1148059.66005195,445.935864286058,-410,descriptive corroboration; no untreated geographic unit
2024,Brazil,Brazil,948925,193,85,0.000203388044365993,8.95750454461628e-05,211852978.000524,1039131.82356509,447.916762349054,-319,descriptive corroboration; no untreated geographic unit
