year,quarter,period,trend_2018q4,post_full,partial_2019q1,pandemic,15,17,18,19,synthetic_rate,synthetic_gap,quarter_factor,predicted_no_law_gap,adjusted_gap
2013,1,2013Q1,-23,0,0,0,4.44663979770673,172.456668834144,321.579967087469,420.277563084517,172.456668836081,-168.010029038374,1,-185.862187387762,17.8521583493878
2013,2,2013Q2,-22,0,0,0,4.58928920689387,169.571522301393,335.143824842636,424.850835963478,169.571522303388,-164.982233096494,2,-178.441435593948,13.4592024974538
2013,3,2013Q3,-21,0,0,0,5.97604282026291,176.809052360311,342.753425125449,432.816868944378,176.809052362312,-170.833009542049,3,-182.888087883297,12.0550783412481
2013,4,2013Q4,-20,0,0,0,6.4931841795204,244.167515310706,448.991428148387,586.743887994934,244.167515313383,-237.674331133863,4,-228.65151060469,-9.02282052917343
2014,1,2014Q1,-19,0,0,0,4.38625560773137,175.889759842617,343.369578249264,433.322190975318,175.889759844629,-171.503504236898,1,-170.389301934488,-1.1142023024095
2014,2,2014Q2,-18,0,0,0,5.12707210689035,171.467255054347,335.616911437779,434.699048801095,171.467255056404,-166.340182949514,2,-162.968550140674,-3.37163280883948
2014,3,2014Q3,-17,0,0,0,5.8434248041608,177.088916760928,346.673704845949,461.234616081963,177.088916763149,-171.245491958988,3,-167.415202430023,-3.83028952896453
2014,4,2014Q4,-16,0,0,0,7.54727233346478,241.120200039274,463.339268110712,632.446057962057,241.120200042332,-233.572927708867,4,-213.178625151416,-20.3943025574517
2015,1,2015Q1,-15,0,0,0,5.15080612760796,172.18160344347,332.26242531176,450.205561980901,172.181603445643,-167.030797318035,1,-154.916416481214,-12.1143808368204
2015,2,2015Q2,-14,0,0,0,4.6216511253647,157.851433487133,337.945957684024,433.174025929814,157.851433489285,-153.22978236392,2,-147.495664687401,-5.73411767651939
2015,3,2015Q3,-13,0,0,0,5.39622891184129,159.996084860581,345.916749985551,468.918816148159,159.996084862995,-154.599855951154,3,-151.94231697675,-2.65753897440442
2015,4,2015Q4,-12,0,0,0,4.88350578218455,208.008212732285,450.883378557448,590.12656280811,208.008212735271,-203.124706953087,4,-197.705739698142,-5.41896725494482
2016,1,2016Q1,-11,0,0,0,3.50612049016278,148.986558498185,312.481684526665,404.563432762697,148.986558500182,-145.48043801002,1,-139.443531027941,-6.03690698207893
2016,2,2016Q2,-10,0,0,0,3.42227174312856,135.800053565475,311.88198819061,420.186694609844,135.800053567698,-132.377781824569,2,-132.022779234127,-0.355002590441984
2016,3,2016Q3,-9,0,0,0,3.24948487351141,139.855866729495,317.009198880718,436.776035962393,139.855866731816,-136.606381858304,3,-136.469431523476,-0.136950334828185
2016,4,2016Q4,-8,0,0,0,4.54499226326953,177.714091780364,385.023016088113,520.5098193057,177.714091783043,-173.169099519774,4,-182.232854244868,9.06375472509487
2017,1,2017Q1,-7,0,0,0,2.2854870796443,128.357323120866,274.78817858145,380.365927576997,128.357323122835,-126.071836043191,1,-123.970645574667,-2.10119046852414
2017,2,2017Q2,-6,0,0,0,2.70713742981601,118.951297227191,262.995084656335,356.539877319334,118.951297229048,-116.244159799232,2,-116.549893780853,0.305733981621501
2017,3,2017Q3,-5,0,0,0,2.14897290408467,124.336878724172,292.288538821053,385.418537849904,124.336878726213,-122.187905822128,3,-120.996546070202,-1.19135975192562
