model_id,window_start,window_end,training_start,training_end,training_periods,forecast_periods,mean_actual_gap,mean_forecast_gap,window_log_error,window_percent_error,point_rmse,information_leak
seasonal_level,2017Q1,2017Q3,2013Q1,2016Q4,16,3,-4.68273948633693,-4.21294103237092,-0.469798453966019,-37.4871752293997,0.497658832385838,FALSE
seasonal_level,2017Q2,2017Q4,2013Q1,2017Q1,17,3,-4.63308365829195,-4.21609355576225,-0.416990102529698,-34.0972557383617,0.453961223418957,FALSE
seasonal_level,2017Q3,2018Q1,2013Q1,2017Q2,18,3,-4.69411276819406,-4.25433248927641,-0.439780278917654,-35.5822054990022,0.468846379932816,FALSE
seasonal_level,2017Q4,2018Q2,2013Q1,2017Q3,19,3,-4.63027626862757,-4.3016039780216,-0.328672290605965,-28.0121110829291,0.328824891633644,FALSE
seasonal_level,2018Q1,2018Q3,2013Q1,2017Q4,20,3,-4.64738749715384,-4.30690072316412,-0.340486773989724,-28.8576064204246,0.340552591059284,FALSE
seasonal_level,2018Q2,2018Q4,2013Q1,2018Q1,21,3,-4.62358136061794,-4.29949157626819,-0.324089784349752,-27.6814691257822,0.325236463969224,FALSE
global_linear,2017Q1,2017Q3,2013Q1,2016Q4,16,3,-4.68273948633693,-4.44953486580766,-0.233204620529273,-20.8008500776736,0.285198389089028,FALSE
global_linear,2017Q2,2017Q4,2013Q1,2017Q1,17,3,-4.63308365829195,-4.49995534159925,-0.1331283166927,-12.4647237469389,0.223434991587574,FALSE
global_linear,2017Q3,2018Q1,2013Q1,2017Q2,18,3,-4.69411276819406,-4.55415196537339,-0.13996080282067,-13.0607687542681,0.224962146267591,FALSE
global_linear,2017Q4,2018Q2,2013Q1,2017Q3,19,3,-4.63027626862757,-4.68301447160223,0.0527382029746611,5.41536347057636,0.0570336723514756,FALSE
global_linear,2018Q1,2018Q3,2013Q1,2017Q4,20,3,-4.64738749715384,-4.70744260868023,0.0600551115263889,6.18950675907926,0.0604271498228216,FALSE
global_linear,2018Q2,2018Q4,2013Q1,2018Q1,21,3,-4.62358136061794,-4.68977097770667,0.0661896170887252,6.84292904112684,0.0715935373178844,FALSE
global_quadratic,2017Q1,2017Q3,2013Q1,2016Q4,16,3,-4.68273948633693,-4.6934615876619,0.0107221013249671,1.07797890468919,0.145546626279694,FALSE
global_quadratic,2017Q2,2017Q4,2013Q1,2017Q1,17,3,-4.63308365829195,-4.80052045352979,0.16743679523784,18.2270562693656,0.248250205105524,FALSE
global_quadratic,2017Q3,2018Q1,2013Q1,2017Q2,18,3,-4.69411276819406,-4.79320119012388,0.0990884219298138,10.4163927547895,0.231854295410577,FALSE
global_quadratic,2017Q4,2018Q2,2013Q1,2017Q3,19,3,-4.63027626862757,-5.00740749758868,0.377131228961112,45.809564119301,0.382549941867894,FALSE
global_quadratic,2018Q1,2018Q3,2013Q1,2017Q4,20,3,-4.64738749715384,-4.95917768445284,0.311790187298999,36.5868086491247,0.314819219875775,FALSE
global_quadratic,2018Q2,2018Q4,2013Q1,2018Q1,21,3,-4.62358136061794,-4.90079723764899,0.277215877031043,31.9451179495286,0.283640478920174,FALSE
local_linear_12,2017Q1,2017Q3,2014Q1,2016Q4,12,3,-4.68273948633693,-4.54673461893058,-0.136004867406358,-12.716161598072,0.198287815173169,FALSE
local_linear_12,2017Q2,2017Q4,2014Q2,2017Q1,12,3,-4.63308365829195,-4.67405551761537,0.0409718593234194,4.18227875348489,0.164530036025776,FALSE
local_linear_12,2017Q3,2018Q1,2014Q3,2017Q2,12,3,-4.69411276819406,-4.72842070473177,0.0343079365377035,3.49032421871072,0.160502379726649,FALSE
local_linear_12,2017Q4,2018Q2,2014Q4,2017Q3,12,3,-4.63027626862757,-4.8457726586718,0.215496390044234,24.0477504846111,0.216074854457153,FALSE
local_linear_12,2018Q1,2018Q3,2015Q1,2017Q4,12,3,-4.64738749715384,-4.86677735829184,0.219389861137992,24.5316682639979,0.2243067444417,FALSE
local_linear_12,2018Q2,2018Q4,2015Q2,2018Q1,12,3,-4.62358136061794,-4.79747503797259,0.173893677354643,18.9929042690739,0.179272818374527,FALSE
local_linear_16,2017Q1,2017Q3,2013Q1,2016Q4,16,3,-4.68273948633693,-4.44953486580766,-0.233204620529273,-20.8008500776736,0.285198389089028,FALSE
local_linear_16,2017Q2,2017Q4,2013Q2,2017Q1,16,3,-4.63308365829195,-4.52870232414063,-0.104381334151324,-9.91183050448977,0.207594580082232,FALSE
local_linear_16,2017Q3,2018Q1,2013Q3,2017Q2,16,3,-4.69411276819406,-4.61860394603341,-0.0755088221606511,-7.27284500406672,0.186312378394359,FALSE
local_linear_16,2017Q4,2018Q2,2013Q4,2017Q3,16,3,-4.63027626862757,-4.74184300991437,0.111566741286798,11.8028360166948,0.111732646166114,FALSE
local_linear_16,2018Q1,2018Q3,2014Q1,2017Q4,16,3,-4.64738749715384,-4.80660235568414,0.159214858530301,17.258986055091,0.160260064402143,FALSE
local_linear_16,2018Q2,2018Q4,2014Q2,2018Q1,16,3,-4.62358136061794,-4.82364294489389,0.20006158427595,22.1477979680882,0.201873074829099,FALSE
