model_id,test_family,year,period_label,cutoff_age,bandwidth_days,identified,n,n_married,n_municipality_clusters,n_date_clusters,estimate_pp,std_error_pp,ci90_low_pp,ci90_high_pp,ci95_low_pp,ci95_high_pp,p_value,error_message,warnings,privacy_suppressed_n_married
annual_age16_2013,annual_jump_diagnostic,2013,historical_pre,16,90,TRUE,33008,759,4059,365,0.461271169467654,0.319396754481255,-0.0654302226357913,0.987972561571098,-0.166823368685915,1.08936570762122,0.14954432634873,,"",FALSE
annual_age16_2014,annual_jump_diagnostic,2014,historical_pre,16,90,TRUE,32893,616,4080,365,0.426295035047016,0.32848990304779,-0.115401418657402,0.967991488751433,-0.219681203121117,1.07227127321515,0.195197893090207,,"",FALSE
annual_age16_2016,annual_jump_diagnostic,2016,primary_pre,16,90,TRUE,28677,369,3921,366,0.030556737587554,0.260926496982623,-0.399721236601985,0.460834711777093,-0.482551199515328,0.543664674690436,0.906838403745186,,"",FALSE
annual_age16_2017,annual_jump_diagnostic,2017,primary_pre,16,90,TRUE,26639,310,3903,365,0.25546071168921,0.299394232009153,-0.238255509826802,0.749176933205221,-0.333298814640502,0.844220238018921,0.394077018860857,,"",FALSE
annual_age16_2018,annual_jump_diagnostic,2018,primary_pre,16,90,TRUE,25005,266,3822,365,0.201813814343916,0.284070589092113,-0.266632945465731,0.670260574153562,-0.356811728826072,0.760439357513904,0.477889067866185,,"",FALSE
annual_age16_2019,annual_jump_diagnostic,2019,transition,16,90,TRUE,22429,224,3707,365,0.435540182267351,0.276590716931121,-0.0205718902773972,0.891652254812099,-0.108376173083757,0.979456537618459,0.116200452454989,,"",FALSE
annual_age16_2020,annual_jump_diagnostic,2020,pandemic,16,90,TRUE,20279,176,3612,366,0.0774896178997824,0.295768791792253,-0.410244659885481,0.565223895685046,-0.504135155248657,0.659114391048222,0.793473939581026,,"",FALSE
annual_age16_2021,annual_jump_diagnostic,2021,pandemic,16,90,TRUE,20156,216,3582,365,-0.0781682378388556,0.327486242954154,-0.618209605318696,0.461873129640984,-0.722170775854652,0.565834300176941,0.811479001016062,,"",FALSE
annual_age16_2022,annual_jump_diagnostic,2022,mature_post,16,90,TRUE,16444,144,3393,365,0.951459111256258,0.35497226727446,0.366091900386409,1.53682632212611,0.253405235808497,1.64951298670402,0.00768827977641155,,"",FALSE
annual_age16_2023,annual_jump_diagnostic,2023,mature_post,16,90,TRUE,15465,136,3280,365,0.112855725349621,0.295355484075186,-0.37420039668407,0.599911847383311,-0.467961592793212,0.693673043492453,0.702609182380486,,"",FALSE
annual_age16_2024,annual_jump_diagnostic,2024,mature_post,16,90,TRUE,13908,117,3172,366,0.403739969737601,0.312685900587643,-0.111891280512324,0.919371219987525,-0.211152037272204,1.01863197674741,0.197451543250249,,"",FALSE
