model_id,specification_id,row_type,era,estimator,outcome_id,sample_id,auto_bandwidth,bandwidth_selector,requested_h_days,requested_b_days,selected_h_left_days,selected_h_right_days,selected_b_left_days,selected_b_right_days,p,q,kernel,vce,nnmatch,masspoints,identified,n_full_left,n_full_right,n_h_left,n_h_right,n_outcome_events_h,conventional_jump_pp,bias_corrected_jump_pp,robust_std_error_pp,robust_ci95_low_pp,robust_ci95_high_pp,robust_p_value,post_minus_pre_bias_corrected_pp,difference_inference_available,error_message,warnings
G3_RDROBUST_H180_PRE,fixed_h180_b360,era_jump,pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,180,360,180,180,360,360,1,2,triangular,nn,3,adjust,TRUE,120369,205515,69393,90762,2399,0.118957760811593,0.0992295916831929,0.129889627040723,-0.155349399281963,0.353808582648349,0.444895153254635,,FALSE,,""
G3_RDROBUST_H180_POST,fixed_h180_b360,era_jump,post,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,180,360,180,180,360,360,1,2,triangular,nn,3,adjust,TRUE,69513,117162,39891,51371,950,0.439581379471911,0.473528462109386,0.148227461800477,0.183007975460664,0.764048948758107,0.00140021451106575,,FALSE,,""
G3_RDROBUST_DIFF_FIXED_H180_B360,fixed_h180_b360,post_minus_pre_point_only,post_minus_pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,180,360,,,,,1,2,triangular,nn,3,adjust,TRUE,189882,322677,109284,142133,3349,,,,,,,0.374298870426193,FALSE,,""
G3_RDROBUST_H030_PRE,fixed_h30_b60,era_jump,pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,30,60,30,30,60,60,1,2,triangular,nn,3,adjust,TRUE,120369,205515,12689,13968,332,0.451606736224075,0.510234133646961,0.31933662758361,-0.115654155361395,1.13612242265532,0.110088840084279,,FALSE,,""
G3_RDROBUST_H030_POST,fixed_h30_b60,era_jump,post,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,30,60,30,30,60,60,1,2,triangular,nn,3,adjust,TRUE,69513,117162,7237,7942,133,0.592559722401576,0.614883054568565,0.383766620099841,-0.137285699295788,1.36705180843292,0.109104376592573,,FALSE,,""
G3_RDROBUST_DIFF_FIXED_H30_B60,fixed_h30_b60,post_minus_pre_point_only,post_minus_pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,30,60,,,,,1,2,triangular,nn,3,adjust,TRUE,189882,322677,19926,21910,465,,,,,,,0.104648920921604,FALSE,,""
G3_RDROBUST_H060_PRE,fixed_h60_b120,era_jump,pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,60,120,60,60,120,120,1,2,triangular,nn,3,adjust,TRUE,120369,205515,25340,28234,628,0.281595120759301,0.281489096451642,0.22079395234598,-0.151259098150733,0.714237291054016,0.202346424181719,,FALSE,,""
G3_RDROBUST_H060_POST,fixed_h60_b120,era_jump,post,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,60,120,60,60,120,120,1,2,triangular,nn,3,adjust,TRUE,69513,117162,14596,16069,280,0.50219839775825,0.516384990209279,0.261946043126495,0.00298017978857268,1.02978980062998,0.0486848778609872,,FALSE,,""
G3_RDROBUST_DIFF_FIXED_H60_B120,fixed_h60_b120,post_minus_pre_point_only,post_minus_pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,60,120,,,,,1,2,triangular,nn,3,adjust,TRUE,189882,322677,39936,44303,908,,,,,,,0.234895893757637,FALSE,,""
G3_RDROBUST_H090_PRE,fixed_h90_b180,era_jump,pre,rdrobust::rdrobust,MARRIED,primary_fixed_bandwidth,FALSE,manual,90,180,90,90,180,180,1,2,triangular,nn,3,adjust,TRUE,120369,205515,37228,43093,960,0.161811406937006,0.184433237664521,0.181256057964307,-0.170822107925225,0.539688583254268,0.308901995206338,,FALSE,,""
