model_id,outcome_id,sample_id,bandwidth_days,polynomial_order,vcov_id,fixed_effects,donut_days,identified,n,n_outcome_events,n_municipality_clusters,n_date_clusters,n_distance_clusters,estimate_pp,std_error_pp,ci90_low_pp,ci90_high_pp,ci95_low_pp,ci95_high_pp,p_value,error_message,warnings,specification_id,specification_label,is_primary,heaping_detected_in_g1,diagnostic_cannot_rescue_gate
G3_PRIMARY_TAU,MARRIED,primary,90,1,two_way,year + birth_month,0,TRUE,126138,1342,5183,2192,179,0.341957729241777,0.245726540733899,-0.0623974300495076,0.746312888533061,-0.139923641776363,0.823839100259917,0.164179056916315,,"",primary_h90,"Primary: h=90, two-way cluster",TRUE,TRUE,FALSE
G3_SENS_BW_030,MARRIED,primary,30,1,two_way,year + birth_month,0,TRUE,41836,453,4344,2192,59,0.147923903565445,0.440840211304965,-0.577500437378087,0.873348244508977,-0.716584605727451,1.01243241285834,0.737242410109507,,"",bandwidth_h30,Bandwidth h=30,FALSE,TRUE,FALSE
G3_SENS_BW_060,MARRIED,primary,60,1,two_way,year + birth_month,0,TRUE,84239,889,4931,2192,119,0.224264056381916,0.304617429151903,-0.276998968441299,0.725527081205131,-0.37310513278801,0.821633245551842,0.461678406329895,,"",bandwidth_h60,Bandwidth h=60,FALSE,TRUE,FALSE
G3_SENS_BW_180,MARRIED,primary,180,1,two_way,year + birth_month,0,TRUE,251417,3329,5417,2192,359,0.321589175429905,0.179573922155241,0.0260914173091182,0.617086933550692,-0.0305637810591571,0.673742131918968,0.0734560687588927,,"",bandwidth_h180,Bandwidth h=180,FALSE,TRUE,FALSE
G3_SENS_VCOV_DISTANCE,MARRIED,primary,90,1,distance,year + birth_month,0,TRUE,126138,1342,5183,2192,179,0.341957729241777,0.269675284514377,-0.103939331127995,0.787854789611548,-0.19021432333286,0.874129781816414,0.206441487106667,,"",vcov_distance,Cluster by exact age-day,FALSE,TRUE,FALSE
G3_SENS_VCOV_HC1,MARRIED,primary,90,1,hc1,year + birth_month,0,TRUE,126138,1342,5183,2192,179,0.341957729241777,0.250386131718779,-0.069893832936544,0.753809291420097,-0.14879478105836,0.832710239541914,0.17202882169547,,"",vcov_hc1,Heteroskedasticity-robust HC1,FALSE,TRUE,FALSE
G3_SENS_REGION_RACE_FE,MARRIED,primary,90,1,two_way,year + birth_month + residence_region_fe + race_fe,0,TRUE,126138,1342,5183,2192,179,0.33041076061696,0.246111128654621,-0.074577257092795,0.735398778326715,-0.152224805507501,0.813046326741421,0.179564357149159,,"",precision_region_race_fe,Precision: region and race/color FE,FALSE,TRUE,FALSE
G3_SENS_QUADRATIC_H180,MARRIED,primary,180,2,two_way,year + birth_month,0,TRUE,251417,3329,5417,2192,359,0.256701895526815,0.257033405180062,-0.166259267660338,0.679663058713967,-0.247352771566549,0.760756562620179,0.318045358779415,,"",quadratic_h180,Local quadratic: h=180,FALSE,TRUE,FALSE
G3_SENS_DONUT_01,MARRIED,primary,90,1,two_way,year + birth_month,1,TRUE,123852,1306,5174,2192,176,0.32532127786158,0.240946595337923,-0.0711682451975708,0.72181080092073,-0.147186394109134,0.797828949832294,0.177097701002837,,"",donut_d1,Donut: exclude |x| <= 1,FALSE,TRUE,TRUE
G3_SENS_DONUT_03,MARRIED,primary,90,1,two_way,year + birth_month,3,TRUE,121024,1288,5158,2192,172,0.355591557752214,0.262399188394384,-0.0761992667318819,0.787382382236309,-0.158985664064711,0.870168779569138,0.175507888077369,,"",donut_d3,Donut: exclude |x| <= 3,FALSE,TRUE,TRUE
G3_SENS_DONUT_07,MARRIED,primary,90,1,two_way,year + birth_month,7,TRUE,115379,1222,5141,2192,164,0.280152291586423,0.280537510459934,-0.181486037714153,0.741790620886999,-0.269995037874596,0.830299621047443,0.318085760382041,,"",donut_d7,Donut: exclude |x| <= 7,FALSE,TRUE,TRUE
G3_SENS_INCLUDE_MULTIPLE,MARRIED,include_multiple,90,1,two_way,year + birth_month,0,TRUE,127465,1359,5184,2192,179,0.341083284371304,0.247424094310225,-0.0660652831725484,0.748231851915156,-0.144127069516549,0.826293638259157,0.168178267426638,,"",sample_include_multiple,Include multiple gestations,FALSE,TRUE,FALSE
G3_SENS_UNKNOWN_AS_NOT_MARRIED,MARRIED,unknown_status_not_married,90,1,two_way,year + birth_month,0,TRUE,127562,1342,5188,2192,179,0.335858833913937,0.24306351938689,-0.0641141922233559,0.73583186005123,-0.140800226262589,0.812517894090463,0.167181995718732,,"",sample_unknown_not_married,Unknown status coded not married,FALSE,TRUE,FALSE
